rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.9200074231517,80.8344333169009,002755,奥赛康,bottom_area,2023-07-18,8.08,2023-07-17,7.94,1.7632241813601974,2.267002518891673,28.853046594982075,False,0.1239,0.2547,1,1,1,100.0,30.831099195710454,30.831099195710454,18.236775818639803,1.7632241813601974,历史1/1次成功; 当前距低点1.76%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
2,89.35353331031376,77.85992529114479,002825,纳尔股份,bottom_area,2023-07-18,8.82,2023-07-17,8.61,2.4390243902439126,2.4390243902439126,32.94392523364487,False,1.0309,0.885,1,1,1,100.0,23.123123123123136,23.123123123123136,17.56097560975609,2.4390243902439126,历史1/1次成功; 当前距低点2.44%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
3,85.69024038456075,72.5761822185368,688236,春立医疗,bottom_area,2023-07-18,23.93,2023-06-28,23.72,0.8853288364249614,7.082630691399662,32.228571428571435,True,-0.911,0.878,1,1,1,100.0,28.788881535407025,28.788881535407025,19.11467116357504,0.8853288364249614,历史1/1次成功; 当前距低点0.89%; 最新日涨幅-0.91%; 状态bottom_area; 底部已确认
4,82.43743531517826,74.42811103100217,600935,华塑股份,bottom_area,2023-07-18,3.81,2023-06-27,3.65,4.383561643835621,6.575342465753431,28.571428571428577,False,1.3298,0.2574,1,1,1,100.0,28.50877192982458,28.50877192982458,15.61643835616438,4.383561643835621,历史1/1次成功; 当前距低点4.38%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
5,68.92251024305816,61.67870312185091,603222,济民健康,bottom_area,2023-07-18,9.86,2023-07-10,9.49,3.898840885142247,8.74604847207587,27.112135176651304,True,-2.1825,2.2623,3,7,3,42.857142857142854,41.11092348681001,68.46504559270518,16.101159114857754,3.898840885142247,历史3/7次成功; 当前距低点3.90%; 最新日涨幅-2.18%; 状态bottom_area; 底部已确认
6,65.54296121049492,57.24276088252832,603033,三维股份,bottom_area,2023-07-18,16.0,2023-07-17,15.6,2.5641025641025665,5.25641025641027,27.677329624478446,False,1.4585,0.2141,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,17.435897435897434,2.5641025641025665,历史1/3次成功; 当前距低点2.56%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
7,63.329397196919366,57.56677850264058,000792,盐湖股份,bottom_area,2023-07-18,19.38,2023-05-30,18.5,4.756756756756751,7.5675675675675595,29.49695121951219,True,1.1482,0.5991,1,2,1,50.0,24.904214559386965,24.904214559386965,15.243243243243251,4.756756756756751,历史1/2次成功; 当前距低点4.76%; 最新日涨幅1.15%; 状态bottom_area; 底部已确认
8,60.75896449441736,50.82804706496597,688311,盟升电子,bottom_area,2023-07-18,61.94,2023-07-18,61.81,0.21032195437630713,3.203365151270016,27.26523887973641,False,-2.0247,2.6812,1,3,1,33.33333333333333,23.893805309734503,23.893805309734503,19.789678045623692,0.21032195437630713,历史1/3次成功; 当前距低点0.21%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
9,58.90216532596698,49.59712005448386,002403,爱仕达,bottom_area,2023-07-18,8.88,2023-07-18,8.83,0.5662514156285471,3.1710079275198115,29.246794871794872,False,-1.7699,3.8641,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,19.433748584371454,0.5662514156285471,历史1/3次成功; 当前距低点0.57%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
10,57.93102392557457,51.152529251726186,688318,财富趋势,bottom_area,2023-07-18,92.91,2023-07-12,90.06,3.16455696202531,6.995336442371748,27.17127607957302,False,-1.1596,0.7623,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,16.83544303797469,3.16455696202531,历史1/3次成功; 当前距低点3.16%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
11,55.94599563644755,50.692996162906844,688258,卓易信息,bottom_area,2023-07-18,62.09,2023-07-13,59.37,4.581438436921014,9.516590870810171,31.30857341200973,True,-1.6006,1.5302,1,3,1,33.33333333333333,27.716894977168955,27.716894977168955,15.418561563078987,4.581438436921014,历史1/3次成功; 当前距低点4.58%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
