rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.36663681133834,79.04318223272068,001226,拓山重工,bottom_area,2025-08-14,34.94,2025-08-14,34.94,0.0,2.7475672581568427,32.83352556708959,False,-2.6741,3.6786,4,4,4,100.0,24.15689372430483,41.451766953199616,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
2,84.86355312918805,78.88616259741632,002795,永和智控,bottom_area,2025-08-14,4.92,2025-08-14,4.91,0.2036659877800364,5.702647657841146,28.84057971014493,False,-6.1069,13.6883,6,6,6,100.0,23.766242201907538,32.328767123287676,7.796334012219964,0.2036659877800364,历史6/6次成功; 当前距低点0.20%; 最新日涨幅-6.11%; 状态bottom_area; 底部未确认
3,83.0376478085144,77.19122667470855,300572,安车检测,bottom_area,2025-08-14,24.41,2025-08-14,24.36,0.2052545155993461,6.527093596059112,27.607726597325406,False,-4.9825,10.4065,6,6,6,100.0,14.673155754166933,31.306715063520883,7.7947454844006545,0.2052545155993461,历史6/6次成功; 当前距低点0.21%; 最新日涨幅-4.98%; 状态bottom_area; 底部未确认
4,81.36495494388154,78.25007281817263,000637,茂化实华,bottom_area,2025-08-14,4.14,2025-07-07,4.06,1.9704433497536966,7.142857142857144,27.370304114490168,True,-2.5882,3.2184,2,2,2,100.0,16.089697073177668,22.627737226277358,6.029556650246304,1.9704433497536966,历史2/2次成功; 当前距低点1.97%; 最新日涨幅-2.59%; 状态bottom_area; 底部已确认
5,80.62316489513414,75.94379947305691,002658,雪迪龙,bottom_area,2025-08-14,7.92,2025-08-01,7.85,0.8917197452229335,3.3121019108280225,31.50087260034905,False,-2.1014,4.1923,3,3,3,100.0,22.83290587185592,34.81481481481481,7.108280254777066,0.8917197452229335,历史3/3次成功; 当前距低点0.89%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
6,80.62292260116365,77.0649966653328,603928,兴业股份,bottom_area,2025-08-14,15.37,2025-08-01,15.12,1.6534391534391537,5.75396825396826,32.16689098250337,False,-1.8519,3.4007,1,1,1,100.0,31.69267707082834,31.69267707082834,6.3465608465608465,1.6534391534391537,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
7,80.51122981212372,74.66214882703046,003002,壶化股份,bottom_area,2025-08-14,25.07,2025-08-14,25.05,0.07984031936127574,2.3952095808383147,27.62207454492921,False,-2.2612,3.135,1,1,1,100.0,39.32357395254923,39.32357395254923,7.920159680638725,0.07984031936127574,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
8,78.84608097656955,73.13864243911141,300069,金利华电,bottom_area,2025-08-14,21.18,2025-08-14,21.16,0.09451795841209629,3.8752362948960317,31.231719207019825,False,-2.844,12.979,1,1,1,100.0,31.312598840274124,31.312598840274124,7.905482041587904,0.09451795841209629,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
9,78.59092641919977,73.0385953079433,605033,美邦股份,bottom_area,2025-08-14,20.9,2025-08-08,20.86,0.19175455417065745,3.4515819750719023,32.926045016077175,False,-1.8318,2.3745,1,1,1,100.0,31.96664350243223,31.96664350243223,7.808245445829343,0.19175455417065745,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
10,77.74787505208047,72.81123089300078,603022,新通联,bottom_area,2025-08-14,10.23,2025-07-24,10.17,0.5899705014749312,3.539823008849552,32.33532934131736,False,-2.0115,4.1357,2,2,2,100.0,18.958944281524914,26.099706744868023,7.410029498525068,0.5899705014749312,历史2/2次成功; 当前距低点0.59%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
11,77.21774412613009,72.23893297962492,603839,安正时尚,bottom_area,2025-08-14,7.51,2025-08-08,7.47,0.5354752342704155,5.488621151271756,28.03468208092486,False,-2.2135,2.2629,1,1,1,100.0,31.88073394495412,31.88073394495412,7.464524765729584,0.5354752342704155,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
12,76.79230932669887,74.65347180178463,000999,华润三九,bottom_area,2025-08-14,31.19,2025-07-15,30.42,2.531229454306376,7.133464825772523,30.036798528058867,True,-1.141,0.8441,1,1,1,100.0,20.293951384963254,20.293951384963254,5.468770545693625,2.531229454306376,历史1/1次成功; 当前距低点2.53%; 最新日涨幅-1.14%; 状态bottom_area; 底部已确认
13,76.41813145873101,75.48018479688947,002041,登海种业,bottom_area,2025-08-14,9.85,2025-06-23,9.53,3.3578174186778624,7.345225603357829,29.719764011799416,True,-1.4014,1.3284,2,2,2,100.0,18.2043468358871,21.395106715252467,4.642182581322138,3.3578174186778624,历史2/2次成功; 当前距低点3.36%; 最新日涨幅-1.40%; 状态bottom_area; 底部已确认
14,75.91446820325832,70.562427773344,603511,爱慕股份,bottom_area,2025-08-14,15.03,2025-08-04,15.0,0.19999999999999576,4.066666666666663,29.906542056074763,False,-1.7005,0.8933,1,1,1,100.0,18.754988028731056,18.754988028731056,7.800000000000004,0.19999999999999576,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
15,75.00407123720123,70.7671721558692,600620,天宸股份,bottom_area,2025-08-14,6.2,2025-08-04,6.14,0.977198697068412,4.560260586319222,27.078384798099762,False,-1.7433,1.5685,1,1,1,100.0,29.38271604938273,29.38271604938273,7.0228013029315886,0.977198697068412,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
16,74.85166374256814,69.57562813415824,603262,技源集团,bottom_area,2025-08-14,29.94,2025-08-04,29.88,0.20080321285141323,3.078982597054892,28.823249166269648,False,-1.3184,9.5119,1,1,1,100.0,13.459459459459449,13.459459459459449,7.7991967871485866,0.20080321285141323,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
17,74.58722123767446,72.74007471042175,600241,时代万恒,confirmed_rebound,2025-08-14,8.38,2025-07-15,8.16,2.6960784313725568,8.823529411764714,30.25641025641025,True,-3.1214,2.4876,2,2,2,100.0,15.79104050511391,22.50673854447439,5.303921568627444,2.6960784313725568,历史2/2次成功; 当前距低点2.70%; 最新日涨幅-3.12%; 状态confirmed_rebound; 底部已确认
18,66.55540336424247,67.67768213568215,300879,大叶股份,confirmed_rebound,2025-08-14,32.95,2025-08-04,31.42,4.869509866327183,8.529598981540419,31.947151830192766,True,-1.6418,4.1566,1,1,1,100.0,21.667551779075957,21.667551779075957,3.130490133672817,4.869509866327183,历史1/1次成功; 当前距低点4.87%; 最新日涨幅-1.64%; 状态confirmed_rebound; 底部已确认
19,65.16751522116068,60.86477079786632,002775,文科股份,bottom_area,2025-08-14,4.47,2025-08-14,4.45,0.44943820224718145,4.044943820224713,30.46875,False,-3.0369,9.3489,2,3,2,66.66666666666666,18.77861952861953,26.909090909090917,7.550561797752819,0.44943820224718145,历史2/3次成功; 当前距低点0.45%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
20,56.77676081133375,55.626550498006,000514,渝开发,confirmed_rebound,2025-08-14,5.61,2025-08-06,5.45,2.935779816513764,9.908256880733946,27.13903743315508,True,-1.2324,8.3923,1,2,1,50.0,24.839400428265527,24.839400428265527,5.064220183486237,2.935779816513764,历史1/2次成功; 当前距低点2.94%; 最新日涨幅-1.23%; 状态confirmed_rebound; 底部已确认
