rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.21125505226479,77.62928571428571,002016,世荣兆业,bottom_area,2025-02-21,6.15,2025-02-21,6.08,1.1513157894736887,2.4671052631579005,28.638497652582156,False,-0.8065,2.3222,1,1,1,100.0,28.571428571428566,28.571428571428566,18.84868421052631,1.1513157894736887,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
2,76.11973699962847,67.34151362240607,600325,华发股份,bottom_area,2025-02-21,5.37,2025-01-13,5.2,3.269230769230768,9.038461538461533,29.539295392953925,True,-0.3711,1.14,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,16.730769230769234,3.269230769230768,历史2/3次成功; 当前距低点3.27%; 最新日涨幅-0.37%; 状态bottom_area; 底部已确认
3,71.65144327272397,65.10182503475035,605398,新炬网络,bottom_area,2025-02-21,39.62,2025-02-21,37.83,4.731694422416069,5.471847739888978,30.48511576626241,False,2.6691,9.9603,2,3,2,66.66666666666666,21.523772318238297,22.15700660308142,15.268305577583932,4.731694422416069,历史2/3次成功; 当前距低点4.73%; 最新日涨幅2.67%; 状态bottom_area; 底部未确认
4,70.72509914262545,61.34766964044338,300422,博世科,bottom_area,2025-02-21,4.2,2025-02-06,4.11,2.1897810218978067,6.5693430656934195,30.220713073005083,False,-0.2375,1.9882,1,2,1,50.0,45.4320987654321,45.4320987654321,17.810218978102192,2.1897810218978067,历史1/2次成功; 当前距低点2.19%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
5,56.32278623187066,50.793545944742924,605162,新中港,bottom_area,2025-02-21,7.0,2025-02-05,6.71,4.321907600596125,7.451564828614009,28.081457663451232,True,-0.8499,1.2791,1,4,1,25.0,26.46502835538753,26.46502835538753,15.678092399403877,4.321907600596125,历史1/4次成功; 当前距低点4.32%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
