rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.39006289686432,79.39338922958514,002304,洋河股份,bottom_area,2025-05-22,67.75,2025-04-29,67.02,1.0892270963891437,5.147717099373326,29.452631578947376,False,-0.5578,0.2411,2,2,2,100.0,20.62810220081931,20.781426953567394,18.910772903610855,1.0892270963891437,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
2,91.3683178074747,79.09648169846406,600371,万向德农,bottom_area,2025-05-22,9.32,2025-04-29,9.13,2.0810514786418346,8.214676889375685,28.671874999999996,True,-2.714,4.4667,1,1,1,100.0,38.66279069767441,38.66279069767441,17.918948521358168,2.0810514786418346,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-2.71%; 状态bottom_area; 底部已确认
3,89.90675696445729,77.7405763688761,000565,渝三峡A,bottom_area,2025-05-22,10.62,2025-05-22,10.41,2.0172910662824117,6.532180595581169,29.37584803256445,False,-4.3243,18.0607,1,1,1,100.0,57.568807339449535,57.568807339449535,17.98270893371759,2.0172910662824117,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
4,86.79954293861121,77.44090909090909,301058,中粮科工,bottom_area,2025-05-22,10.84,2025-04-30,10.45,3.7320574162679483,8.038277511961722,29.77150537634409,True,-2.6056,1.8635,1,1,1,100.0,57.794273594909875,57.794273594909875,16.267942583732054,3.7320574162679483,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-2.61%; 状态bottom_area; 底部已确认
5,85.8411081092933,71.81697183090287,688010,福光股份,bottom_area,2025-05-22,32.6,2025-05-22,32.53,0.21518598217030518,3.56593913310789,27.16077026421853,False,-1.1522,1.7636,3,4,3,75.0,29.852665969092307,42.08955223880597,19.784814017829696,0.21518598217030518,历史3/4次成功; 当前距低点0.22%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
6,68.59021377757222,59.491511949935095,688280,精进电动,bottom_area,2025-05-22,7.48,2025-05-21,7.32,2.1857923497267775,7.923497267759563,27.236580516898606,False,2.0464,5.6519,1,3,1,33.33333333333333,32.37518910741301,32.37518910741301,17.81420765027322,2.1857923497267775,历史1/3次成功; 当前距低点2.19%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
7,53.65619954232516,44.888472402597415,300727,润禾材料,bottom_area,2025-05-22,28.22,2025-05-22,28.16,0.2130681818181773,4.190340909090908,29.95024875621891,False,-3.3231,1.4996,1,7,1,14.285714285714285,26.812499999999993,26.812499999999993,19.786931818181824,0.2130681818181773,历史1/7次成功; 当前距低点0.21%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
