rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.06247596364358,75.2458806239507,000983,山西焦煤,bottom_area,2023-04-10,10.32,2023-04-10,10.29,0.29154518950438424,3.790087463556857,27.433004231311713,False,-3.8211,1.8787,3,3,3,100.0,21.938729333444627,27.212389380530986,14.708454810495617,0.29154518950438424,历史3/3次成功; 当前距低点0.29%; 最新日涨幅-3.82%; 状态bottom_area; 底部未确认
2,84.36727670609812,73.93165611100558,002347,泰尔股份,bottom_area,2023-04-10,4.86,2023-04-10,4.84,0.41322314049587733,3.305785123966945,31.63841807909605,False,-2.2133,2.3027,2,2,2,100.0,22.816155222237516,29.585798816568047,14.586776859504122,0.41322314049587733,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
3,83.43505647450422,73.96579148071727,002006,精工科技,bottom_area,2023-04-10,22.5,2023-04-06,22.27,1.0327795240233517,3.996407723394704,27.765163801492047,False,-2.2589,0.9639,2,3,2,66.66666666666666,46.311086714106686,61.48648648648647,13.967220475976646,1.0327795240233517,历史2/3次成功; 当前距低点1.03%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
4,82.92137240444059,72.31613269530783,002329,皇氏集团,bottom_area,2023-04-10,6.42,2023-04-10,6.41,0.15600624024960666,2.9641185647425816,27.733934611048472,False,-2.5797,2.3802,1,1,1,100.0,27.644230769230756,27.644230769230756,14.843993759750393,0.15600624024960666,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
5,82.79656734213897,77.18430954057736,603356,华菱精工,bottom_area,2023-04-10,12.24,2023-04-06,11.8,3.7288135593220293,7.711864406779662,30.3834808259587,True,-1.3699,1.55,2,2,2,100.0,31.91400245070737,38.38297872340427,11.27118644067797,3.7288135593220293,历史2/2次成功; 当前距低点3.73%; 最新日涨幅-1.37%; 状态bottom_area; 底部已确认
6,81.57167578473492,71.60460291646338,603030,全筑股份,bottom_area,2023-04-10,1.99,2023-04-10,1.98,0.5050505050505055,5.555555555555549,30.526315789473685,False,-3.8647,3.1908,2,2,2,100.0,21.645796064400706,27.906976744186036,14.494949494949495,0.5050505050505055,历史2/2次成功; 当前距低点0.51%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
7,80.79622233697955,73.03761573170718,001299,美能能源,bottom_area,2023-04-10,16.7,2023-03-31,16.36,2.078239608801955,4.217603911980448,27.610619469026553,False,-0.1793,4.2959,1,1,1,100.0,15.247322794492616,15.247322794492616,12.921760391198045,2.078239608801955,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
8,76.50482474680575,72.6875204787357,300530,领湃科技,bottom_area,2023-04-10,24.04,2023-04-06,22.95,4.749455337690631,6.753812636165581,28.393135725429016,False,0.5858,0.339,3,4,3,75.0,27.802573379948058,34.07510431154381,10.25054466230937,4.749455337690631,历史3/4次成功; 当前距低点4.75%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
9,71.37652310590492,64.33198680214942,300763,锦浪科技,bottom_area,2023-04-10,129.54,2023-04-10,127.1,1.9197482297403603,2.3446105428796367,28.025369499971692,False,1.5363,1.6692,1,2,1,50.0,35.693617021276594,35.693617021276594,13.080251770259638,1.9197482297403603,历史1/2次成功; 当前距低点1.92%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
10,67.55923327045097,61.419320044589334,002192,融捷股份,bottom_area,2023-04-10,76.06,2023-04-06,74.29,2.3825548526046516,3.0825144703190093,29.43579027355623,False,1.3863,3.5491,1,2,1,50.0,25.707231766279197,25.707231766279197,12.617445147395348,2.3825548526046516,历史1/2次成功; 当前距低点2.38%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
11,65.2846478822048,59.915789239662054,000887,中鼎股份,bottom_area,2023-04-10,12.46,2023-04-06,12.11,2.890173410404636,3.3856317093311326,28.512396694214885,False,0.4839,0.745,1,2,1,50.0,23.84615384615385,23.84615384615385,12.109826589595363,2.890173410404636,历史1/2次成功; 当前距低点2.89%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
12,57.682834640345014,54.78052155958025,603051,鹿山新材,bottom_area,2023-04-10,48.31,2023-04-04,46.13,4.7257749837416,6.004769130717529,31.14925373134328,False,0.6039,5.4821,1,2,1,50.0,18.738110336081178,18.738110336081178,10.2742250162584,4.7257749837416,历史1/2次成功; 当前距低点4.73%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
