rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.32931916070724,81.99698541977796,000028,国药一致,bottom_area,2023-10-11,30.43,2023-10-10,30.1,1.0963455149501604,5.083056478405307,31.82332955832389,False,0.7282,1.1821,2,2,2,100.0,12.240070934754426,14.150943396226415,8.90365448504984,1.0963455149501604,历史2/2次成功; 当前距低点1.10%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
2,86.71176008368408,83.54597008953355,603226,菲林格尔,bottom_area,2023-10-11,5.41,2023-09-12,5.25,3.0476190476190506,8.952380952380947,29.71887550200803,True,0.0,0.987,3,3,3,100.0,18.62656730163969,20.479302832244016,6.95238095238095,3.0476190476190506,历史3/3次成功; 当前距低点3.05%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
3,85.99385210249154,81.96909885160728,002534,西子洁能,bottom_area,2023-10-11,12.79,2023-09-22,12.48,2.483974358974349,7.2115384615384635,27.861271676300582,True,-0.6988,0.378,3,3,3,100.0,25.712690269187092,33.11594202898551,7.516025641025652,2.483974358974349,历史3/3次成功; 当前距低点2.48%; 最新日涨幅-0.70%; 状态bottom_area; 底部已确认
4,85.559463219856,78.288836160471,601226,华电科工,bottom_area,2023-10-11,5.89,2023-09-25,5.87,0.340715502555359,4.088586030664399,27.975460122699385,False,0.0,0.3296,1,1,1,100.0,39.54659949622166,39.54659949622166,9.659284497444641,0.340715502555359,历史1/1次成功; 当前距低点0.34%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,85.01576829689975,78.19887574193896,300649,杭州园林,bottom_area,2023-10-11,18.01,2023-10-11,17.9,0.6145251396648211,2.0670391061452573,31.15384615384616,False,-0.9896,3.7615,2,2,2,100.0,48.22576914179969,71.60305343511452,9.38547486033518,0.6145251396648211,历史2/2次成功; 当前距低点0.61%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
6,83.24275923147017,78.3964342077202,000006,深振业A,bottom_area,2023-10-11,4.4,2023-10-11,4.32,1.8518518518518534,2.77777777777778,29.18032786885245,False,0.4566,1.5488,1,1,1,100.0,18.809980806142043,18.809980806142043,8.148148148148147,1.8518518518518534,历史1/1次成功; 当前距低点1.85%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
7,82.76210098999168,78.6741314163947,002333,罗普斯金,bottom_area,2023-10-11,6.12,2023-10-11,5.98,2.341137123745814,3.3444816053511586,27.16199756394641,False,-0.3257,4.163,2,2,2,100.0,32.10711859427502,46.728971962616825,7.658862876254187,2.341137123745814,历史2/2次成功; 当前距低点2.34%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
8,80.44151379740386,74.42926430121848,000798,中水渔业,bottom_area,2023-10-11,8.74,2023-10-11,8.66,0.9237875288683611,3.3487297921477963,28.4297520661157,False,-2.1277,2.2144,3,3,3,100.0,15.08333261848572,17.3015873015873,9.07621247113164,0.9237875288683611,历史3/3次成功; 当前距低点0.92%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
9,79.70115281026622,74.77196638527354,600032,浙江新能,bottom_area,2023-10-11,9.86,2023-09-22,9.7,1.6494845360824757,5.154639175257732,27.395209580838326,False,-0.9045,1.1875,1,1,1,100.0,19.31608133086876,19.31608133086876,8.350515463917525,1.6494845360824757,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
10,79.24528231415272,73.25194163493107,600322,津投城开,bottom_area,2023-10-11,2.31,2023-10-11,2.29,0.873362445414848,3.9301310043668063,30.182926829268286,False,-1.2821,3.7854,2,2,2,100.0,24.802193604714613,35.828877005347586,9.126637554585153,0.873362445414848,历史2/2次成功; 当前距低点0.87%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
11,78.80590737161391,76.30834995659984,301313,凡拓数创,confirmed_rebound,2023-10-11,28.72,2023-10-09,27.8,3.3093525179856047,10.215827338129497,30.93167701863354,False,2.4982,9.9001,3,4,3,75.0,39.831579019392564,52.43243243243245,6.690647482014396,3.3093525179856047,历史3/4次成功; 当前距低点3.31%; 最新日涨幅2.50%; 状态confirmed_rebound; 底部未确认
