rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.4009126054418,79.2745917585665,688262,国芯科技,bottom_area,2023-08-15,32.35,2023-08-15,32.0,1.0937500000000044,3.8124999999999964,30.885529157667378,False,-2.3544,1.1218,2,2,2,100.0,20.044848164336123,27.063197026022312,8.906249999999996,1.0937500000000044,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
2,85.25464138165043,79.48666597646958,688300,联瑞新材,bottom_area,2023-08-15,42.1,2023-08-14,41.55,1.3237063778580127,3.7304452466907447,28.974358974358978,False,-2.0475,0.316,2,2,2,100.0,24.003852247235756,26.809910956252438,8.676293622141989,1.3237063778580127,历史2/2次成功; 当前距低点1.32%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
3,84.23124328256633,79.37760370579076,600072,中船科技,bottom_area,2023-08-15,22.16,2023-08-14,21.75,1.8850574712643686,4.137931034482753,29.153094462540714,False,-1.2918,2.4512,3,3,3,100.0,13.631907205771569,14.0952380952381,8.114942528735632,1.8850574712643686,历史3/3次成功; 当前距低点1.89%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
4,83.65111892602738,76.55734056308037,688248,南网科技,bottom_area,2023-08-15,31.47,2023-08-15,31.36,0.35076530612244716,4.113520408163263,27.035830618892504,False,-3.4663,3.2421,3,3,3,100.0,29.715513231395445,49.406593406593416,9.649234693877554,0.35076530612244716,历史3/3次成功; 当前距低点0.35%; 最新日涨幅-3.47%; 状态bottom_area; 底部未确认
5,83.3691467943573,78.20468637346791,600935,华塑股份,bottom_area,2023-08-15,3.71,2023-06-27,3.65,1.6438356164383578,7.671232876712336,28.571428571428577,True,-0.5362,0.2331,1,1,1,100.0,28.50877192982458,28.50877192982458,8.356164383561643,1.6438356164383578,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-0.54%; 状态bottom_area; 底部已确认
6,83.11990653705064,76.93165099407517,300604,长川科技,bottom_area,2023-08-15,36.5,2023-08-15,36.16,0.9402654867256731,5.28207964601771,27.199516810952296,False,-3.388,2.1489,4,4,4,100.0,22.28739948284786,36.28082648300379,9.059734513274327,0.9402654867256731,历史4/4次成功; 当前距低点0.94%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
7,82.87827407926785,76.87440942649202,603015,弘讯科技,bottom_area,2023-08-15,8.63,2023-08-15,8.54,1.0538641686182861,3.0444964871194564,28.714524207011692,False,-1.1455,0.8376,1,1,1,100.0,23.318385650224208,23.318385650224208,8.946135831381714,1.0538641686182861,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
8,81.88133102448592,75.61670332756943,002240,盛新锂能,bottom_area,2023-08-15,25.71,2023-08-15,25.5,0.8235294117647093,3.647058823529411,27.762039660056654,False,-2.1317,1.0333,3,3,3,100.0,20.23844293759655,33.42198581560282,9.176470588235292,0.8235294117647093,历史3/3次成功; 当前距低点0.82%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
9,81.42233616383614,75.87744588744587,002519,银河电子,bottom_area,2023-08-15,5.46,2023-08-14,5.39,1.298701298701304,3.153988868274581,27.35849056603774,False,-1.087,0.945,1,1,1,100.0,20.959595959595962,20.959595959595962,8.701298701298695,1.298701298701304,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
10,80.78617176800417,74.90505841801334,600990,四创电子,bottom_area,2023-08-15,22.48,2023-08-15,22.25,1.0337078651685412,2.4719101123595535,30.66375818011842,False,-0.9692,0.4219,1,1,1,100.0,12.483399734395755,12.483399734395755,8.966292134831459,1.0337078651685412,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
11,80.49689100456406,74.6059630516446,300565,科信技术,bottom_area,2023-08-15,15.97,2023-08-15,15.81,1.0120177103099313,3.478810879190379,30.536028119507915,False,-1.6626,2.2743,1,1,1,100.0,10.60948081264109,10.60948081264109,8.98798228969007,1.0120177103099313,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
12,80.41068075460214,73.99673619872699,688328,深科达,bottom_area,2023-08-15,22.07,2023-08-15,21.93,0.6383948928408598,3.6935704514363827,30.31458531935176,False,-2.5607,3.8327,2,2,2,100.0,25.92621803443088,29.170984455958543,9.361605107159141,0.6383948928408598,历史2/2次成功; 当前距低点0.64%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
13,79.20862874784366,72.60753572829361,300473,德尔股份,bottom_area,2023-08-15,16.18,2023-08-14,16.11,0.43451272501552013,2.4829298572315466,28.24053452115813,False,-1.0398,1.4306,2,2,2,100.0,15.958197534026922,21.37137137137137,9.56548727498448,0.43451272501552013,历史2/2次成功; 当前距低点0.43%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
14,79.1337434465366,74.08056578070072,688287,退市观典,bottom_area,2023-08-15,10.57,2023-08-14,10.41,1.5369836695485124,3.073967339097025,30.414438502673804,False,-1.215,0.2913,1,1,1,100.0,14.219830899308223,14.219830899308223,8.463016330451488,1.5369836695485124,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
15,78.36308177902562,74.46799072918525,688143,长盈通,bottom_area,2023-08-15,29.06,2023-08-15,28.4,2.323943661971832,2.887323943661973,32.04115817181144,False,-0.6835,1.0345,1,1,1,100.0,25.949367088607595,25.949367088607595,7.676056338028168,2.323943661971832,历史1/1次成功; 当前距低点2.32%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
16,78.00701537236655,73.92439571884309,605118,力鼎光电,bottom_area,2023-08-15,14.54,2023-07-28,14.23,2.178496134926203,7.027406886858749,30.210887690044142,True,-1.0211,0.2378,1,1,1,100.0,12.050359712230225,12.050359712230225,7.821503865073797,2.178496134926203,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-1.02%; 状态bottom_area; 底部已确认
17,77.70089139653909,71.77804101833769,300455,航天智装,bottom_area,2023-08-15,10.81,2023-08-15,10.72,0.8395522388059687,2.9850746268656576,31.282051282051277,False,-1.3686,0.8501,2,2,2,100.0,16.463549047394118,18.904109589041095,9.160447761194032,0.8395522388059687,历史2/2次成功; 当前距低点0.84%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
18,77.44932912917275,71.5718292790147,603051,鹿山新材,bottom_area,2023-08-15,36.41,2023-08-15,36.1,0.8587257617728397,3.71191135734071,27.39340305711987,False,-2.4645,2.8125,2,2,2,100.0,15.58991406374611,18.738110336081178,9.141274238227162,0.8587257617728397,历史2/2次成功; 当前距低点0.86%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
19,73.52456176291123,73.01120175060231,002219,新里程,bottom_area,2023-08-15,3.84,2023-08-07,3.67,4.632152588555857,6.267029972752043,29.42307692307693,False,1.0526,0.5472,1,1,1,100.0,23.938223938223942,23.938223938223942,5.367847411444143,4.632152588555857,历史1/1次成功; 当前距低点4.63%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
20,73.33141368534345,72.01775173941185,300635,中达安,bottom_area,2023-08-15,13.87,2023-08-14,13.33,4.0510127531882905,5.4013503375844,27.475516866158866,False,-0.6447,2.9834,2,2,2,100.0,17.279896863877134,23.97914856646394,5.9489872468117095,4.0510127531882905,历史2/2次成功; 当前距低点4.05%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
21,72.89770404989896,67.50686784101238,300375,鹏翎股份,bottom_area,2023-08-15,4.17,2023-08-15,4.13,0.9685230024213084,4.1162227602905554,32.84552845528456,False,-1.8824,6.0651,1,1,1,100.0,11.74785100286532,11.74785100286532,9.031476997578693,0.9685230024213084,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
22,71.78856347559255,67.22278556088166,002403,爱仕达,bottom_area,2023-08-15,8.51,2023-08-14,8.38,1.5513126491646658,3.9379474940334136,32.852564102564095,False,-1.3905,0.9233,2,3,2,66.66666666666666,16.4145792167227,21.63892445582587,8.448687350835336,1.5513126491646658,历史2/3次成功; 当前距低点1.55%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
23,69.76177276449239,64.43474210529246,002386,天原股份,bottom_area,2023-08-15,6.06,2023-08-15,6.01,0.831946755407651,1.4975041597337746,27.503015681544024,False,-0.6557,0.593,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,9.16805324459235,0.831946755407651,历史2/3次成功; 当前距低点0.83%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
24,69.60378723895715,68.27165733964698,601360,三六零,bottom_area,2023-08-15,11.48,2023-08-14,11.04,3.985507246376824,6.3405797101449375,31.68316831683169,False,-1.9641,0.983,1,1,1,100.0,13.003300330033007,13.003300330033007,6.014492753623177,3.985507246376824,历史1/1次成功; 当前距低点3.99%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
25,68.17065649344107,62.62217853130508,603033,三维股份,bottom_area,2023-08-15,14.74,2023-08-15,14.66,0.5457025920873129,2.2510231923601642,32.035234121465,False,-1.3387,0.141,2,3,2,66.66666666666666,19.192009540846744,24.922480620155024,9.454297407912687,0.5457025920873129,历史2/3次成功; 当前距低点0.55%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
26,67.96321900534171,63.81737138521921,688115,思林杰,confirmed_rebound,2023-08-15,29.37,2023-08-15,28.88,1.6966759002770153,10.734072022160671,27.345911949685537,False,-8.2188,5.2856,2,3,2,66.66666666666666,20.31788049023731,23.658728081654015,8.303324099722985,1.6966759002770153,历史2/3次成功; 当前距低点1.70%; 最新日涨幅-8.22%; 状态confirmed_rebound; 底部未确认
27,66.49083908264858,63.08743783122709,000890,法尔胜,bottom_area,2023-08-15,4.56,2023-08-14,4.46,2.242152466367705,6.502242152466368,27.47967479674797,False,0.0,8.9802,1,2,1,50.0,32.954545454545446,32.954545454545446,7.757847533632295,2.242152466367705,历史1/2次成功; 当前距低点2.24%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
28,63.96333816329305,59.62756349059512,300763,锦浪科技,bottom_area,2023-08-15,83.89,2023-08-15,82.8,1.3164251207729512,5.072463768115946,29.13992297817715,False,-3.6633,3.0422,1,2,1,50.0,35.693617021276594,35.693617021276594,8.683574879227049,1.3164251207729512,历史1/2次成功; 当前距低点1.32%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
29,60.16417607728751,59.00345242306331,002554,惠博普,confirmed_rebound,2023-08-15,3.66,2023-06-26,3.52,3.9772727272727306,10.51136363636364,27.27272727272727,True,-1.0811,1.1053,2,4,2,50.0,22.428141081963094,28.404669260700388,6.02272727272727,3.9772727272727306,历史2/4次成功; 当前距低点3.98%; 最新日涨幅-1.08%; 状态confirmed_rebound; 底部已确认
