rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.91238124005406,82.4215005117707,300725,药石科技,bottom_area,2024-04-23,30.14,2024-04-16,29.31,2.8317980211531966,9.757761856021846,27.053260328521656,True,0.2661,3.2575,1,1,1,100.0,43.26881720430109,43.26881720430109,17.168201978846803,2.8317980211531966,历史1/1次成功; 当前距低点2.83%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
2,87.33450788655752,77.22839177899439,301520,万邦医药,bottom_area,2024-04-23,42.32,2024-04-16,40.99,3.2446938277628643,10.026835813613074,27.80908770693906,False,1.0989,6.3011,1,1,1,100.0,29.60372960372961,29.60372960372961,16.755306172237137,3.2446938277628643,历史1/1次成功; 当前距低点3.24%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
3,85.91517339379811,78.13826282592639,603230,内蒙新华,bottom_area,2024-04-23,12.7,2024-04-16,12.12,4.785478547854787,7.013201320132026,27.207207207207208,True,0.3953,4.931,2,2,2,100.0,27.522332876533863,31.521142229544196,15.214521452145213,4.785478547854787,历史2/2次成功; 当前距低点4.79%; 最新日涨幅0.40%; 状态bottom_area; 底部已确认
4,78.65878884454023,71.71003796618852,688114,华大智造,bottom_area,2024-04-23,53.56,2024-04-22,51.05,4.916748285994134,6.738491674828609,31.412065027542667,False,1.7671,0.5928,1,1,1,100.0,20.431312141156706,20.431312141156706,15.083251714005867,4.916748285994134,历史1/1次成功; 当前距低点4.92%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
5,77.98424219725341,66.33820224719099,002685,华东重机,bottom_area,2024-04-23,2.7,2024-04-16,2.67,1.123595505617987,7.490636704119858,28.22580645161291,True,-0.369,1.1663,1,2,1,50.0,109.52380952380952,109.52380952380952,18.876404494382015,1.123595505617987,历史1/2次成功; 当前距低点1.12%; 最新日涨幅-0.37%; 状态bottom_area; 底部已确认
6,70.77099614082643,63.046737160120834,002432,九安医疗,bottom_area,2024-04-23,41.17,2024-04-17,39.72,3.6505538771399872,4.1792547834844,27.75554747180793,False,2.2349,2.2999,1,2,1,50.0,65.03496503496503,65.03496503496503,16.349446122860016,3.6505538771399872,历史1/2次成功; 当前距低点3.65%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
7,70.32870783342764,62.82873337785162,002256,兆新股份,bottom_area,2024-04-23,1.91,2024-04-16,1.84,3.8043478260869477,8.152173913043473,30.82706766917293,True,0.5263,0.7316,2,5,2,40.0,29.85293774908523,31.775700934579426,16.195652173913054,3.8043478260869477,历史2/5次成功; 当前距低点3.80%; 最新日涨幅0.53%; 状态bottom_area; 底部已确认
8,65.14045191048683,54.889309123356476,002129,TCL中环,bottom_area,2024-04-23,9.97,2024-04-23,9.91,0.6054490413723561,5.146316851664983,28.807471264367813,False,-2.8265,2.214,1,2,1,50.0,31.12759643916912,31.12759643916912,19.394550958627647,0.6054490413723561,历史1/2次成功; 当前距低点0.61%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
9,64.36371493065107,57.68606446398109,000856,冀东装备,bottom_area,2024-04-23,6.79,2024-04-22,6.53,3.981623277182232,4.900459418070435,30.45793397231097,False,1.6467,3.2678,1,2,1,50.0,25.237449118046136,25.237449118046136,16.018376722817766,3.981623277182232,历史1/2次成功; 当前距低点3.98%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
10,61.572471688405294,54.832479337698416,002022,科华生物,bottom_area,2024-04-23,6.85,2024-04-22,6.61,3.630862329803318,3.7821482602118,27.362637362637354,False,0.7353,0.7733,1,3,1,33.33333333333333,25.04038772213247,25.04038772213247,16.369137670196682,3.630862329803318,历史1/3次成功; 当前距低点3.63%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
11,59.99663791641879,50.448997848977896,002459,晶澳科技,bottom_area,2024-04-23,14.33,2024-04-23,14.26,0.4908835904628351,5.4698457223001355,30.37109375,False,-2.979,1.5679,1,4,1,25.0,26.683937823834192,26.683937823834192,19.509116409537167,0.4908835904628351,历史1/4次成功; 当前距低点0.49%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
12,57.25520227461062,47.90910097832734,300769,德方纳米,bottom_area,2024-04-23,31.3,2024-04-22,31.23,0.22414345180915873,4.482869036183164,27.355198883461274,False,-0.1595,2.7731,1,5,1,20.0,20.592193808882907,20.592193808882907,19.77585654819084,0.22414345180915873,历史1/5次成功; 当前距低点0.22%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
13,54.25379262444056,49.34726460123231,000510,新金路,bottom_area,2024-04-23,3.5,2024-04-17,3.34,4.790419161676651,9.880239520958087,28.172043010752695,True,-0.8499,1.5834,1,3,1,33.33333333333333,23.043478260869577,23.043478260869577,15.20958083832335,4.790419161676651,历史1/3次成功; 当前距低点4.79%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
