rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.09746898944651,83.80561805353172,600192,长城电工,bottom_area,2026-06-11,6.72,9.88,2026-06-11,6.63,1.3574660633484141,3.318250377073903,32.894736842105274,31.983805668016203,False,-1.17647058823529,1.0727835589948986,2,2,2,100.0,47.63785310734464,60.875706214689274,18.64253393665159,1.3574660633484141,历史2/2次成功; 当前距低点1.36%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
2,97.93649255818035,83.38545461677607,000919,金陵药业,bottom_area,2026-06-11,6.04,8.83,2026-06-11,5.97,1.1725293132328356,2.1775544388609696,32.389580973952434,31.596828992072478,False,-1.1456628477905073,1.3051679601498452,3,3,3,100.0,26.44527661799429,31.2267657992565,18.827470686767164,1.1725293132328356,历史3/3次成功; 当前距低点1.17%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
3,97.60075942733079,84.16243399871216,605005,合兴股份,bottom_area,2026-06-11,15.82,21.78,2026-06-10,15.53,1.8673535093367735,2.44687701223439,28.69605142332416,27.364554637281913,False,0.957243139757491,0.3211471321695761,1,1,1,100.0,96.96521095484826,96.96521095484826,18.13264649066323,1.8673535093367735,历史1/1次成功; 当前距低点1.87%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
4,97.16336179811303,83.34910520658744,300986,志特新材,bottom_area,2026-06-11,17.98,25.4,2026-06-11,17.7,1.5819209039548088,2.9943502824858825,30.314960629921263,29.212598425196845,False,-1.1544804837823053,3.491110174169585,2,2,2,100.0,47.93486487959358,54.76987447698747,18.418079096045194,1.5819209039548088,历史2/2次成功; 当前距低点1.58%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
5,97.08373576221449,83.60261033786927,002556,辉隆股份,bottom_area,2026-06-11,5.11,6.89,2026-06-09,5.02,1.7928286852589792,7.171314741035864,27.140783744557336,25.834542815674883,True,0.7889546351084853,1.7053265924421694,1,1,1,100.0,36.88311688311687,36.88311688311687,18.20717131474102,1.7928286852589792,历史1/1次成功; 当前距低点1.79%; 最新日涨幅0.79%; 状态bottom_area; 底部已确认
6,96.96024027801295,83.23634265725704,001206,依依股份,bottom_area,2026-06-11,15.66,21.94,2026-06-11,15.41,1.6223231667748215,2.530824140168725,29.762989972652694,28.62351868732908,False,0.0,1.8525328465652464,1,1,1,100.0,42.01741654571844,42.01741654571844,18.37767683322518,1.6223231667748215,历史1/1次成功; 当前距低点1.62%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,96.34069806080734,81.84420315236429,603086,先达股份,bottom_area,2026-06-11,5.77,7.9,2026-06-11,5.71,1.0507880910682945,2.977232924693519,27.721518987341774,26.96202531645571,False,-1.1986301369863117,1.0242332036529704,1,1,1,100.0,56.97115384615385,56.97115384615385,18.94921190893171,1.0507880910682945,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
8,95.29105569190904,82.38865992813939,688155,先惠技术,bottom_area,2026-06-11,75.03,102.04,2026-06-11,73.55,2.0122365737593526,4.09245411284841,27.920423363386917,26.470011760094085,False,-0.6225165562913859,1.6515866244701687,3,3,3,100.0,31.379351162960756,38.11460912628228,17.98776342624065,2.0122365737593526,历史3/3次成功; 当前距低点2.01%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
9,95.10149142857138,81.18419999999999,600615,鑫源智造,bottom_area,2026-06-11,9.24,12.98,2026-06-11,9.12,1.3157894736842215,3.070175438596504,29.73805855161788,28.8135593220339,False,-1.0706638115631661,0.8728344187395046,1,1,1,100.0,49.7,49.7,18.68421052631578,1.3157894736842215,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
10,95.0165303776027,81.03208600477483,300579,数字认证,bottom_area,2026-06-11,20.86,28.44,2026-06-11,20.6,1.2621359223300872,4.1262135922329986,27.566807313642755,26.65260196905767,False,-3.111936832326989,1.3308849657920645,3,3,3,100.0,25.10621455745923,29.49956101843722,18.737864077669915,1.2621359223300872,历史3/3次成功; 当前距低点1.26%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
11,94.21500976181181,80.00153846153847,002015,协鑫能科,bottom_area,2026-06-11,17.73,25.24,2026-06-11,17.55,1.025641025641024,3.9316239316239185,30.467511885895398,29.75435816164817,False,-4.058441558441562,5.916228634944604,1,1,1,100.0,65.95380667236954,65.95380667236954,18.974358974358978,1.025641025641024,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-4.06%; 状态bottom_area; 底部未确认
