rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.59394264327959,81.98340709164945,002405,四维图新,bottom_area,2023-05-17,11.31,2023-05-16,11.14,1.5260323159784552,2.5134649910233335,27.75616083009079,False,1.1628,0.8909,2,2,2,100.0,17.434197699356595,23.478260869565215,8.473967684021545,1.5260323159784552,历史2/2次成功; 当前距低点1.53%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
2,85.59433660685653,80.06072750022345,002385,大北农,bottom_area,2023-05-17,6.8,2023-05-15,6.7,1.4925373134328304,2.9850746268656745,32.25480283114257,False,0.0,0.5098,1,1,1,100.0,23.353293413173663,23.353293413173663,8.50746268656717,1.4925373134328304,历史1/1次成功; 当前距低点1.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,85.00539816026846,83.78082313741119,688075,安旭生物,bottom_area,2023-05-17,67.39,2023-05-10,64.65,4.2382057231245085,4.94972931167825,30.37906525953047,False,0.104,1.082,5,5,5,100.0,27.010388097500325,40.134529147982065,5.7617942768754915,4.2382057231245085,历史5/5次成功; 当前距低点4.24%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
4,84.83844706768002,79.74947287188652,300609,汇纳科技,bottom_area,2023-05-17,19.15,2023-05-17,18.82,1.75345377258235,5.366631243358119,27.615384615384613,False,-1.3395,6.0033,2,2,2,100.0,30.684663835345603,49.87035436473638,8.24654622741765,1.75345377258235,历史2/2次成功; 当前距低点1.75%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
5,83.65248819600374,78.12503242571525,688048,长光华芯,bottom_area,2023-05-17,85.44,2023-05-12,84.25,1.4124629080118667,4.629080118694369,29.20168067226891,False,-0.9276,1.3061,2,2,2,100.0,17.771225032162963,19.48504983388705,8.587537091988134,1.4124629080118667,历史2/2次成功; 当前距低点1.41%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
6,82.49661765317741,78.58611253196935,000629,钒钛股份,bottom_area,2023-05-17,4.18,2023-04-25,4.08,2.450980392156854,9.803921568627459,31.08108108108108,False,0.4808,0.2945,1,1,1,100.0,27.173913043478265,27.173913043478265,7.549019607843147,2.450980392156854,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
7,81.7152861860449,78.55465595190732,002777,久远银海,bottom_area,2023-05-17,28.11,2023-05-17,27.31,2.929329915781768,3.844745514463569,32.567901234567906,False,1.5168,4.2291,2,2,2,100.0,16.201764300482424,18.88352860096485,7.070670084218234,2.929329915781768,历史2/2次成功; 当前距低点2.93%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
8,81.46376613981066,80.01689422074398,002690,美亚光电,bottom_area,2023-05-17,24.61,2023-05-15,23.65,4.059196617336156,4.312896405919675,28.765060240963862,False,2.5417,0.8355,3,3,3,100.0,21.246572625109707,27.355278093076052,5.9408033826638444,4.059196617336156,历史3/3次成功; 当前距低点4.06%; 最新日涨幅2.54%; 状态bottom_area; 底部未确认
9,81.01014047232698,79.79355709067545,002245,蔚蓝锂芯,bottom_area,2023-05-17,11.15,2023-04-26,10.7,4.2056074766355245,8.317757009345799,29.512516469038214,False,0.4505,1.2378,3,3,3,100.0,21.840549125830286,25.653923541247494,5.794392523364476,4.2056074766355245,历史3/3次成功; 当前距低点4.21%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
10,80.63791890113357,77.74968245772173,600248,陕建股份,bottom_area,2023-05-17,5.68,2023-05-17,5.51,3.085299455535389,3.629764065335757,28.719275549805957,False,1.0676,4.2508,2,2,2,100.0,13.785834496464656,16.28498727735369,6.914700544464611,3.085299455535389,历史2/2次成功; 当前距低点3.09%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
11,80.56508486291509,76.57803293096586,688289,圣湘生物,confirmed_rebound,2023-05-17,18.4,2023-04-26,17.98,2.3359288097886437,12.45828698553948,27.058823529411757,False,0.6014,0.4845,1,1,1,100.0,25.182530200451346,25.182530200451346,7.664071190211357,2.3359288097886437,历史1/1次成功; 当前距低点2.34%; 最新日涨幅0.60%; 状态confirmed_rebound; 底部未确认
12,80.24682929519113,78.33082353954751,000518,四环生物,bottom_area,2023-05-17,2.78,2023-04-25,2.68,3.731343283582076,9.328358208955223,27.956989247311824,True,0.361,0.455,2,2,2,100.0,15.635947452229296,17.834394904458602,6.268656716417925,3.731343283582076,历史2/2次成功; 当前距低点3.73%; 最新日涨幅0.36%; 状态bottom_area; 底部已确认
13,80.23153393614172,75.39260126939004,600199,金种子酒,bottom_area,2023-05-17,22.28,2023-05-17,21.9,1.73515981735161,2.3744292237443068,30.43202033036849,False,-0.4913,1.8255,1,1,1,100.0,23.70304114490161,23.70304114490161,8.26484018264839,1.73515981735161,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
14,79.78909565802206,77.40733160852886,300762,上海瀚讯,bottom_area,2023-05-17,11.83,2023-05-10,11.44,3.4090909090909145,4.895104895104899,27.50316856780735,False,1.7197,0.8863,1,1,1,100.0,32.580961727183514,32.580961727183514,6.590909090909086,3.4090909090909145,历史1/1次成功; 当前距低点3.41%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
15,79.63989889531452,73.04251082114644,000059,华锦股份,bottom_area,2023-05-17,6.51,2023-05-17,6.48,0.46296296296295303,2.7777777777777732,32.21757322175732,False,-1.81,1.0914,2,2,2,100.0,18.645518154311638,25.41603630862328,9.537037037037049,0.46296296296295303,历史2/2次成功; 当前距低点0.46%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
16,79.61431344816233,74.17585919757761,000603,盛达资源,bottom_area,2023-05-17,13.38,2023-05-17,13.21,1.2869038607115815,2.649507948523843,31.87209902011346,False,-0.0747,1.585,1,1,1,100.0,11.666666666666679,11.666666666666679,8.71309613928842,1.2869038607115815,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
17,78.92206141747559,77.29684568763304,600203,福日电子,bottom_area,2023-05-17,5.85,2023-05-15,5.63,3.9076376554174024,4.618117229129659,28.824273072060684,False,2.2727,1.7338,2,2,2,100.0,21.43150291389641,24.045801526717554,6.0923623445825985,3.9076376554174024,历史2/2次成功; 当前距低点3.91%; 最新日涨幅2.27%; 状态bottom_area; 底部未确认
18,78.7713988221858,72.30225012664398,300661,圣邦股份,bottom_area,2023-05-17,119.7,2023-05-17,119.1,0.5037783375314934,2.5020990764063846,30.480971281811815,False,-1.0007,0.5748,1,1,1,100.0,31.832606108687024,31.832606108687024,9.496221662468507,0.5037783375314934,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
19,78.02840435070226,77.48558338542506,688206,概伦电子,bottom_area,2023-05-17,27.55,2023-05-15,26.33,4.633497911128001,5.393087732624389,28.6449864498645,False,1.2495,1.1087,2,2,2,100.0,31.34386356342422,39.570720968629594,5.366502088871999,4.633497911128001,历史2/2次成功; 当前距低点4.63%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
20,77.37780287508676,70.56969386953695,001201,东瑞股份,bottom_area,2023-05-17,23.82,2023-05-17,23.78,0.16820857863750693,1.261564339781317,30.0176574455562,False,-0.75,1.1869,1,1,1,100.0,18.4043517679057,18.4043517679057,9.831791421362492,0.16820857863750693,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
21,77.0994060661438,74.79291788002331,002383,合众思壮,bottom_area,2023-05-17,6.68,2023-05-15,6.46,3.405572755417953,4.1795665634675,29.166666666666664,False,2.2971,1.1552,1,1,1,100.0,18.48184818481848,18.48184818481848,6.5944272445820475,3.405572755417953,历史1/1次成功; 当前距低点3.41%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
22,76.55578159599978,74.18628084564565,300598,诚迈科技,bottom_area,2023-05-17,42.58,2023-05-15,41.2,3.349514563106785,3.4951456310679556,30.027173913043477,False,1.4534,1.355,1,1,1,100.0,14.533193814672712,14.533193814672712,6.6504854368932165,3.349514563106785,历史1/1次成功; 当前距低点3.35%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
23,76.14108820956943,75.93567946511703,688181,八亿时空,bottom_area,2023-05-17,34.75,2023-05-15,33.14,4.8581774290887125,4.8581774290887125,29.157759726378796,False,2.7802,0.9711,2,2,2,100.0,25.76518281418983,28.477257745550418,5.1418225709112875,4.8581774290887125,历史2/2次成功; 当前距低点4.86%; 最新日涨幅2.78%; 状态bottom_area; 底部未确认
24,75.54636052169145,69.35155895891276,600160,巨化股份,bottom_area,2023-05-17,13.77,2023-05-17,13.7,0.5109489051094911,2.1897810218978155,28.083989501312338,False,-0.721,0.6484,1,1,1,100.0,16.05657237936772,16.05657237936772,9.48905109489051,0.5109489051094911,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
25,74.57090222722616,69.01235097069802,300653,正海生物,bottom_area,2023-05-17,34.54,2023-05-17,34.22,0.9351256575102287,5.435417884278198,28.900893413671312,False,-4.0822,4.3271,1,1,1,100.0,29.647513278609367,29.647513278609367,9.064874342489771,0.9351256575102287,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-4.08%; 状态bottom_area; 底部未确认
26,73.99325714769483,72.72298663872152,688321,微芯生物,bottom_area,2023-05-17,22.9,2023-05-15,22.0,4.090909090909085,5.772727272727271,31.888544891640862,False,0.1312,0.5532,1,1,1,100.0,15.754082612872244,15.754082612872244,5.909090909090916,4.090909090909085,历史1/1次成功; 当前距低点4.09%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
27,73.57019341179155,73.18029837944205,300426,华智数媒,bottom_area,2023-05-17,12.2,2023-05-17,11.65,4.7210300429184455,7.124463519313305,32.030338389731625,False,1.1609,5.7942,1,1,1,100.0,25.936811168258643,25.936811168258643,5.278969957081555,4.7210300429184455,历史1/1次成功; 当前距低点4.72%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
28,73.54875697542109,72.45509516166018,600114,东睦股份,bottom_area,2023-05-17,7.42,2023-05-10,7.12,4.2134831460674125,5.056179775280904,27.04918032786885,False,2.3448,1.7464,1,1,1,100.0,15.816326530612232,15.816326530612232,5.786516853932588,4.2134831460674125,历史1/1次成功; 当前距低点4.21%; 最新日涨幅2.34%; 状态bottom_area; 底部未确认
29,72.1172346705996,70.2815232426207,601369,陕鼓动力,bottom_area,2023-05-17,9.38,2023-05-10,9.05,3.6464088397790064,4.972375690607726,32.31114435302916,False,0.7519,0.5048,2,3,2,66.66666666666666,36.068111455108365,55.572755417956664,6.353591160220995,3.6464088397790064,历史2/3次成功; 当前距低点3.65%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
30,71.85859470362128,66.49692845110695,300727,润禾材料,bottom_area,2023-05-17,26.02,2023-05-16,25.78,0.9309542280837798,2.0170674941815343,30.661646046261424,False,0.1925,1.2633,2,3,2,66.66666666666666,22.273319486404827,26.812499999999993,9.06904577191622,0.9309542280837798,历史2/3次成功; 当前距低点0.93%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
31,62.01798673362613,59.39265905093967,002758,浙农股份,bottom_area,2023-05-17,12.42,2023-04-25,12.09,2.7295285359801498,5.789909015715462,28.249258160237396,False,2.0542,1.8605,1,2,1,50.0,19.064430714916153,19.064430714916153,7.270471464019851,2.7295285359801498,历史1/2次成功; 当前距低点2.73%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
32,60.01024995036384,57.85160786581839,300386,飞天诚信,bottom_area,2023-05-17,10.72,2023-05-17,10.4,3.0769230769230793,3.6538461538461444,29.72972972972973,False,1.6114,1.5218,1,2,1,50.0,15.037593984962406,15.037593984962406,6.923076923076921,3.0769230769230793,历史1/2次成功; 当前距低点3.08%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
33,59.64890494741714,56.03193005253977,688298,东方生物,bottom_area,2023-05-17,53.91,2023-05-15,53.0,1.7169811320754653,2.6981132075471694,31.771369721936153,False,-0.0741,0.4777,2,6,2,33.33333333333333,13.83501989429302,15.470039788586028,8.283018867924536,1.7169811320754653,历史2/6次成功; 当前距低点1.72%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
34,58.547741265865895,55.87664389581728,688116,天奈科技,bottom_area,2023-05-17,51.9,2023-05-10,50.61,2.5489033787788955,8.496344595929653,29.374825565168848,True,-1.6487,1.2672,1,2,1,50.0,11.226578491576134,11.226578491576134,7.451096621221105,2.5489033787788955,历史1/2次成功; 当前距低点2.55%; 最新日涨幅-1.65%; 状态bottom_area; 底部已确认
35,57.499741857318526,56.51951412162977,002403,爱仕达,bottom_area,2023-05-17,8.13,2023-04-25,7.81,4.097311139564676,7.298335467349568,28.545288197621225,True,2.3929,0.8849,1,2,1,50.0,11.190233977619528,11.190233977619528,5.902688860435325,4.097311139564676,历史1/2次成功; 当前距低点4.10%; 最新日涨幅2.39%; 状态bottom_area; 底部已确认
36,55.57962340056593,51.0803757728965,601636,旗滨集团,bottom_area,2023-05-17,8.81,2023-05-17,8.76,0.5707762557077707,1.9406392694063919,27.72277227722772,False,-0.2265,0.5159,1,2,1,50.0,10.224438902743147,10.224438902743147,9.42922374429223,0.5707762557077707,历史1/2次成功; 当前距低点0.57%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
