rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.26268678897635,81.95799726298397,600009,上海机场,confirmed_rebound,2023-06-29,45.42,2023-06-06,44.82,1.3386880856760406,8.366800535475234,29.83719474013776,True,-2.0276,0.4707,3,3,3,100.0,21.829065044759854,27.704918032786885,6.66131191432396,1.3386880856760406,历史3/3次成功; 当前距低点1.34%; 最新日涨幅-2.03%; 状态confirmed_rebound; 底部已确认
2,85.26778583248216,80.62122897947175,002041,登海种业,bottom_area,2023-06-29,14.88,2023-06-29,14.72,1.0869565217391313,2.377717391304345,30.56603773584905,False,0.1346,0.4276,1,1,1,100.0,21.395106715252467,21.395106715252467,6.913043478260869,1.0869565217391313,历史1/1次成功; 当前距低点1.09%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,84.19140228403774,79.92638697076326,000792,盐湖股份,bottom_area,2023-06-29,18.74,2023-05-30,18.5,1.297297297297289,7.5675675675675595,29.49695121951219,True,-1.056,0.2453,2,2,2,100.0,16.850671013984325,24.904214559386965,6.702702702702712,1.297297297297289,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
4,83.12275009754161,80.10992047950795,601666,平煤股份,bottom_area,2023-06-29,7.36,2023-06-26,7.21,2.0804438280166484,4.85436893203883,29.10521140609636,False,-2.2576,0.9105,3,3,3,100.0,19.964152727881192,27.30923694779115,5.919556171983352,2.0804438280166484,历史3/3次成功; 当前距低点2.08%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
5,82.21059447873499,77.74400144196107,600935,华塑股份,bottom_area,2023-06-29,3.69,2023-06-27,3.65,1.0958904109589052,1.9178082191780899,28.571428571428577,False,-0.8065,0.1659,1,1,1,100.0,28.50877192982458,28.50877192982458,6.904109589041095,1.0958904109589052,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
6,82.0155644803944,77.00266868518683,002545,东方铁塔,bottom_area,2023-06-29,6.98,2023-06-26,6.93,0.7215007215007319,2.0202020202020283,27.58620689655173,False,0.0,0.5291,2,2,2,100.0,20.63274371079842,28.468653648509758,7.278499278499269,0.7215007215007319,历史2/2次成功; 当前距低点0.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,81.15647264693176,78.60557891608264,605178,时空科技,bottom_area,2023-06-29,22.31,2023-06-26,21.8,2.3394495412843943,3.4403669724770642,29.4041450777202,False,0.9502,2.5808,2,2,2,100.0,9.244751990382023,9.557235421166304,5.660550458715606,2.3394495412843943,历史2/2次成功; 当前距低点2.34%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
8,80.99910732410504,80.02489125663298,603335,迪生力,bottom_area,2023-06-29,6.44,2023-06-27,6.23,3.370786516853932,4.654895666131607,27.134502923976612,False,0.3115,4.2719,3,3,3,100.0,12.85099201645131,20.081135902636923,4.629213483146068,3.370786516853932,历史3/3次成功; 当前距低点3.37%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
9,80.91425126023005,79.3416095723365,002299,圣农发展,bottom_area,2023-06-29,19.01,2023-06-26,18.46,2.979414951245941,4.1170097508125565,27.00672202451561,False,0.9559,0.5187,2,2,2,100.0,21.046643339662563,26.73830594184577,5.020585048754059,2.979414951245941,历史2/2次成功; 当前距低点2.98%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
10,80.29870071756424,79.56553142277845,002414,高德红外,bottom_area,2023-06-29,7.64,2023-06-28,7.38,3.5230352303523005,4.065040650406502,27.859237536656895,False,1.3263,0.3717,3,3,3,100.0,12.247590042912286,16.372549019607842,4.4769647696477,3.5230352303523005,历史3/3次成功; 当前距低点3.52%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
11,79.81548570279877,77.55285624984067,300688,创业黑马,confirmed_rebound,2023-06-29,32.74,2023-06-28,31.94,2.5046963055729514,10.363180964308073,29.55447728275254,False,-0.9679,7.7114,3,3,3,100.0,21.63206358358606,39.651707970529145,5.495303694427049,2.5046963055729514,历史3/3次成功; 当前距低点2.50%; 最新日涨幅-0.97%; 状态confirmed_rebound; 底部未确认
12,79.58160028176995,80.77585597517509,000810,创维数字,bottom_area,2023-06-29,15.8,2023-06-28,15.08,4.774535809018572,5.371352785145892,27.360308285163782,False,0.7653,1.8137,4,4,4,100.0,17.429019460953928,31.738800303720588,3.225464190981428,4.774535809018572,历史4/4次成功; 当前距低点4.77%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
13,79.50290339146075,76.80494576524906,688302,海创药业,bottom_area,2023-06-29,53.77,2023-06-26,52.61,2.2049040106443716,5.873408097319908,29.70336718332443,False,-0.4075,0.8138,1,1,1,100.0,37.054445750097926,37.054445750097926,5.795095989355628,2.2049040106443716,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
14,79.4001635923298,76.32390248455538,002626,金达威,bottom_area,2023-06-29,18.34,2023-06-26,17.99,1.9455252918288017,3.112840466926083,27.165991902834012,False,0.4932,0.3056,1,1,1,100.0,8.815592203898044,8.815592203898044,6.054474708171198,1.9455252918288017,历史1/1次成功; 当前距低点1.95%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
15,79.33467714837722,76.46127190637557,603322,超讯通信,bottom_area,2023-06-29,29.42,2023-06-29,28.82,2.081887578070789,3.712699514226233,30.201017195446838,False,-0.5409,10.038,2,2,2,100.0,17.03212679772567,18.007915567282325,5.918112421929211,2.081887578070789,历史2/2次成功; 当前距低点2.08%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
16,77.15858875251774,73.93695740365112,601669,中国电建,bottom_area,2023-06-29,5.71,2023-06-07,5.61,1.7825311942958937,4.812834224598923,29.78723404255319,False,-0.6957,0.591,1,1,1,100.0,16.457680250783696,16.457680250783696,6.217468805704106,1.7825311942958937,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
