rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.4549286321298,83.71092569065134,603222,济民健康,bottom_area,2024-01-18,7.27,2024-01-18,7.12,2.1067415730337005,4.353932584269658,29.504950495049503,False,-2.1534,1.9038,8,8,8,100.0,22.980088586925643,68.46504559270518,7.8932584269663,2.1067415730337005,历史8/8次成功; 当前距低点2.11%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
2,88.02280750313807,85.07107779882531,603348,文灿股份,bottom_area,2024-01-18,30.55,2024-01-18,29.6,3.209459459459457,3.378378378378378,27.272727272727277,False,0.4934,1.2921,4,4,4,100.0,21.33680304512298,31.539888682745836,6.790540540540543,3.209459459459457,历史4/4次成功; 当前距低点3.21%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
3,87.69012973934205,84.85562881896236,002761,浙江建投,bottom_area,2024-01-18,9.46,2024-01-18,9.16,3.2751091703056847,3.820960698689952,28.881987577639755,False,0.2119,1.6719,4,4,4,100.0,20.98321358741574,43.73730534867976,6.724890829694316,3.2751091703056847,历史4/4次成功; 当前距低点3.28%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
4,86.48869391319735,83.92668002166123,300454,深信服,bottom_area,2024-01-18,63.78,2024-01-18,61.67,3.421436679098426,3.7619588130371335,32.21587162013629,False,2.048,1.5212,4,4,4,100.0,17.782557258094812,29.49391262831224,6.578563320901575,3.421436679098426,历史4/4次成功; 当前距低点3.42%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
5,85.31016847079994,81.6506555777259,688356,键凯科技,bottom_area,2024-01-18,94.0,2024-01-18,91.53,2.698568775264939,3.7692559816453657,28.391488030042243,False,0.3952,0.6252,3,3,3,100.0,13.351571964139552,15.625,7.301431224735061,2.698568775264939,历史3/3次成功; 当前距低点2.70%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
6,85.20043727409877,80.16343767503747,688023,安恒信息,bottom_area,2024-01-18,81.93,2024-01-18,80.48,1.8016898608349936,5.168986083499001,28.334817453250217,False,-1.6801,2.3735,2,2,2,100.0,33.50156213839389,39.261744966442954,8.198310139165008,1.8016898608349936,历史2/2次成功; 当前距低点1.80%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
7,85.09227452586443,81.25928918686152,002146,荣盛发展,bottom_area,2024-01-18,1.59,2024-01-18,1.55,2.5806451612903247,3.2258064516129057,30.180180180180184,False,-0.625,1.7206,4,4,4,100.0,15.608387927975553,19.587628865979376,7.419354838709675,2.5806451612903247,历史4/4次成功; 当前距低点2.58%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
8,85.03776923928064,82.56787723785169,000957,中通客车,bottom_area,2024-01-18,8.09,2024-01-18,7.82,3.4526854219948793,5.1150895140665,28.125,False,-2.0581,1.9805,3,3,3,100.0,132.3344468028054,354.54545454545456,6.547314578005121,3.4526854219948793,历史3/3次成功; 当前距低点3.45%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
9,84.09646684930209,82.80651609604708,688079,美迪凯,bottom_area,2024-01-18,9.95,2024-01-18,9.55,4.188481675392655,4.607329842931931,32.173295454545446,False,0.3024,2.892,4,4,4,100.0,21.162657612593186,30.064655172413808,5.811518324607345,4.188481675392655,历史4/4次成功; 当前距低点4.19%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
10,84.09514757669825,81.23637915466732,300609,汇纳科技,bottom_area,2024-01-18,23.33,2024-01-18,22.61,3.184431667403799,4.820875718708535,31.69184290030212,False,-0.2565,3.2777,4,4,4,100.0,22.886469657784787,49.87035436473638,6.815568332596202,3.184431667403799,历史4/4次成功; 当前距低点3.18%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
11,83.10120301452842,79.17313375154026,301396,宏景科技,bottom_area,2024-01-18,24.59,2024-01-18,24.0,2.458333333333333,2.9166666666666634,30.333817126269963,False,1.6116,5.601,2,2,2,100.0,13.753407266345539,14.060963618485728,7.541666666666667,2.458333333333333,历史2/2次成功; 当前距低点2.46%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
