rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
15,75.5442982231864,73.20822247174476,688190,云路股份,bottom_area,2025-12-08,96.02,2025-12-05,93.8,2.3667377398720673,3.7100213219616247,27.73497688751927,False,-0.0728,0.5104,1,1,1,100.0,19.70099203576919,19.70099203576919,5.633262260127933,2.3667377398720673,历史1/1次成功; 当前距低点2.37%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
16,75.1722082622436,72.62582143656647,600383,金地集团,bottom_area,2025-12-08,3.24,2025-12-05,3.17,2.208201892744489,4.416403785488963,30.482456140350873,False,-1.5198,2.301,3,4,3,75.0,18.793127699053183,32.594936708860764,5.791798107255511,2.208201892744489,历史3/4次成功; 当前距低点2.21%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
17,75.08855928588785,74.71644749021004,688766,普冉股份,bottom_area,2025-12-08,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,4.258333333333337,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
18,74.94867196227972,75.35554102518284,603197,保隆科技,bottom_area,2025-12-08,35.56,2025-11-21,34.1,4.281524926686219,5.014662756598243,27.431368376250266,False,0.3669,0.8821,5,6,5,83.33333333333334,18.355293143516597,23.07435811937312,3.718475073313781,4.281524926686219,历史5/6次成功; 当前距低点4.28%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
19,74.69419643820757,75.42276744547101,603173,福斯达,bottom_area,2025-12-08,38.51,2025-11-24,36.85,4.504748982360914,5.6445047489823565,32.86573146292585,False,0.9172,3.9577,1,1,1,100.0,35.34190927555856,35.34190927555856,3.4952510176390867,4.504748982360914,历史1/1次成功; 当前距低点4.50%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
20,74.52952620479927,69.51985141575553,002321,华英农业,bottom_area,2025-12-08,2.62,2025-12-08,2.61,0.3831417624521162,4.5977011494252915,32.38341968911917,False,-4.3796,4.3926,1,1,1,100.0,25.609756097560986,25.609756097560986,7.616858237547884,0.3831417624521162,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
21,74.01997852209637,70.45351795230724,000695,滨海能源,bottom_area,2025-12-08,14.16,2025-12-08,13.96,1.4326647564469863,3.1518624641833775,27.480519480519476,False,-0.8403,9.3856,4,6,4,66.66666666666666,15.663048012579045,21.910112359550556,6.567335243553014,1.4326647564469863,历史4/6次成功; 当前距低点1.43%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
22,73.39097993440424,74.16487427466156,002418,康盛股份,bottom_area,2025-12-08,4.6,2025-12-05,4.4,4.545454545454529,5.227272727272717,27.031509121061358,False,1.3216,3.4078,1,1,1,100.0,29.078014184397176,29.078014184397176,3.454545454545471,4.545454545454529,历史1/1次成功; 当前距低点4.55%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
23,71.55203792548276,71.87752103962445,002291,遥望科技,bottom_area,2025-12-08,6.89,2025-12-05,6.61,4.236006051437206,5.143721633888046,28.77155172413792,False,0.4373,5.2425,3,4,3,75.0,17.153843209146633,27.107438016528935,3.763993948562794,4.236006051437206,历史3/4次成功; 当前距低点4.24%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
24,71.53018840770932,72.74608074300465,003038,鑫铂股份,bottom_area,2025-12-08,16.13,2025-11-24,15.38,4.8764629388816525,5.7867360208062335,28.76331635016211,False,1.2555,2.0877,1,1,1,100.0,25.507614213197975,25.507614213197975,3.1235370611183475,4.8764629388816525,历史1/1次成功; 当前距低点4.88%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
25,70.98566253822338,71.28280594215076,603938,三孚股份,confirmed_rebound,2025-12-08,18.04,2025-11-21,17.31,4.21721548238013,8.08781051415368,27.45180217937972,False,1.2346,1.9416,1,1,1,100.0,19.774501300954046,19.774501300954046,3.78278451761987,4.21721548238013,历史1/1次成功; 当前距低点4.22%; 最新日涨幅1.23%; 状态confirmed_rebound; 底部未确认
26,70.28057337123201,70.81185200362793,688337,普源精电,bottom_area,2025-12-08,37.32,2025-12-04,35.75,4.391608391608393,5.398601398601397,28.499999999999996,False,1.8837,1.4261,4,6,4,66.66666666666666,31.387378870045207,54.46153846153845,3.6083916083916074,4.391608391608393,历史4/6次成功; 当前距低点4.39%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
27,70.04550882739188,70.6370506307032,301349,信德新材,bottom_area,2025-12-08,48.72,2025-12-05,46.65,4.437299035369776,5.787781350482321,28.472861085556577,False,2.2026,6.9108,1,1,1,100.0,8.785443179281096,8.785443179281096,3.562700964630224,4.437299035369776,历史1/1次成功; 当前距低点4.44%; 最新日涨幅2.20%; 状态bottom_area; 底部未确认
28,67.58148394744782,67.86508014116713,002017,东信和平,bottom_area,2025-12-08,21.25,2025-12-04,20.39,4.217753800882782,5.394801373222157,29.373051610668515,False,1.4804,2.62,2,3,2,66.66666666666666,30.080065271576377,50.390015600624025,3.782246199117218,4.217753800882782,历史2/3次成功; 当前距低点4.22%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
29,65.95291537304043,63.56065291701902,000002,万科A,bottom_area,2025-12-08,4.91,2025-12-05,4.81,2.07900207900209,3.534303534303552,32.63305322128851,False,-0.8081,2.0112,2,4,2,50.0,22.638589554536463,28.255902513328245,5.92099792099791,2.07900207900209,历史2/4次成功; 当前距低点2.08%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
30,62.49190916772991,63.38527986156033,688348,昱能科技,bottom_area,2025-12-08,52.39,2025-12-05,50.02,4.738104758096756,5.497800879648141,30.796900940785832,False,0.5566,1.0684,2,3,2,66.66666666666666,12.37361313631329,16.27422813482398,3.261895241903244,4.738104758096756,历史2/3次成功; 当前距低点4.74%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
31,61.07089622160555,62.22507092423245,002706,良信股份,bottom_area,2025-12-08,9.92,2025-11-24,9.45,4.973544973544981,6.560846560846572,27.083333333333343,False,-0.7007,1.8967,4,6,4,66.66666666666666,14.828423641120084,19.37406855439642,3.026455026455019,4.973544973544981,历史4/6次成功; 当前距低点4.97%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
32,56.11888517014189,55.76759324419422,600104,上汽集团,bottom_area,2025-12-08,15.24,2025-11-21,14.7,3.673469387755109,7.959183673469387,28.74454677653902,True,-1.3592,0.6665,1,2,1,50.0,24.425287356321842,24.425287356321842,4.326530612244891,3.673469387755109,历史1/2次成功; 当前距低点3.67%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
33,55.164393744353866,55.42927008771046,002468,申通快递,bottom_area,2025-12-08,14.23,2025-11-21,13.65,4.249084249084249,6.2271062271062245,31.988041853512705,False,0.0703,0.9238,1,2,1,50.0,16.382699868938413,16.382699868938413,3.750915750915751,4.249084249084249,历史1/2次成功; 当前距低点4.25%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
