rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.8464956365891,79.13828695819574,301332,德尔玛,bottom_area,2024-07-02,8.93,2024-06-24,8.77,1.824401368301028,4.332953249714946,30.507131537242472,False,-0.4459,0.8757,1,1,1,100.0,44.935064935064936,44.935064935064936,18.17559863169897,1.824401368301028,历史1/1次成功; 当前距低点1.82%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
2,91.71443554812885,81.17850227423833,002219,新里程,bottom_area,2024-07-02,1.88,2024-07-01,1.82,3.296703296703287,4.945054945054937,30.26819923371647,False,1.0753,0.6292,2,2,2,100.0,34.81175156302061,45.685279187817265,16.703296703296715,3.296703296703287,历史2/2次成功; 当前距低点3.30%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
3,90.53347021906218,78.21599127769319,002779,中坚科技,bottom_area,2024-07-02,27.94,2024-07-02,27.4,1.9708029197080392,3.1021897810219032,28.720083246618106,False,-0.4986,0.7586,2,2,2,100.0,25.1044190033737,29.818594104308378,18.02919708029196,1.9708029197080392,历史2/2次成功; 当前距低点1.97%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
4,89.87638106169294,80.07853658536584,002687,乔治白,bottom_area,2024-07-02,4.25,2024-06-24,4.1,3.6585365853658622,4.390243902439039,29.914529914529915,False,0.0,0.7346,1,1,1,100.0,64.00000000000001,64.00000000000001,16.341463414634138,3.6585365853658622,历史1/1次成功; 当前距低点3.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,87.78622276352789,77.11026750621161,300755,华致酒行,bottom_area,2024-07-02,13.94,2024-07-01,13.55,2.8782287822878136,4.059040590405896,28.26892535733192,False,0.4323,0.3843,1,1,1,100.0,24.47650069799908,24.47650069799908,17.121771217712187,2.8782287822878136,历史1/1次成功; 当前距低点2.88%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
6,86.84282390933049,77.0482805808351,002345,潮宏基,bottom_area,2024-07-02,4.83,2024-07-01,4.67,3.426124197002144,4.49678800856531,28.919330289193308,False,0.2075,0.6192,1,1,1,100.0,30.859375,30.859375,16.573875802997858,3.426124197002144,历史1/1次成功; 当前距低点3.43%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
7,86.59827210649144,74.72468990004762,605089,味知香,bottom_area,2024-07-02,21.41,2024-07-01,21.01,1.9038553069966613,3.61732508329366,28.170940170940167,False,-0.4186,0.1864,1,1,1,100.0,22.180000000000007,22.180000000000007,18.096144693003342,1.9038553069966613,历史1/1次成功; 当前距低点1.90%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
8,85.93245494936079,76.66631089833854,002163,海南发展,bottom_area,2024-07-02,5.56,2024-07-01,5.36,3.731343283582076,5.037313432835813,29.100529100529094,False,0.5425,0.7157,1,1,1,100.0,32.54716981132074,32.54716981132074,16.268656716417926,3.731343283582076,历史1/1次成功; 当前距低点3.73%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
9,84.99587496657784,71.35225017546738,600345,长江通信,bottom_area,2024-07-02,17.53,2024-07-01,17.46,0.4009163802978252,3.8946162657502845,28.995526636844243,False,-2.9884,4.8291,1,1,1,100.0,25.46419098143237,25.46419098143237,19.599083619702178,0.4009163802978252,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
10,84.70091016996061,74.84236425743013,001212,中旗新材,bottom_area,2024-07-02,20.3,2024-06-25,19.67,3.2028469750889625,6.659888154550068,31.103327495621713,False,-1.3126,0.9526,3,4,3,75.0,42.90244817544601,82.06521739130437,16.797153024911037,3.2028469750889625,历史3/4次成功; 当前距低点3.20%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
11,84.318821299267,74.89233335471867,600295,鄂尔多斯,bottom_area,2024-07-02,10.09,2024-06-27,9.75,3.4871794871794854,3.7948717948717867,27.61692650334076,False,0.1986,0.3324,1,1,1,100.0,20.016680567139286,20.016680567139286,16.512820512820515,3.4871794871794854,历史1/1次成功; 当前距低点3.49%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
