rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.22853538508683,80.68978734111288,300538,同益股份,bottom_area,2024-01-24,14.6,2024-01-24,14.3,2.0979020979020904,5.45454545454545,30.073349633251826,False,-0.7478,4.6277,3,3,3,100.0,23.295721098546444,30.150753768844226,12.902097902097909,2.0979020979020904,历史3/3次成功; 当前距低点2.10%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
2,88.75261292781107,84.10703170028823,300735,光弘科技,bottom_area,2024-01-24,18.15,2024-01-24,17.35,4.610951008645516,5.475504322766566,28.008298755186722,False,0.3317,2.9939,3,3,3,100.0,50.43111523258737,93.48973607038124,10.389048991354482,4.610951008645516,历史3/3次成功; 当前距低点4.61%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
3,88.43118314475775,81.58633427034702,688037,芯源微,bottom_area,2024-01-24,104.08,2024-01-24,100.88,3.172085646312454,7.3354480570975475,27.099291805174158,False,-2.4189,1.9969,5,5,5,100.0,24.616610451287148,34.08866995073892,11.827914353687547,3.172085646312454,历史5/5次成功; 当前距低点3.17%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
4,86.13088863020106,79.34085652669891,688176,亚虹医药,bottom_area,2024-01-24,8.01,2024-01-24,7.77,3.0888030888030915,4.761904761904775,28.84615384615385,False,0.5019,2.1474,2,2,2,100.0,22.38348155467721,25.473484848484844,11.911196911196908,3.0888030888030915,历史2/2次成功; 当前距低点3.09%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
5,85.67066991206742,81.12511081814843,002536,飞龙股份,bottom_area,2024-01-24,11.44,2024-01-24,10.94,4.570383912248629,5.66727605118831,27.212242182302067,False,0.1751,2.9961,3,3,3,100.0,33.47089321545858,55.505617977528075,10.42961608775137,4.570383912248629,历史3/3次成功; 当前距低点4.57%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
6,85.06887696887951,79.74228885732198,688315,诺禾致源,bottom_area,2024-01-24,17.83,2024-01-24,17.14,4.025670945157513,7.176196032672114,27.24957555178268,False,-0.4467,1.0575,3,3,3,100.0,41.83235813054352,86.2826357231662,10.974329054842485,4.025670945157513,历史3/3次成功; 当前距低点4.03%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
7,84.73189080323674,77.211058281087,002304,洋河股份,bottom_area,2024-01-24,94.84,2024-01-24,92.52,2.5075659316904533,3.166882836143544,27.53759398496241,False,0.498,0.4262,1,1,1,100.0,20.474777448071226,20.474777448071226,12.492434068309546,2.5075659316904533,历史1/1次成功; 当前距低点2.51%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
8,84.28063867191099,78.2166511136609,001309,德明利,bottom_area,2024-01-24,68.53,2024-01-24,66.22,3.4883720930232593,6.070673512533972,30.8768267223382,False,-1.3247,1.8791,3,3,3,100.0,27.043760676096344,45.392,11.51162790697674,3.4883720930232593,历史3/3次成功; 当前距低点3.49%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
9,84.22687571049646,79.06615384615388,002426,胜利精密,bottom_area,2024-01-24,2.03,2024-01-23,1.95,4.102564102564095,4.615384615384619,29.090909090909093,False,1.5,0.9882,1,1,1,100.0,51.31578947368419,51.31578947368419,10.897435897435905,4.102564102564095,历史1/1次成功; 当前距低点4.10%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
10,83.93879315085819,77.90753464785216,688136,科兴制药,bottom_area,2024-01-24,17.18,2024-01-24,16.6,3.493975903614447,7.289156626506007,27.25679228746713,False,-2.5525,1.3029,2,2,2,100.0,42.117202731683314,60.65012831479899,11.506024096385554,3.493975903614447,历史2/2次成功; 当前距低点3.49%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
11,83.1528064829224,76.74966631712977,002609,捷顺科技,bottom_area,2024-01-24,8.72,2024-01-24,8.45,3.1952662721893654,5.207100591715992,31.90975020145045,False,0.3452,3.0498,1,1,1,100.0,26.42405063291139,26.42405063291139,11.804733727810635,3.1952662721893654,历史1/1次成功; 当前距低点3.20%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
