rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
26,65.74919110977392,58.47961768303307,688279,峰岹科技,bottom_area,2024-02-01,84.0,2024-02-01,81.11,3.563062507705586,7.261743311552214,29.056240706726143,False,2.439,1.476,1,2,1,50.0,24.37311935807422,24.37311935807422,16.436937492294415,3.563062507705586,历史1/2次成功; 当前距低点3.56%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
27,64.28089660656732,53.974208144796364,000887,中鼎股份,bottom_area,2024-02-01,9.73,2024-02-01,9.69,0.41279669762642857,4.437564499484002,28.487084870848715,False,-2.3092,1.6447,1,2,1,50.0,23.84615384615385,23.84615384615385,19.587203302373574,0.41279669762642857,历史1/2次成功; 当前距低点0.41%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
28,63.90652555746691,54.25190146077406,688311,盟升电子,bottom_area,2024-02-01,26.95,2024-02-01,26.68,1.011994002998499,6.034482758620688,27.499999999999996,False,-4.3987,4.1544,1,4,1,25.0,23.893805309734503,23.893805309734503,18.988005997001505,1.011994002998499,历史1/4次成功; 当前距低点1.01%; 最新日涨幅-4.40%; 状态bottom_area; 底部未确认
29,62.719324661773406,56.66614219164139,605111,新洁能,bottom_area,2024-02-01,30.93,2024-01-31,29.62,4.422687373396349,9.250506414584734,29.274116523400195,True,2.7575,3.4328,1,4,1,25.0,36.800373134328346,36.800373134328346,15.577312626603652,4.422687373396349,历史1/4次成功; 当前距低点4.42%; 最新日涨幅2.76%; 状态bottom_area; 底部已确认
30,61.43563248947639,54.893956520713985,600078,澄星股份,bottom_area,2024-02-01,6.26,2024-02-01,6.03,3.8142620232172395,5.306799336650073,29.308323563892134,False,-0.7924,0.7249,1,2,1,50.0,30.647709320695093,30.647709320695093,16.18573797678276,3.8142620232172395,历史1/2次成功; 当前距低点3.81%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
31,61.425081598487985,53.928487842900616,603116,红蜻蜓,bottom_area,2024-02-01,5.05,2024-02-01,4.91,2.851323828920564,7.535641547861509,27.259259259259256,False,-5.0752,3.0234,1,2,1,50.0,23.86831275720163,23.86831275720163,17.148676171079437,2.851323828920564,历史1/2次成功; 当前距低点2.85%; 最新日涨幅-5.08%; 状态bottom_area; 底部未确认
32,61.15937960787593,53.152441330521704,300566,激智科技,bottom_area,2024-02-01,12.48,2024-02-01,12.2,2.2950819672131244,5.163934426229515,30.681818181818194,False,-2.1176,2.6119,1,4,1,25.0,23.495850622406625,23.495850622406625,17.704918032786875,2.2950819672131244,历史1/4次成功; 当前距低点2.30%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
33,59.710651141977124,53.49526545616639,603290,斯达半导,bottom_area,2024-02-01,132.03,2024-02-01,127.0,3.9606299212598435,6.47244094488189,28.631638100590052,False,3.6342,1.7987,1,4,1,25.0,23.2822670787034,23.2822670787034,16.039370078740156,3.9606299212598435,历史1/4次成功; 当前距低点3.96%; 最新日涨幅3.63%; 状态bottom_area; 底部未确认
34,58.778237973239456,49.230848579711875,000635,英力特,bottom_area,2024-02-01,7.25,2024-02-01,7.23,0.27662517289072713,9.266943291839556,30.480769230769226,False,-8.575,5.5502,1,3,1,33.33333333333333,26.334519572953745,26.334519572953745,19.723374827109275,0.27662517289072713,历史1/3次成功; 当前距低点0.28%; 最新日涨幅-8.57%; 状态bottom_area; 底部未确认
35,58.173275718978786,52.79324844536224,688228,开普云,bottom_area,2024-02-01,41.94,2024-02-01,40.07,4.666833042176186,8.010980783628652,32.31418918918919,False,-0.2853,2.7292,1,2,1,50.0,29.80445043830074,29.80445043830074,15.333166957823815,4.666833042176186,历史1/2次成功; 当前距低点4.67%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
36,57.89286853709883,51.12181452653599,001209,洪兴股份,bottom_area,2024-02-01,14.33,2024-02-01,13.89,3.1677465802735743,6.839452843772492,28.586118251928017,False,-2.517,8.8805,1,3,1,33.33333333333333,21.88679245283018,21.88679245283018,16.832253419726428,3.1677465802735743,历史1/3次成功; 当前距低点3.17%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
37,56.100454910078916,51.035830508474575,000006,深振业A,bottom_area,2024-02-01,3.93,2024-02-01,3.75,4.800000000000004,11.733333333333345,27.6061776061776,False,-5.7554,4.1061,1,2,1,50.0,32.20338983050848,32.20338983050848,15.199999999999998,4.800000000000004,历史1/2次成功; 当前距低点4.80%; 最新日涨幅-5.76%; 状态bottom_area; 底部未确认
38,54.420700663488276,48.36702180527915,002829,星网宇达,bottom_area,2024-02-01,17.05,2024-02-01,16.47,3.5215543412264836,4.1287188828172425,27.476882430647297,False,-6.8306,7.415,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,16.478445658773516,3.5215543412264836,历史1/3次成功; 当前距低点3.52%; 最新日涨幅-6.83%; 状态bottom_area; 底部未确认
