rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.67306133912088,84.6525829449973,603113,金能科技,bottom_area,2024-07-18,5.09,2024-07-18,5.02,1.3944223107569778,2.7888446215139555,30.662983425414374,False,-1.3566,0.6573,5,5,5,100.0,19.31110652431836,31.03448275862069,8.605577689243022,1.3944223107569778,历史5/5次成功; 当前距低点1.39%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
2,90.14872731176665,85.43864799900118,601886,江河集团,bottom_area,2024-07-18,4.68,2024-07-18,4.58,2.18340611353711,2.18340611353711,27.64612954186414,False,0.2141,0.6552,3,3,3,100.0,27.40222547239673,33.5540838852097,7.81659388646289,2.18340611353711,历史3/3次成功; 当前距低点2.18%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,89.08738796899476,83.31788583286931,000065,北方国际,bottom_area,2024-07-18,9.56,2024-07-18,9.42,1.486199575371556,2.441613588110408,28.905660377358487,False,-0.7269,0.798,3,3,3,100.0,29.926993896325044,41.48061104582843,8.513800424628444,1.486199575371556,历史3/3次成功; 当前距低点1.49%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
4,87.99794802528415,83.95563945875165,600973,宝胜股份,bottom_area,2024-07-18,3.24,2024-07-18,3.16,2.531645569620255,2.84810126582278,31.749460043196542,False,0.9346,0.5781,2,2,2,100.0,40.36446966390223,46.551724137931025,7.468354430379745,2.531645569620255,历史2/2次成功; 当前距低点2.53%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
5,87.90057136609053,84.50843522276827,603368,柳药集团,bottom_area,2024-07-18,17.19,2024-07-16,16.7,2.934131736526958,3.413173652694613,30.705394190871377,False,0.703,1.14,3,3,3,100.0,31.603524634675978,42.85714285714285,7.0658682634730425,2.934131736526958,历史3/3次成功; 当前距低点2.93%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
6,87.20643267827575,82.43733089118254,000811,冰轮环境,bottom_area,2024-07-18,8.47,2024-07-18,8.3,2.048192771084336,3.012048192771084,30.13468013468013,False,-1.2821,2.6376,3,3,3,100.0,32.0817763938432,47.451868629671566,7.951807228915664,2.048192771084336,历史3/3次成功; 当前距低点2.05%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
7,86.7062452441046,83.29419392662825,002246,北化股份,bottom_area,2024-07-18,7.47,2024-07-18,7.26,2.892561983471074,3.5812672176308515,31.315042573320724,False,0.0,1.7389,3,3,3,100.0,24.565780908291877,31.992687385740403,7.107438016528926,2.892561983471074,历史3/3次成功; 当前距低点2.89%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,86.30171591558724,81.68403188605437,600955,维远股份,bottom_area,2024-07-18,14.01,2024-07-09,13.72,2.113702623906699,7.069970845481041,28.911917098445596,True,-0.3556,0.1796,3,3,3,100.0,19.641257357858347,25.969084423305596,7.886297376093301,2.113702623906699,历史3/3次成功; 当前距低点2.11%; 最新日涨幅-0.36%; 状态bottom_area; 底部已确认
9,85.81493327948056,80.1588639101215,300349,金卡智能,bottom_area,2024-07-18,10.7,2024-07-18,10.55,1.421800947867285,2.3696682464454977,29.24211938296445,False,-1.1091,1.0362,1,1,1,100.0,45.48693586698337,45.48693586698337,8.578199052132716,1.421800947867285,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
10,85.77457166765389,81.54964235245374,001218,丽臣实业,bottom_area,2024-07-18,14.38,2024-07-18,14.05,2.348754448398577,3.416370106761556,29.040404040404038,False,0.0696,0.8144,2,2,2,100.0,25.18711018711019,29.999999999999993,7.6512455516014235,2.348754448398577,历史2/2次成功; 当前距低点2.35%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
11,85.6347073066713,80.08072176491132,601717,中创智领,bottom_area,2024-07-18,13.02,2024-07-18,12.83,1.4809041309430984,2.3382696804364826,29.11602209944752,False,-0.1534,0.9343,2,2,2,100.0,29.124640771298786,35.43478260869567,8.519095869056903,1.4809041309430984,历史2/2次成功; 当前距低点1.48%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
12,84.99438546269164,80.09380828286076,000923,河钢资源,bottom_area,2024-07-18,15.69,2024-07-18,15.4,1.8831168831168774,2.9220779220779174,30.222020842772995,False,-1.2587,1.6212,3,3,3,100.0,17.458681593372262,27.519999999999996,8.116883116883123,1.8831168831168774,历史3/3次成功; 当前距低点1.88%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
13,84.4760669112482,81.92213930695466,603209,兴通股份,bottom_area,2024-07-18,12.51,2024-07-18,12.1,3.388429752066117,3.4710743801652884,27.674835624626425,False,1.4599,0.857,3,3,3,100.0,23.267522267018258,26.115859449192786,6.6115702479338845,3.388429752066117,历史3/3次成功; 当前距低点3.39%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
14,84.38712231645822,79.69137157107231,002687,乔治白,bottom_area,2024-07-18,4.09,2024-07-09,4.01,1.9950124688279323,6.733167082294276,31.45299145299145,False,-0.9685,0.7552,1,1,1,100.0,64.00000000000001,64.00000000000001,8.004987531172068,1.9950124688279323,历史1/1次成功; 当前距低点2.00%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
15,83.24230564527731,80.25260283158937,603282,亚光股份,bottom_area,2024-07-18,15.73,2024-07-09,15.26,3.079947575360424,7.7326343381389355,27.848699763593377,True,0.447,0.8951,1,1,1,100.0,34.64991023339317,34.64991023339317,6.920052424639576,3.079947575360424,历史1/1次成功; 当前距低点3.08%; 最新日涨幅0.45%; 状态bottom_area; 底部已确认
16,83.04923755334286,79.49297297297299,603012,创力集团,bottom_area,2024-07-18,4.18,2024-07-09,4.07,2.7027027027026884,6.633906633906624,27.19141323792486,False,0.0,0.9085,1,1,1,100.0,35.13513513513512,35.13513513513512,7.297297297297312,2.7027027027026884,历史1/1次成功; 当前距低点2.70%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
17,82.84536172886612,78.59982380093254,002367,康力电梯,bottom_area,2024-07-18,5.48,2024-07-18,5.36,2.2388059701492558,3.1716417910447747,30.208333333333325,False,0.0,0.7332,1,1,1,100.0,24.646781789638936,24.646781789638936,7.761194029850745,2.2388059701492558,历史1/1次成功; 当前距低点2.24%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
18,82.8228024732242,81.63289919679632,600155,华创云信,bottom_area,2024-07-18,5.9,2024-07-08,5.66,4.240282685512371,7.59717314487632,27.806122448979586,True,0.0,0.8171,2,2,2,100.0,39.627654407336166,46.19883040935671,5.759717314487629,4.240282685512371,历史2/2次成功; 当前距低点4.24%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
19,82.17486072668218,80.38845071088477,601515,衢州东峰,bottom_area,2024-07-18,2.97,2024-07-18,2.86,3.8461538461538574,4.195804195804199,31.90476190476191,False,0.3378,0.6145,3,3,3,100.0,20.632696129653542,34.48275862068966,6.153846153846143,3.8461538461538574,历史3/3次成功; 当前距低点3.85%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
20,82.09191072888558,78.35307123034228,000629,钒钛股份,bottom_area,2024-07-18,2.41,2024-07-18,2.35,2.5531914893617045,2.5531914893617045,28.78787878787878,False,0.4167,0.5504,1,1,1,100.0,27.173913043478265,27.173913043478265,7.446808510638296,2.5531914893617045,历史1/1次成功; 当前距低点2.55%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
21,81.89133744103248,76.6135173564753,600287,苏豪时尚,bottom_area,2024-07-18,2.7,2024-07-16,2.66,1.5037593984962419,6.766917293233071,29.066666666666663,False,-3.2258,5.0932,2,2,2,100.0,20.978971962616825,28.499999999999993,8.496240601503759,1.5037593984962419,历史2/2次成功; 当前距低点1.50%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
22,81.44297977222405,78.261480457955,605099,共创草坪,bottom_area,2024-07-18,18.4,2024-07-09,17.88,2.908277404921698,9.060402684563766,28.96305125148988,True,-1.1815,0.1306,1,1,1,100.0,44.31372549019606,44.31372549019606,7.091722595078302,2.908277404921698,历史1/1次成功; 当前距低点2.91%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
23,81.32823168980602,78.51247031970156,688151,华强科技,bottom_area,2024-07-18,11.46,2024-07-09,11.11,3.150315031503163,9.36093609360937,27.051871306631654,True,-1.0363,0.5996,2,2,2,100.0,31.9633795243483,32.022471910112344,6.849684968496837,3.150315031503163,历史2/2次成功; 当前距低点3.15%; 最新日涨幅-1.04%; 状态bottom_area; 底部已确认
24,81.32264315353562,77.05674743158382,603187,海容冷链,bottom_area,2024-07-18,10.82,2024-07-18,10.59,2.1718602455146407,2.3607176581680833,31.27839065541856,False,0.3711,0.7778,1,1,1,100.0,15.530047265361235,15.530047265361235,7.82813975448536,2.1718602455146407,历史1/1次成功; 当前距低点2.17%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
