rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.61643686975337,83.79157119476265,688315,诺禾致源,bottom_area,2022-04-28,18.6,2022-04-27,18.33,1.4729950900163837,9.165302782324078,29.904397705544937,True,-5.8228,1.1697,2,2,2,100.0,54.319731958499396,86.2826357231662,8.527004909983617,1.4729950900163837,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-5.82%; 状态bottom_area; 底部已确认
2,83.4304878048781,79.55000000000003,002269,美邦服饰,confirmed_rebound,2022-04-28,1.64,2022-04-27,1.6,2.4999999999999885,10.624999999999996,28.888888888888886,True,-5.2023,1.4039,2,2,2,100.0,93.05748789582057,173.50993377483442,7.500000000000012,2.4999999999999885,历史2/2次成功; 当前距低点2.50%; 最新日涨幅-5.20%; 状态confirmed_rebound; 底部已确认
3,82.0666170274322,77.61461139896373,000607,华媒控股,bottom_area,2022-04-28,3.94,2022-04-28,3.86,2.072538860103629,7.25388601036269,28.518518518518526,False,-4.3689,2.2456,1,1,1,100.0,59.82721382289418,59.82721382289418,7.927461139896372,2.072538860103629,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
4,80.87453817370248,75.12806545547784,001212,中旗新材,bottom_area,2022-04-28,22.33,2022-04-28,22.08,1.1322463768115945,7.201086956521754,31.193518229978203,False,-7.8035,4.6356,1,1,1,100.0,25.105307497893843,25.105307497893843,8.867753623188406,1.1322463768115945,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-7.80%; 状态bottom_area; 底部未确认
5,80.5295118013342,77.21433127381704,000012,南玻A,bottom_area,2022-04-28,5.52,2022-04-27,5.37,2.793296089385465,4.655493482309125,29.527559055118108,False,-1.0753,1.7874,1,1,1,100.0,46.467991169977914,46.467991169977914,7.206703910614536,2.793296089385465,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
6,80.50242716602938,76.35281751829591,300562,乐心医疗,bottom_area,2022-04-28,8.28,2022-04-27,8.1,2.2222222222222188,7.283950617283949,31.355932203389834,True,-4.2775,2.085,2,2,2,100.0,19.19077518797075,20.82239720034996,7.777777777777782,2.2222222222222188,历史2/2次成功; 当前距低点2.22%; 最新日涨幅-4.28%; 状态bottom_area; 底部已确认
7,80.37244136266779,75.22265508817098,300559,佳发教育,bottom_area,2022-04-28,7.99,2022-04-27,7.87,1.5247776365946646,9.021601016518424,29.035166816952206,True,-6.6589,1.6948,1,1,1,100.0,21.231979030144167,21.231979030144167,8.475222363405335,1.5247776365946646,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-6.66%; 状态bottom_area; 底部已确认
8,80.01394965865224,74.98590436590436,001218,丽臣实业,bottom_area,2022-04-28,29.32,2022-04-27,28.86,1.593901593901597,5.440055440055441,32.72727272727273,False,-3.4891,1.6044,1,1,1,100.0,29.999999999999993,29.999999999999993,8.406098406098403,1.593901593901597,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
9,79.75103444780939,74.87339034640459,002186,全聚德,bottom_area,2022-04-28,7.23,2022-04-28,7.11,1.6877637130801704,7.032348804500703,27.076923076923077,False,-4.6174,1.5404,2,2,2,100.0,13.87898716251279,16.28959276018099,8.31223628691983,1.6877637130801704,历史2/2次成功; 当前距低点1.69%; 最新日涨幅-4.62%; 状态bottom_area; 底部未确认
10,79.440998071774,76.46251633097442,002722,物产金轮,bottom_area,2022-04-28,12.04,2022-04-27,11.69,2.9940119760479016,5.474764756201887,27.61609907120743,False,-1.7143,0.6381,1,1,1,100.0,44.886363636363626,44.886363636363626,7.005988023952099,2.9940119760479016,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
11,79.35785746122826,74.2327004980922,300364,中文在线,confirmed_rebound,2022-04-28,8.14,2022-04-28,8.02,1.4962593516209601,10.972568578553627,30.200174064403836,False,-9.7561,8.1632,2,2,2,100.0,18.301999031118203,20.7773851590106,8.50374064837904,1.4962593516209601,历史2/2次成功; 当前距低点1.50%; 最新日涨幅-9.76%; 状态confirmed_rebound; 底部未确认
12,79.2679258021531,75.19680787885522,688317,之江生物,bottom_area,2022-04-28,30.68,2022-04-28,30.01,2.2325891369543425,8.297234255248245,30.91620626151012,False,-12.2426,7.0944,1,1,1,100.0,38.96296296296296,38.96296296296296,7.767410863045658,2.2325891369543425,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-12.24%; 状态bottom_area; 底部未确认
