rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.33170918734851,86.3885046137568,000701,厦门信达,bottom_area,2025-12-18,6.34,2025-12-17,6.2,2.2580645161290267,4.5161290322580685,28.32369942196532,False,0.158,5.5053,6,6,6,100.0,16.75748231468269,30.161579892280066,5.741935483870973,2.2580645161290267,历史6/6次成功; 当前距低点2.26%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
2,89.25534948152678,85.32997683545706,300598,诚迈科技,bottom_area,2025-12-18,44.05,2025-12-17,43.33,1.6616662820216912,4.1310870066928205,32.296875,False,-0.833,2.1035,5,5,5,100.0,26.22890300250812,45.24950099800398,6.338333717978309,1.6616662820216912,历史5/5次成功; 当前距低点1.66%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
3,88.76720064073996,86.62519579916072,605228,神通科技,bottom_area,2025-12-18,14.3,2025-12-16,13.92,2.72988505747127,5.96264367816092,28.247422680412367,False,0.4919,1.5363,5,5,5,100.0,23.813622205350633,47.56554307116105,5.270114942528731,2.72988505747127,历史5/5次成功; 当前距低点2.73%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
4,88.47260423607054,86.06284458761726,002679,福建金森,bottom_area,2025-12-18,12.0,2025-12-18,11.7,2.56410256410257,3.931623931623939,28.308823529411768,False,0.7557,4.1561,4,4,4,100.0,18.758056095543544,33.50951374207188,5.43589743589743,2.56410256410257,历史4/4次成功; 当前距低点2.56%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
5,87.9766315403943,81.90376687457234,603327,福蓉科技,bottom_area,2025-12-18,10.66,2025-12-18,10.63,0.2822201317027221,2.1636876763875694,28.8487282463186,False,-3.0909,4.2107,7,7,7,100.0,40.952842875562084,129.39632545931758,7.717779868297278,0.2822201317027221,历史7/7次成功; 当前距低点0.28%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
6,87.82122023516304,83.81586052849173,000668,荣丰控股,bottom_area,2025-12-18,9.04,2025-12-17,8.9,1.5730337078651548,7.303370786516858,28.685897435897434,True,-4.2373,2.2482,3,3,3,100.0,34.69020098077566,67.04545454545452,6.4269662921348445,1.5730337078651548,历史3/3次成功; 当前距低点1.57%; 最新日涨幅-4.24%; 状态bottom_area; 底部已确认
7,87.17845465972322,83.45887429372405,603038,华立股份,bottom_area,2025-12-18,15.85,2025-12-17,15.58,1.7329910141206648,5.0064184852374805,29.661399548532724,False,-0.627,1.6703,4,4,4,100.0,17.04351508558693,28.753412192902637,6.267008985879335,1.7329910141206648,历史4/4次成功; 当前距低点1.73%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
8,86.55442867890049,83.04298287535856,002459,晶澳科技,bottom_area,2025-12-18,11.03,2025-12-16,10.83,1.84672206832871,3.8781163434903037,29.215686274509807,False,-1.1649,0.8103,6,6,6,100.0,16.2016623180001,26.683937823834192,6.1532779316712904,1.84672206832871,历史6/6次成功; 当前距低点1.85%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
9,86.3210363666926,82.95397805733387,300681,英搏尔,bottom_area,2025-12-18,23.75,2025-12-17,23.3,1.9313304721030013,4.206008583690989,28.593319031566043,False,-1.1241,3.1262,6,6,6,100.0,16.760277063057536,27.487589035182385,6.068669527896999,1.9313304721030013,历史6/6次成功; 当前距低点1.93%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
10,85.77290323817986,81.70259269520241,002129,TCL中环,bottom_area,2025-12-18,8.27,2025-12-16,8.15,1.4723926380368002,3.067484662576687,29.253472222222214,False,-1.1947,1.3028,3,3,3,100.0,21.073375859818903,31.12759643916912,6.5276073619632005,1.4723926380368002,历史3/3次成功; 当前距低点1.47%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
11,85.5471742490168,79.2902142461608,002317,众生药业,bottom_area,2025-12-18,19.12,2025-12-18,19.11,0.05232862375720336,3.5060177917320865,29.74264705882353,False,-3.2389,6.1647,5,5,5,100.0,24.08345972218942,58.31999999999999,7.9476713762427975,0.05232862375720336,历史5/5次成功; 当前距低点0.05%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
12,85.34992602181326,82.47125458795719,300768,迪普科技,bottom_area,2025-12-18,18.45,2025-12-17,18.05,2.216066481994452,3.379501385041548,29.43706020328381,False,-0.378,0.9372,3,3,3,100.0,34.32196863927173,47.28781110402041,5.783933518005548,2.216066481994452,历史3/3次成功; 当前距低点2.22%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
13,85.1613791702541,82.47079194497762,002176,江特电机,bottom_area,2025-12-18,9.22,2025-12-16,9.01,2.3307436182020074,4.994450610432864,29.99222999222999,False,-2.2269,2.9905,5,5,5,100.0,19.058534378915056,39.01808785529715,5.669256381797993,2.3307436182020074,历史5/5次成功; 当前距低点2.33%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
