rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.82652942686074,85.15762852404646,603273,天元智能,confirmed_rebound,2024-06-20,18.74,2024-06-06,18.09,3.5931453841901524,9.729132117191828,29.418650019508384,True,-2.9518,4.2734,4,4,4,100.0,57.78033351396116,201.34228187919464,4.406854615809848,3.5931453841901524,历史4/4次成功; 当前距低点3.59%; 最新日涨幅-2.95%; 状态confirmed_rebound; 底部已确认
2,84.9647696950249,81.42775172928411,688105,诺唯赞,bottom_area,2024-06-20,20.48,2024-06-20,20.12,1.7892644135188838,3.876739562624242,30.977701543739272,False,0.54,0.8615,2,2,2,100.0,17.673519312404096,25.237580993520524,6.210735586481117,1.7892644135188838,历史2/2次成功; 当前距低点1.79%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
3,84.74774888719308,80.22933042960183,603155,新亚强,bottom_area,2024-06-20,10.54,2024-06-20,10.42,1.151631477927056,6.142034548944343,32.90405666452028,False,-4.2688,0.6732,3,3,3,100.0,19.435753759545772,25.624375624375624,6.848368522072944,1.151631477927056,历史3/3次成功; 当前距低点1.15%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
4,83.94867137986407,77.7302512776519,300639,凯普生物,bottom_area,2024-06-20,4.72,2024-06-20,4.72,0.0,3.601694915254236,30.79178885630499,False,-1.8711,1.1861,4,4,4,100.0,17.09812514866608,33.27433628318583,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
5,83.62569406797854,77.43119821109124,603030,全筑股份,bottom_area,2024-06-20,1.4,2024-06-20,1.4,0.0,5.71428571428572,28.20512820512821,False,-4.7619,0.8064,5,5,5,100.0,25.70536672629696,50.5813953488372,8.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
6,83.39904982650702,79.96067879702923,688357,建龙微纳,confirmed_rebound,2024-06-20,25.86,2024-06-06,25.4,1.8110236220472475,8.464566929133866,32.012847965738764,True,0.2326,0.4187,4,5,4,80.0,21.074261587618047,31.65083135391925,6.188976377952753,1.8110236220472475,历史4/5次成功; 当前距低点1.81%; 最新日涨幅0.23%; 状态confirmed_rebound; 底部已确认
7,83.14370461668797,76.98491168211848,002761,浙江建投,bottom_area,2024-06-20,8.04,2024-06-20,8.04,0.0,3.9800995024875663,30.08695652173914,False,-3.7126,2.5518,6,6,6,100.0,23.305976785583134,43.73730534867976,8.0,0.0,历史6/6次成功; 当前距低点0.00%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
8,82.41019228303972,76.81061947744828,603326,我乐家居,bottom_area,2024-06-20,5.86,2024-06-20,5.84,0.34246575342466545,5.821917808219176,28.167281672816735,False,-5.0243,2.1449,4,4,4,100.0,14.30882470568014,20.141843971631218,7.657534246575334,0.34246575342466545,历史4/4次成功; 当前距低点0.34%; 最新日涨幅-5.02%; 状态bottom_area; 底部未确认
9,81.83599695077419,76.76632803868895,600322,津投城开,bottom_area,2024-06-20,1.49,2024-06-20,1.48,0.6756756756756763,5.405405405405411,28.502415458937193,False,-4.4872,2.1854,4,4,4,100.0,18.15520741521231,35.828877005347586,7.324324324324325,0.6756756756756763,历史4/4次成功; 当前距低点0.68%; 最新日涨幅-4.49%; 状态bottom_area; 底部未确认
10,81.05715504400816,75.74428571428574,002687,乔治白,bottom_area,2024-06-20,4.22,2024-06-06,4.2,0.476190476190466,5.714285714285719,28.2051282051282,False,-1.171,1.2701,1,1,1,100.0,64.00000000000001,64.00000000000001,7.523809523809534,0.476190476190466,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
11,80.38757021913135,79.61831117397219,300651,金陵体育,confirmed_rebound,2024-06-20,12.42,2024-06-06,12.0,3.4999999999999996,10.250000000000004,28.99408284023668,True,-2.9688,2.1462,4,4,4,100.0,19.076941795549395,25.720461095100855,4.500000000000001,3.4999999999999996,历史4/4次成功; 当前距低点3.50%; 最新日涨幅-2.97%; 状态confirmed_rebound; 底部已确认
12,80.02038179229366,75.31354904945532,000705,浙江震元,bottom_area,2024-06-20,7.13,2024-06-06,7.07,0.8486562942008431,5.799151343705801,27.26337448559671,False,-2.861,2.4861,3,3,3,100.0,18.916588173296947,34.04605263157895,7.151343705799157,0.8486562942008431,历史3/3次成功; 当前距低点0.85%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
13,79.88790561163583,75.03967621396409,002790,瑞尔特,bottom_area,2024-06-20,9.46,2024-06-20,9.39,0.7454739084132085,3.833865814696479,32.29992790194664,False,-1.6632,1.4873,1,1,1,100.0,49.512670565302145,49.512670565302145,7.254526091586791,0.7454739084132085,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
14,79.15634645669293,73.29291338582678,605198,安德利,bottom_area,2024-06-20,27.67,2024-06-20,27.67,0.0,3.5056017347307513,31.475978207033183,False,-2.5361,0.3445,1,1,1,100.0,43.241469816272954,43.241469816272954,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
15,78.84837472365982,73.20207798481712,603217,元利科技,bottom_area,2024-06-20,14.51,2024-06-20,14.49,0.13802622498274378,2.553485162180809,29.523346303501942,False,-2.1578,0.6422,2,2,2,100.0,15.520310633213857,19.81481481481482,7.861973775017256,0.13802622498274378,历史2/2次成功; 当前距低点0.14%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
16,78.794530339702,74.03814069505029,600162,香江控股,bottom_area,2024-06-20,1.32,2024-06-20,1.31,0.7633587786259549,3.8167938931297747,31.770833333333325,False,-2.9412,0.6243,2,2,2,100.0,27.68063822751323,28.90624999999999,7.236641221374045,0.7633587786259549,历史2/2次成功; 当前距低点0.76%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
17,78.69473404498586,78.02202936286527,301379,天山电子,bottom_area,2024-06-20,18.65,2024-06-20,18.01,3.5535813436979287,6.551915602443086,32.6225215114104,False,1.3587,7.7153,2,2,2,100.0,20.99029476611044,22.58233141662311,4.446418656302072,3.5535813436979287,历史2/2次成功; 当前距低点3.55%; 最新日涨幅1.36%; 状态bottom_area; 底部未确认
