rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.50716435469741,84.55438233695185,603232,格尔软件,bottom_area,2023-09-21,11.65,2023-09-21,11.53,1.0407632263660105,2.948829141370337,29.176904176904184,False,-1.1874,2.5087,4,4,4,100.0,14.447970392829903,22.78481012658228,6.9592367736339895,1.0407632263660105,历史4/4次成功; 当前距低点1.04%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
2,87.91425841216544,82.9961068400796,688191,智洋创新,bottom_area,2023-09-21,18.05,2023-09-20,17.87,1.007274762171235,5.595970900951315,28.519999999999996,False,0.6132,3.6308,2,2,2,100.0,16.51985643994637,22.671568627450974,6.992725237828765,1.007274762171235,历史2/2次成功; 当前距低点1.01%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
3,85.79785994670249,80.3279409581538,002265,建设工业,bottom_area,2023-09-21,12.23,2023-08-25,12.16,0.5756578947368444,7.1546052631578885,28.344136711844424,True,-0.6499,0.5652,4,4,4,100.0,16.669037409429027,32.75229357798165,7.424342105263156,0.5756578947368444,历史4/4次成功; 当前距低点0.58%; 最新日涨幅-0.65%; 状态bottom_area; 底部已确认
4,85.01982446083206,80.79236939021783,002767,先锋电子,bottom_area,2023-09-21,14.28,2023-09-18,14.09,1.3484740951029064,4.3293115684882855,29.72568578553616,False,0.3514,5.4996,2,2,2,100.0,8.854249070174514,9.063444108761324,6.651525904897094,1.3484740951029064,历史2/2次成功; 当前距低点1.35%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
5,84.98118394252505,79.28595570681924,688322,奥比中光,bottom_area,2023-09-21,28.01,2023-09-21,27.9,0.3942652329749211,2.32974910394266,27.24902216427641,False,-1.3732,1.137,4,4,4,100.0,18.036991602161546,28.749462827675128,7.60573476702508,0.3942652329749211,历史4/4次成功; 当前距低点0.39%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
6,84.46607435761469,78.33001435323933,002534,西子洁能,bottom_area,2023-09-21,12.5,2023-09-21,12.49,0.08006405124099109,1.6813450760608413,27.803468208092486,False,-0.9509,0.3936,3,3,3,100.0,25.712690269187092,33.11594202898551,7.919935948759009,0.08006405124099109,历史3/3次成功; 当前距低点0.08%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
7,82.85665447992012,79.70715520842425,002069,獐子岛,bottom_area,2023-09-21,4.11,2023-09-14,4.03,1.985111662531019,5.707196029776663,28.79858657243816,False,-2.8369,1.4634,3,3,3,100.0,16.6301602096504,30.967741935483854,6.014888337468981,1.985111662531019,历史3/3次成功; 当前距低点1.99%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
8,81.06108342264088,76.34177377132272,002386,天原股份,bottom_area,2023-09-21,5.72,2023-08-31,5.67,0.8818342151675453,5.996472663139327,31.604342581423396,False,-0.6944,0.4197,3,3,3,100.0,24.851375171530723,48.85290148448042,7.118165784832454,0.8818342151675453,历史3/3次成功; 当前距低点0.88%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
9,79.7023950184895,76.20739693177099,002777,久远银海,confirmed_rebound,2023-09-21,25.59,2023-09-21,25.17,1.6686531585220425,8.422725466825575,27.04347826086956,False,-5.3624,6.9583,3,3,3,100.0,14.365194264522765,18.88352860096485,6.331346841477958,1.6686531585220425,历史3/3次成功; 当前距低点1.67%; 最新日涨幅-5.36%; 状态confirmed_rebound; 底部未确认
10,79.57334899953037,76.10851917625764,601777,千里科技,confirmed_rebound,2023-09-21,3.62,2023-08-25,3.56,1.6853932584269677,8.146067415730338,27.93522267206478,True,-1.3624,0.4595,1,1,1,100.0,27.96352583586626,27.96352583586626,6.314606741573033,1.6853932584269677,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-1.36%; 状态confirmed_rebound; 底部已确认
11,79.33601092360755,74.14359076522499,300561,汇金科技,bottom_area,2023-09-21,12.52,2023-09-21,12.46,0.481540930979123,2.166934189406096,32.539252842447205,False,-0.4769,2.2023,2,2,2,100.0,24.79303273041607,27.62128325508607,7.518459069020878,0.481540930979123,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
