rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.02555916008593,79.74020414501834,600421,退市华嵘,bottom_area,2025-03-18,6.6,2025-03-14,6.42,2.8037383177570048,6.386292834890968,30.065359477124183,False,-0.3021,3.2339,3,3,3,100.0,26.842621018840468,44.900662251655625,12.196261682242996,2.8037383177570048,历史3/3次成功; 当前距低点2.80%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
2,84.8796235558332,75.94239185996045,002760,凤形股份,bottom_area,2025-03-18,21.29,2025-03-14,20.97,1.5259895088221282,8.822126847877929,28.30769230769231,False,-1.2981,8.7843,1,1,1,100.0,24.094881398252184,24.094881398252184,13.474010491177872,1.5259895088221282,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
3,78.46714042137152,74.00630153638002,603048,浙江黎明,bottom_area,2025-03-18,19.17,2025-03-14,18.37,4.354926510615137,5.87915078933042,27.391304347826086,False,0.0,3.6914,1,1,1,100.0,25.889967637540458,25.889967637540458,10.645073489384863,4.354926510615137,历史1/1次成功; 当前距低点4.35%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
