rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.57258556496643,82.86754033930872,000591,太阳能,bottom_area,2022-09-30,6.83,2022-09-30,6.76,1.0355029585798858,1.7751479289940846,29.140461215932913,False,0.1466,0.7525,1,1,1,100.0,32.84132841328414,32.84132841328414,18.964497041420113,1.0355029585798858,历史1/1次成功; 当前距低点1.04%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
2,92.71845811990441,79.67021643363341,002405,四维图新,bottom_area,2022-09-30,11.54,2022-09-29,11.35,1.674008810572683,4.0528634361233555,28.209993674889315,False,1.0508,1.0992,1,1,1,100.0,23.478260869565215,23.478260869565215,18.325991189427317,1.674008810572683,历史1/1次成功; 当前距低点1.67%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
3,92.69693406105748,80.20066490906656,000688,国城矿业,bottom_area,2022-09-30,16.43,2022-09-29,16.1,2.049689440993778,5.217391304347824,32.88870362651103,False,0.0,0.5787,1,1,1,100.0,30.935251798561143,30.935251798561143,17.950310559006223,2.049689440993778,历史1/1次成功; 当前距低点2.05%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,92.3197428344495,79.84740671641791,688010,福光股份,bottom_area,2022-09-30,19.59,2022-09-26,19.2,2.031250000000003,7.8125,31.379556826304505,True,-1.3595,0.1239,1,1,1,100.0,42.08955223880597,42.08955223880597,17.968749999999996,2.031250000000003,历史1/1次成功; 当前距低点2.03%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
5,90.84043113965629,77.58430487606391,300502,新易盛,bottom_area,2022-09-30,21.14,2022-09-28,20.86,1.3422818791946365,4.985618408437197,28.781153977466712,False,-1.537,1.1395,1,1,1,100.0,30.670470756062763,30.670470756062763,18.657718120805363,1.3422818791946365,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
6,90.10515338048981,75.4257219251337,688055,龙腾光电,bottom_area,2022-09-30,4.09,2022-09-30,4.08,0.24509803921568107,2.2058823529411726,28.421052631578945,False,-1.2077,0.1576,1,1,1,100.0,45.45454545454546,45.45454545454546,19.75490196078432,0.24509803921568107,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
7,90.10487919423767,75.16120518972467,603315,福鞍股份,bottom_area,2022-09-30,18.67,2022-09-30,18.66,0.05359056806002982,8.252947481243297,32.61105092091008,False,-2.1488,0.4182,1,1,1,100.0,41.68490153172865,41.68490153172865,19.94640943193997,0.05359056806002982,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
8,89.74579970737209,76.63530609308997,603356,华菱精工,bottom_area,2022-09-30,12.17,2022-09-30,12.01,1.3322231473771868,3.4970857618651117,28.169856459330138,False,-1.1373,0.7773,1,1,1,100.0,25.445026178010465,25.445026178010465,18.667776852622815,1.3322231473771868,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
9,89.46000000000001,74.55000000000001,002202,金风科技,bottom_area,2022-09-30,11.34,2022-09-30,11.34,0.0,2.3809523809523774,28.045685279187815,False,-1.9031,0.3887,1,1,1,100.0,55.172413793103445,55.172413793103445,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
10,89.46000000000001,74.55000000000001,600135,乐凯胶片,bottom_area,2022-09-30,6.3,2022-09-30,6.3,0.0,2.857142857142867,27.83505154639176,False,-1.5625,0.6367,1,1,1,100.0,56.981132075471706,56.981132075471706,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
11,89.19178186942064,74.7137853809058,300538,同益股份,bottom_area,2022-09-30,10.61,2022-09-30,10.58,0.28355387523628883,2.55198487712665,30.84967320261438,False,-1.3941,0.6592,2,2,2,100.0,25.431657077658826,30.150753768844226,19.716446124763713,0.28355387523628883,历史2/2次成功; 当前距低点0.28%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
12,89.10932350682626,74.50933579335795,000678,襄阳轴承,bottom_area,2022-09-30,5.43,2022-09-30,5.42,0.18450184501844624,7.56457564575646,29.150326797385624,False,-6.701,5.8108,1,1,1,100.0,121.62162162162164,121.62162162162164,19.815498154981555,0.18450184501844624,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-6.70%; 状态bottom_area; 底部未确认
13,88.55867651391851,74.22082426127525,000957,中通客车,bottom_area,2022-09-30,12.9,2022-09-30,12.86,0.3110419906687475,5.9097978227060635,29.534246575342472,False,-5.4252,9.617,1,1,1,100.0,354.54545454545456,354.54545454545456,19.68895800933125,0.3110419906687475,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-5.43%; 状态bottom_area; 底部未确认
14,88.35616031027796,74.8256043956044,300446,航天智造,bottom_area,2022-09-30,9.18,2022-09-30,9.1,0.87912087912088,4.3956043956043995,30.000000000000004,False,-0.8639,2.3581,1,1,1,100.0,51.92697768762679,51.92697768762679,19.120879120879124,0.87912087912088,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
15,87.84858771228107,73.34283944639472,002138,顺络电子,bottom_area,2022-09-30,19.82,2022-09-30,19.8,0.10101010101009886,3.3838383838383743,30.355258529722125,False,-2.3164,0.7589,1,1,1,100.0,32.49001331557922,32.49001331557922,19.898989898989903,0.10101010101009886,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
16,87.57521904852997,76.0978697518406,600110,诺德股份,bottom_area,2022-09-30,8.5,2022-09-30,8.31,2.2864019253910888,3.4897713598074502,28.4853700516351,False,-0.7009,1.1653,1,1,1,100.0,34.251968503937015,34.251968503937015,17.713598074608914,2.2864019253910888,历史1/1次成功; 当前距低点2.29%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
17,87.30198895027623,72.75165745856353,002343,慈文传媒,bottom_area,2022-09-30,4.79,2022-09-30,4.79,0.0,4.384133611691022,31.47353361945637,False,-1.8443,1.3664,1,1,1,100.0,40.33149171270718,40.33149171270718,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
18,86.9835235500115,75.34415122312824,300607,拓斯达,bottom_area,2022-09-30,11.6,2022-09-30,11.36,2.1126760563380302,3.7852112676056313,27.964489537095755,False,-0.4292,0.9642,1,1,1,100.0,28.070175438596472,28.070175438596472,17.88732394366197,2.1126760563380302,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
19,86.7446945480625,72.82342866644494,002283,天润工业,bottom_area,2022-09-30,4.98,2022-09-30,4.96,0.40322580645162226,2.0161290322580574,31.0152990264256,False,-1.7751,0.5908,1,1,1,100.0,33.402061855670105,33.402061855670105,19.596774193548377,0.40322580645162226,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
20,86.58859416445623,72.15716180371352,688199,久日新材,bottom_area,2022-09-30,33.08,2022-09-30,33.08,0.0,1.5417170495767991,30.269814502529513,False,-1.5476,0.595,1,1,1,100.0,37.135278514588855,37.135278514588855,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
21,86.07565554598422,71.93707874802361,603155,新亚强,bottom_area,2022-09-30,25.44,2022-09-30,25.4,0.15748031496064058,3.346456692913392,28.57142857142858,False,-2.7151,1.5057,1,1,1,100.0,25.624375624375624,25.624375624375624,19.842519685039363,0.15748031496064058,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
22,85.99314681239954,71.87177956371987,002708,光洋股份,bottom_area,2022-09-30,6.25,2022-09-30,6.24,0.16025641025640683,5.769230769230759,31.277533039647576,False,-4.8706,2.5422,1,1,1,100.0,35.522388059701484,35.522388059701484,19.839743589743595,0.16025641025640683,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-4.87%; 状态bottom_area; 底部未确认
23,85.40186798631653,72.0448755688971,002516,旷达科技,bottom_area,2022-09-30,4.52,2022-09-29,4.49,0.6681514476614556,4.231625835189298,31.86646433990895,False,-0.2208,0.7039,1,1,1,100.0,32.46376811594203,32.46376811594203,19.331848552338545,0.6681514476614556,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
24,85.04562863871466,71.37366707598312,002053,云南能投,bottom_area,2022-09-30,10.42,2022-09-30,10.38,0.3853564547206083,2.8901734104046137,28.904109589041088,False,-1.6981,0.4801,1,1,1,100.0,25.38860103626942,25.38860103626942,19.614643545279392,0.3853564547206083,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
25,84.0452733853258,71.1876009644364,002616,长青集团,bottom_area,2022-09-30,4.54,2022-09-30,4.5,0.8888888888888897,3.7777777777777763,32.432432432432435,False,-2.1552,1.9475,1,1,1,100.0,30.560578661844474,30.560578661844474,19.11111111111111,0.8888888888888897,历史1/1次成功; 当前距低点0.89%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
26,83.66702290076337,69.72251908396947,600203,福日电子,bottom_area,2022-09-30,5.75,2022-09-29,5.75,0.0,4.3478260869565215,27.490542244640604,False,-0.8621,0.6925,1,1,1,100.0,24.045801526717554,24.045801526717554,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
27,79.20358449407094,67.37857036346693,601778,晶科科技,bottom_area,2022-09-30,4.49,2022-09-29,4.44,1.1261261261261222,2.477477477477464,28.271405492730207,False,0.6726,0.7177,1,2,1,50.0,42.344827586206904,42.344827586206904,18.87387387387388,1.1261261261261222,历史1/2次成功; 当前距低点1.13%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
28,75.89651213714455,63.76349205806678,002759,天际股份,bottom_area,2022-09-30,18.11,2022-09-30,18.03,0.4437049362174059,3.605102606766492,27.298387096774192,False,-1.683,0.7639,2,3,2,66.66666666666666,24.07780992460108,27.166666666666668,19.556295063782596,0.4437049362174059,历史2/3次成功; 当前距低点0.44%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
29,74.97578613059896,62.47982177549913,002245,蔚蓝锂芯,bottom_area,2022-09-30,13.9,2022-09-30,13.9,0.0,2.7338129496402805,31.391905231984207,False,-2.7292,1.5753,2,3,2,66.66666666666666,23.995457574368096,25.653923541247494,20.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
30,74.7561043703185,64.11926505166946,000676,智度股份,bottom_area,2022-09-30,5.16,2022-09-29,5.08,1.5748031496063006,3.9370078740157513,30.219780219780223,False,0.9785,0.6766,1,2,1,50.0,30.321592649310862,30.321592649310862,18.4251968503937,1.5748031496063006,历史1/2次成功; 当前距低点1.57%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
31,72.19424902526478,61.948401111150844,002600,领益智造,bottom_area,2022-09-30,4.45,2022-09-29,4.38,1.5981735159817416,4.109589041095884,29.240710823909538,False,0.6787,0.3493,1,3,1,33.33333333333333,38.381201044386415,38.381201044386415,18.40182648401826,1.5981735159817416,历史1/3次成功; 当前距低点1.60%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
