rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.50768127179883,84.00539829075677,300604,长川科技,bottom_area,2024-01-26,27.88,2024-01-26,27.58,1.0877447425670803,8.484408992023218,28.917525773195873,False,-7.0357,4.2339,4,4,4,100.0,22.28739948284786,36.28082648300379,8.91225525743292,1.0877447425670803,历史4/4次成功; 当前距低点1.09%; 最新日涨幅-7.04%; 状态bottom_area; 底部未确认
2,89.47063907943341,84.99351585014412,300735,光弘科技,bottom_area,2024-01-26,17.75,2024-01-24,17.35,2.305475504322758,7.3775216138328386,28.008298755186722,True,-3.794,3.5542,3,3,3,100.0,50.43111523258737,93.48973607038124,7.694524495677242,2.305475504322758,历史3/3次成功; 当前距低点2.31%; 最新日涨幅-3.79%; 状态bottom_area; 底部已确认
3,86.5067519736436,78.9868465744897,688037,芯源微,bottom_area,2024-01-26,100.72,2024-01-26,100.49,0.22887849537267788,5.7717185789630925,27.381124439947968,False,-5.7017,2.5565,5,5,5,100.0,24.616610451287148,34.08866995073892,9.771121504627322,0.22887849537267788,历史5/5次成功; 当前距低点0.23%; 最新日涨幅-5.70%; 状态bottom_area; 底部未确认
4,86.47536329185623,80.46982969327117,300354,东华测试,bottom_area,2024-01-26,37.25,2024-01-26,36.8,1.2228260869565295,7.1739130434782625,28.307032924215864,False,-4.7802,3.8985,2,2,2,100.0,38.26813533081753,39.34343434343434,8.777173913043471,1.2228260869565295,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
5,85.97309440427203,83.18157707202441,688315,诺禾致源,bottom_area,2024-01-26,17.7,2024-01-24,17.14,3.26721120186697,7.4679113185530985,27.24957555178268,True,-2.6403,1.1366,3,3,3,100.0,41.83235813054352,86.2826357231662,6.73278879813303,3.26721120186697,历史3/3次成功; 当前距低点3.27%; 最新日涨幅-2.64%; 状态bottom_area; 底部已确认
6,84.07752531884233,81.1097442674918,603348,文灿股份,bottom_area,2024-01-26,28.15,2024-01-24,27.3,3.1135531135531056,6.666666666666668,32.923832923832926,False,-2.7634,1.096,4,4,4,100.0,21.33680304512298,31.539888682745836,6.886446886446896,3.1135531135531056,历史4/4次成功; 当前距低点3.11%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
7,83.96615471756193,78.69616438356164,300580,贝斯特,bottom_area,2024-01-26,22.25,2024-01-25,21.9,1.5981735159817416,7.8082191780821955,32.177144626819455,False,-4.1361,2.5294,1,1,1,100.0,53.89266817838245,53.89266817838245,8.401826484018258,1.5981735159817416,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
8,83.42921097532404,78.2639133769675,300661,圣邦股份,bottom_area,2024-01-26,64.85,2024-01-24,63.8,1.6457680250783657,5.4858934169279,28.715083798882684,False,-1.3838,0.6904,2,2,2,100.0,21.377765990033247,31.832606108687024,8.354231974921635,1.6457680250783657,历史2/2次成功; 当前距低点1.65%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
9,80.87551169710417,76.62186151926915,688017,绿的谐波,bottom_area,2024-01-26,111.88,2024-01-25,109.51,2.1641859190941375,7.022189754360331,29.11974110032362,False,-2.7638,1.4512,2,2,2,100.0,18.90433018711707,22.08643815201191,7.835814080905863,2.1641859190941375,历史2/2次成功; 当前距低点2.16%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
10,80.61141218750613,79.74925804646327,002600,领益智造,bottom_area,2024-01-26,5.18,2024-01-22,4.96,4.435483870967737,9.677419354838717,27.272727272727277,True,-2.6316,0.8384,4,4,4,100.0,21.03312511972955,38.381201044386415,5.564516129032264,4.435483870967737,历史4/4次成功; 当前距低点4.44%; 最新日涨幅-2.63%; 状态bottom_area; 底部已确认
11,80.44264698268911,74.09926254671596,603305,旭升集团,bottom_area,2024-01-26,14.59,2024-01-26,14.49,0.6901311249137312,5.3830227743271175,28.053624627606755,False,-4.8271,1.8306,3,3,3,100.0,20.660008126447625,32.41061130334487,9.30986887508627,0.6901311249137312,历史3/3次成功; 当前距低点0.69%; 最新日涨幅-4.83%; 状态bottom_area; 底部未确认
