rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
17,80.31459413902492,76.05647944160515,603197,保隆科技,bottom_area,2025-11-26,34.83,2025-11-21,34.1,2.140762463343099,3.988269794721406,27.431368376250266,False,-0.5993,0.7664,5,6,5,83.33333333333334,18.355293143516597,23.07435811937312,7.859237536656901,2.140762463343099,历史5/6次成功; 当前距低点2.14%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
18,80.30637645433856,75.57297985153764,002321,华英农业,bottom_area,2025-11-26,2.81,2025-11-25,2.76,1.8115942028985605,6.521739130434789,28.497409326424872,False,-1.4035,3.6167,1,1,1,100.0,25.609756097560986,25.609756097560986,8.18840579710144,1.8115942028985605,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
19,80.01662458385879,77.10644957701808,000572,海马汽车,confirmed_rebound,2025-11-26,8.77,2025-11-24,8.51,3.055229142185661,14.218566392479445,29.260182876142977,True,-2.2297,17.8176,6,7,6,85.71428571428571,31.072660636259403,95.5116696588869,6.944770857814339,3.055229142185661,历史6/7次成功; 当前距低点3.06%; 最新日涨幅-2.23%; 状态confirmed_rebound; 底部已确认
20,79.85625862812076,74.53563323669621,603366,日出东方,bottom_area,2025-11-26,9.54,2025-11-24,9.41,1.3815090329436663,4.463336875664186,29.776119402985074,False,-2.0534,4.9552,3,4,3,75.0,18.927278665633175,25.15964240102172,8.618490967056335,1.3815090329436663,历史3/4次成功; 当前距低点1.38%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
21,79.3471300619418,72.87376869391822,600550,保变电气,bottom_area,2025-11-26,9.4,2025-11-26,9.35,0.5347593582887776,3.529411764705883,28.076923076923077,False,-2.8926,4.2572,1,1,1,100.0,35.285053929121716,35.285053929121716,9.465240641711222,0.5347593582887776,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
22,78.99605950572496,75.51196690273015,603173,福斯达,bottom_area,2025-11-26,37.82,2025-11-24,36.85,2.632293080054271,4.640434192673001,32.86573146292585,False,-0.6306,1.9259,1,1,1,100.0,35.34190927555856,35.34190927555856,7.3677069199457295,2.632293080054271,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
23,77.7909897831275,73.54235518726497,002326,永太科技,bottom_area,2025-11-26,23.87,2025-11-25,23.39,2.052159042325782,6.113723813595552,29.12121212121212,False,-1.8503,9.2598,3,4,3,75.0,21.807945181547076,29.837587006960554,7.947840957674218,2.052159042325782,历史3/4次成功; 当前距低点2.05%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
24,77.6751660517101,72.56495775883442,600939,重庆建工,bottom_area,2025-11-26,3.55,2025-11-21,3.5,1.4285714285714235,4.571428571428576,27.23492723492723,False,0.2825,1.405,2,3,2,66.66666666666666,21.158247039304307,31.277533039647576,8.571428571428577,1.4285714285714235,历史2/3次成功; 当前距低点1.43%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
25,77.61365167813915,75.6987427701203,002338,奥普光电,bottom_area,2025-11-26,50.6,2025-11-21,48.8,3.688524590163943,5.389344262295088,30.632551528073915,False,-0.5112,1.2927,3,3,3,100.0,15.960101267172554,20.995288574793882,6.311475409836056,3.688524590163943,历史3/3次成功; 当前距低点3.69%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
26,77.42124842229849,74.75585848199341,601011,宝泰隆,bottom_area,2025-11-26,3.59,2025-11-24,3.48,3.160919540229881,5.172413793103453,28.395061728395067,False,-1.3736,3.3446,4,5,4,80.0,31.090080826438378,34.951456310679596,6.83908045977012,3.160919540229881,历史4/5次成功; 当前距低点3.16%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
