rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,75.7090417128315,75.6235913271511,600004,白云机场,bottom_area,2023-11-01,10.62,2023-10-23,10.12,4.940711462450594,9.584980237154157,31.38983050847458,True,0.2833,0.4042,1,1,1,100.0,32.57211538461537,32.57211538461537,5.059288537549407,4.940711462450594,历史1/1次成功; 当前距低点4.94%; 最新日涨幅0.28%; 状态bottom_area; 底部已确认
13,75.37071374566955,73.7511777478287,601155,新城控股,bottom_area,2023-11-01,11.84,2023-10-20,11.4,3.8596491228070127,6.052631578947364,27.06333973128599,False,-0.5042,0.5014,2,2,2,100.0,24.2536438055306,24.642857142857142,6.140350877192987,3.8596491228070127,历史2/2次成功; 当前距低点3.86%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
14,74.7862361506495,74.31943638492598,603305,旭升集团,bottom_area,2023-11-01,18.15,2023-10-31,17.34,4.671280276816601,5.132641291810845,28.04979253112034,False,2.6584,1.3473,2,2,2,100.0,14.784706537999003,15.339805825242717,5.3287197231834,4.671280276816601,历史2/2次成功; 当前距低点4.67%; 最新日涨幅2.66%; 状态bottom_area; 底部未确认
15,74.68008792142685,71.82262850768042,002828,贝肯能源,bottom_area,2023-11-01,11.16,2023-10-27,10.84,2.9520295202952056,8.763837638376378,28.590250329380762,True,-1.2389,18.5752,1,1,1,100.0,10.232558139534893,10.232558139534893,7.047970479704794,2.9520295202952056,历史1/1次成功; 当前距低点2.95%; 最新日涨幅-1.24%; 状态bottom_area; 底部已确认
16,74.59759438488123,67.8348728748108,300394,天孚通信,bottom_area,2023-11-01,68.6,2023-11-01,68.59,0.014579384749950292,5.394372357486518,27.632411901244986,False,-3.6652,4.2056,1,1,1,100.0,12.032870279788687,12.032870279788687,9.98542061525005,0.014579384749950292,历史1/1次成功; 当前距低点0.01%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
17,71.23871416050453,70.88864676905243,600103,青山纸业,bottom_area,2023-11-01,2.43,2023-10-23,2.32,4.741379310344842,6.896551724137938,29.6969696969697,False,0.0,0.5278,1,1,1,100.0,13.865546218487399,13.865546218487399,5.258620689655158,4.741379310344842,历史1/1次成功; 当前距低点4.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
18,71.02106899431284,70.97980166776179,603025,大豪科技,bottom_area,2023-11-01,12.04,2023-10-23,11.47,4.969485614646891,7.061900610287696,32.96317942723553,True,-0.4959,0.2962,2,2,2,100.0,13.76467133955222,13.87573964497043,5.030514385353109,4.969485614646891,历史2/2次成功; 当前距低点4.97%; 最新日涨幅-0.50%; 状态bottom_area; 底部已确认
19,70.93886475828921,65.55039969834087,000631,顺发恒能,bottom_area,2023-11-01,3.54,2023-11-01,3.51,0.8547008547008619,7.6923076923076925,29.090909090909093,False,-8.7629,5.8943,1,1,1,100.0,10.04901960784314,10.04901960784314,9.14529914529914,0.8547008547008619,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-8.76%; 状态bottom_area; 底部未确认
20,70.64596077927136,68.73428838360243,600057,厦门象屿,bottom_area,2023-11-01,6.4,2023-10-26,6.18,3.559870550161823,4.2071197411003345,27.12264150943397,False,-0.156,0.3177,1,1,1,100.0,10.273081924577374,10.273081924577374,6.440129449838178,3.559870550161823,历史1/1次成功; 当前距低点3.56%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
21,70.23791305417411,68.42833706523362,300511,雪榕生物,bottom_area,2023-11-01,5.71,2023-10-30,5.51,3.629764065335757,3.9927404718693404,27.212681638044923,False,0.8834,2.3775,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,6.370235934664244,3.629764065335757,历史2/3次成功; 当前距低点3.63%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
22,70.06224969374207,69.6813548281221,002314,南山控股,bottom_area,2023-11-01,3.11,2023-10-19,2.97,4.713804713804703,6.060606060606051,28.087167070217912,False,-0.639,1.2706,2,2,2,100.0,12.843169761273208,13.750000000000004,5.286195286195298,4.713804713804703,历史2/2次成功; 当前距低点4.71%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
23,68.77100104401903,68.1686655436335,000063,中兴通讯,bottom_area,2023-11-01,26.03,2023-10-26,24.9,4.538152610441778,8.91566265060242,27.57417102966842,True,-0.4589,1.4012,1,1,1,100.0,10.030395136778129,10.030395136778129,5.461847389558222,4.538152610441778,历史1/1次成功; 当前距低点4.54%; 最新日涨幅-0.46%; 状态bottom_area; 底部已确认
24,67.68523505724042,66.9701887708846,601156,东航物流,bottom_area,2023-11-01,11.52,2023-10-23,11.03,4.442429737080691,5.530371713508624,32.33128834355829,False,-0.346,0.4113,1,1,1,100.0,11.607142857142852,11.607142857142852,5.55757026291931,4.442429737080691,历史1/1次成功; 当前距低点4.44%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
25,65.32182857922018,65.01069427412989,000428,华天酒店,bottom_area,2023-11-01,3.97,2023-10-23,3.79,4.749340369393145,6.596306068601583,32.32142857142857,False,0.0,0.7082,2,3,2,66.66666666666666,21.25012714881498,28.045977011494273,5.250659630606856,4.749340369393145,历史2/3次成功; 当前距低点4.75%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
26,65.20309798602554,64.92943466440305,002080,中材科技,bottom_area,2023-11-01,17.32,2023-10-26,16.53,4.77918935269207,5.626134301270415,27.244718309859145,False,0.1735,0.4568,2,3,2,66.66666666666666,21.179138289646758,28.579356270810223,5.220810647307931,4.77918935269207,历史2/3次成功; 当前距低点4.78%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
27,64.51967969470341,62.344859030837,002366,融发核电,bottom_area,2023-11-01,5.16,2023-10-23,5.0,3.200000000000003,8.000000000000007,28.469241773962807,True,-0.3861,0.8631,2,4,2,50.0,20.64977973568282,25.0,6.799999999999998,3.200000000000003,历史2/4次成功; 当前距低点3.20%; 最新日涨幅-0.39%; 状态bottom_area; 底部已确认
28,64.10895636169764,60.31692936802975,603211,晋拓股份,bottom_area,2023-11-01,15.27,2023-10-31,15.0,1.7999999999999972,5.933333333333337,29.67651195499296,False,0.9253,12.7561,1,2,1,50.0,12.639405204460974,12.639405204460974,8.200000000000003,1.7999999999999972,历史1/2次成功; 当前距低点1.80%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
29,54.31311170657518,54.0351392212463,600328,中盐化工,bottom_area,2023-11-01,7.97,2023-10-26,7.61,4.73061760840998,6.17608409986859,28.207547169811313,False,-0.2503,0.4091,1,2,1,50.0,37.26315789473683,37.26315789473683,5.269382391590021,4.73061760840998,历史1/2次成功; 当前距低点4.73%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
30,52.01364561583596,50.060553600750644,688111,金山办公,bottom_area,2023-11-01,283.74,2023-10-31,275.5,2.9909255898366642,5.281306715063526,29.53964194373401,False,-1.1703,0.6955,1,3,1,33.33333333333333,14.013605442176866,14.013605442176866,7.009074410163336,2.9909255898366642,历史1/3次成功; 当前距低点2.99%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
