rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.23990478200535,82.12824045692642,603800,洪田股份,bottom_area,2026-02-12,38.71,53.2,2026-02-06,38.0,1.8684210526315814,6.5526315789473735,28.571428571428577,27.236842105263158,False,-0.7181,1.4157,3,3,3,100.0,28.216346542615163,32.08300079808461,18.13157894736842,1.8684210526315814,历史3/3次成功; 当前距低点1.87%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
2,90.58606421698605,82.08340114968773,300668,杰恩股份,bottom_area,2026-02-12,25.1,33.3,2026-01-30,24.0,4.583333333333339,8.333333333333332,27.92792792792792,24.624624624624612,True,0.0399,2.0593,3,3,3,100.0,29.588178224127592,36.04488078541374,15.416666666666663,4.583333333333339,历史3/3次成功; 当前距低点4.58%; 最新日涨幅0.04%; 状态bottom_area; 底部已确认
3,88.90920459660697,77.92565321760053,301023,奕帆传动,bottom_area,2026-02-12,46.57,65.18,2026-02-06,45.32,2.758164165931156,5.4060017652250725,30.469469162319733,28.55170297637313,False,0.0,3.9041,1,1,1,100.0,27.388535031847127,27.388535031847127,17.241835834068844,2.758164165931156,历史1/1次成功; 当前距低点2.76%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,84.89046699786368,76.49880723888111,600435,北方导航,bottom_area,2026-02-12,16.81,22.55,2026-01-30,16.12,4.280397022332492,7.133995037220835,28.514412416851435,25.454545454545464,True,0.0595,1.2738,1,1,1,100.0,29.183400267737625,29.183400267737625,15.71960297766751,4.280397022332492,历史1/1次成功; 当前距低点4.28%; 最新日涨幅0.06%; 状态bottom_area; 底部已确认
5,82.06132317764457,69.53875126903554,600271,航天信息,bottom_area,2026-02-12,9.94,13.99,2026-02-02,9.85,0.9137055837563437,5.1776649746192875,29.592566118656187,28.94924946390279,False,-0.996,1.2147,1,1,1,100.0,21.999999999999996,21.999999999999996,19.086294416243657,0.9137055837563437,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
6,82.04979184585213,71.25556444231789,603169,兰石重装,bottom_area,2026-02-12,10.43,14.18,2026-01-29,10.2,2.254901960784318,7.745098039215696,28.067700987306072,26.445698166431598,True,-1.8815,1.7273,3,5,3,60.0,35.30505867153828,49.872122762148344,17.745098039215684,2.254901960784318,历史3/5次成功; 当前距低点2.25%; 最新日涨幅-1.88%; 状态bottom_area; 底部已确认
7,75.7288780605215,64.66473182677733,688119,中钢洛耐,bottom_area,2026-02-12,6.09,8.45,2026-02-12,6.01,1.3311148086522475,2.495840266222968,28.87573964497041,27.92899408284023,False,0.3295,1.4969,1,2,1,50.0,30.267062314540045,30.267062314540045,18.668885191347755,1.3311148086522475,历史1/2次成功; 当前距低点1.33%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
8,75.02619014039664,64.09538922155689,300652,雷迪克,bottom_area,2026-02-12,50.78,74.21,2026-02-06,50.1,1.357285429141716,3.932135728542912,32.48888289987871,31.572564344427967,False,-0.4899,1.637,1,2,1,50.0,54.41115272575945,54.41115272575945,18.642714570858285,1.357285429141716,历史1/2次成功; 当前距低点1.36%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
9,73.95602651462845,63.39159293596877,603039,泛微网络,bottom_area,2026-02-12,50.8,74.51,2026-02-12,50.03,1.5390765540675515,2.2786328203078163,32.854650382498995,31.82123204938935,False,0.1972,2.311,1,2,1,50.0,25.971438060445035,25.971438060445035,18.46092344593245,1.5390765540675515,历史1/2次成功; 当前距低点1.54%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
10,70.94388822189792,60.25225451208321,603360,百傲化学,bottom_area,2026-02-12,28.29,38.98,2026-02-09,28.0,1.0357142857142827,9.357142857142861,28.168291431503327,27.42432016418676,False,-0.3171,1.24,1,2,1,50.0,25.39614561027837,25.39614561027837,18.96428571428572,1.0357142857142827,历史1/2次成功; 当前距低点1.04%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
11,69.67704835794298,59.75809819388984,605365,立达信,bottom_area,2026-02-12,20.05,27.37,2026-01-30,19.74,1.570415400202646,7.294832826747727,27.87723785166241,26.744610887833392,True,-0.7426,0.6985,1,3,1,33.33333333333333,39.54468802698146,39.54468802698146,18.429584599797355,1.570415400202646,历史1/3次成功; 当前距低点1.57%; 最新日涨幅-0.74%; 状态bottom_area; 底部已确认
12,68.08296427292424,58.95540434952464,300723,一品红,bottom_area,2026-02-12,33.6,45.88,2026-02-02,32.91,2.096627164995457,6.95837131570953,28.269398430688764,26.765475152571927,False,-0.5917,1.4423,1,2,1,50.0,31.428571428571427,31.428571428571427,17.903372835004543,2.096627164995457,历史1/2次成功; 当前距低点2.10%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
13,65.77109588347525,57.53115046240782,000797,中国武夷,bottom_area,2026-02-12,3.1,4.27,2026-02-02,3.02,2.6490066225165587,9.602649006622517,29.274004683840744,27.400468384074934,True,-2.2082,2.0378,2,6,2,33.33333333333333,24.126624883936852,27.083333333333325,17.35099337748344,2.6490066225165587,历史2/6次成功; 当前距低点2.65%; 最新日涨幅-2.21%; 状态bottom_area; 底部已确认
