rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.94257374345034,78.45100042240057,300593,新雷能,bottom_area,2024-01-29,10.99,2024-01-24,10.85,1.2903225806451666,7.834101382488476,31.11111111111111,True,-2.3111,1.6269,1,1,1,100.0,25.499655410062033,25.499655410062033,18.709677419354833,1.2903225806451666,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-2.31%; 状态bottom_area; 底部已确认
2,90.24604158222911,76.1667358622394,300354,东华测试,bottom_area,2024-01-29,36.3,2024-01-29,36.05,0.6934812760055479,4.299583911234409,29.768166764075595,False,-2.5503,2.0173,2,2,2,100.0,38.26813533081753,39.34343434343434,19.306518723994454,0.6934812760055479,历史2/2次成功; 当前距低点0.69%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
3,89.54340384615384,78.20384615384614,002426,胜利精密,bottom_area,2024-01-29,2.0,2024-01-23,1.95,2.5641025641025665,8.717948717948726,29.090909090909093,True,-3.3816,0.8833,1,1,1,100.0,51.31578947368419,51.31578947368419,17.435897435897434,2.5641025641025665,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-3.38%; 状态bottom_area; 底部已确认
4,89.3375522115406,76.05622325943213,688315,诺禾致源,bottom_area,2024-01-29,17.34,2024-01-24,17.14,1.1668611435239165,7.4679113185530985,27.24957555178268,True,-2.0339,1.2868,2,3,2,66.66666666666666,54.319731958499396,86.2826357231662,18.833138856476083,1.1668611435239165,历史2/3次成功; 当前距低点1.17%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
5,88.80018924840634,75.06013698630134,300580,贝斯特,bottom_area,2024-01-29,22.07,2024-01-25,21.9,0.7762557077625649,7.8082191780821955,32.177144626819455,False,-0.809,1.7835,1,1,1,100.0,53.89266817838245,53.89266817838245,19.223744292237434,0.7762557077625649,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
6,87.33683882357617,75.34771365440791,002609,捷顺科技,bottom_area,2024-01-29,8.61,2024-01-24,8.45,1.8934911242603567,7.928994082840236,31.90975020145045,True,-3.9063,1.9139,1,1,1,100.0,26.42405063291139,26.42405063291139,18.106508875739642,1.8934911242603567,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-3.91%; 状态bottom_area; 底部已确认
7,87.02794864998282,74.57302383034241,000516,国际医学,bottom_area,2024-01-29,6.67,2024-01-29,6.57,1.5220700152206947,6.088280060882792,30.623020063357977,False,-3.7518,1.5876,1,1,1,100.0,26.89969604863221,26.89969604863221,18.47792998477931,1.5220700152206947,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-3.75%; 状态bottom_area; 底部未确认
8,85.48679600846707,71.41368888883606,688037,芯源微,bottom_area,2024-01-29,97.43,2024-01-29,97.3,0.1336073997944601,6.351490236382331,29.68637086284145,False,-3.2665,2.1167,4,5,4,80.0,26.066203012728074,34.08866995073892,19.86639260020554,0.1336073997944601,历史4/5次成功; 当前距低点0.13%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
9,85.24995708388097,76.48139006953892,688136,科兴制药,bottom_area,2024-01-29,17.27,2024-01-24,16.6,4.036144578313242,10.481927710843362,27.25679228746713,True,-3.1951,1.0593,2,2,2,100.0,42.117202731683314,60.65012831479899,15.963855421686759,4.036144578313242,历史2/2次成功; 当前距低点4.04%; 最新日涨幅-3.20%; 状态bottom_area; 底部已确认
10,84.48730165790938,75.01780276876535,002304,洋河股份,bottom_area,2024-01-29,95.73,2024-01-24,92.52,3.4695201037613574,5.544747081712073,27.53759398496241,False,0.9491,0.5739,1,1,1,100.0,20.474777448071226,20.474777448071226,16.530479896238642,3.4695201037613574,历史1/1次成功; 当前距低点3.47%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
11,84.1267411289651,73.53808849923136,605158,华达新材,bottom_area,2024-01-29,7.07,2024-01-24,6.89,2.6124818577648856,8.708272859216263,28.15432742440042,True,-3.2832,1.3329,1,1,1,100.0,25.5083179297597,25.5083179297597,17.387518142235116,2.6124818577648856,历史1/1次成功; 当前距低点2.61%; 最新日涨幅-3.28%; 状态bottom_area; 底部已确认
