rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.43189971105274,77.25566781368657,002313,日海智能,bottom_area,2024-12-23,8.86,2024-12-23,8.83,0.3397508493771162,9.39977349943375,28.21138211382114,False,-8.4711,7.808,4,4,4,100.0,16.66827822723863,20.08238928939237,9.660249150622885,0.3397508493771162,历史4/4次成功; 当前距低点0.34%; 最新日涨幅-8.47%; 状态bottom_area; 底部未确认
2,83.9867353534294,77.77624421119243,603088,宁波精达,bottom_area,2024-12-23,9.38,2024-12-23,9.29,0.9687836383207927,7.104413347685686,31.33776792313378,False,-5.6338,6.3,4,4,4,100.0,27.17780057292387,46.15384615384614,9.031216361679208,0.9687836383207927,历史4/4次成功; 当前距低点0.97%; 最新日涨幅-5.63%; 状态bottom_area; 底部未确认
3,82.32004969516787,74.83640881378896,002235,安妮股份,bottom_area,2024-12-23,5.7,2024-12-23,5.7,0.0,9.649122807017541,30.487804878048774,False,-9.9526,17.3281,3,3,3,100.0,28.421552762306185,46.16438356164384,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
4,81.70929919155324,74.74983206798245,000159,国际实业,bottom_area,2024-12-23,6.09,2024-12-23,6.07,0.32948929159801604,8.566721581548592,28.08056872037914,False,-7.7273,6.5833,3,3,3,100.0,19.73692286465547,28.035982008995493,9.670510708401984,0.32948929159801604,历史3/3次成功; 当前距低点0.33%; 最新日涨幅-7.73%; 状态bottom_area; 底部未确认
5,81.64717470288238,74.53883543008006,002682,龙洲股份,confirmed_rebound,2024-12-23,4.53,2024-12-23,4.52,0.22123893805311232,10.39823008849559,29.922480620155046,False,-8.6694,7.7355,3,3,3,100.0,27.49064628409217,42.121212121212146,9.778761061946888,0.22123893805311232,历史3/3次成功; 当前距低点0.22%; 最新日涨幅-8.67%; 状态confirmed_rebound; 底部未确认
6,80.33504546707591,74.4871507380777,688196,卓越新能,bottom_area,2024-12-23,34.2,2024-12-23,33.85,1.0339734121122641,9.010339734121114,29.272879231090677,False,-0.8696,2.1731,3,4,3,75.0,14.406506009105732,19.41979522184301,8.966026587887736,1.0339734121122641,历史3/4次成功; 当前距低点1.03%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
7,80.02848106447316,73.47371944922547,600106,重庆路桥,bottom_area,2024-12-23,5.84,2024-12-23,5.81,0.5163511187607616,4.991394148020655,27.646326276463263,False,-4.1051,2.9277,1,1,1,100.0,48.50000000000001,48.50000000000001,9.483648881239239,0.5163511187607616,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-4.11%; 状态bottom_area; 底部未确认
8,79.56459110294836,73.68403806506348,000882,华联股份,bottom_area,2024-12-23,2.08,2024-12-23,2.06,0.9708737864077678,9.223300970873783,29.452054794520542,False,-7.5556,6.5581,3,3,3,100.0,21.868980097167658,29.268292682926838,9.029126213592233,0.9708737864077678,历史3/3次成功; 当前距低点0.97%; 最新日涨幅-7.56%; 状态bottom_area; 底部未确认
9,79.56108199210011,72.32825635645465,603030,全筑股份,bottom_area,2024-12-23,2.9,2024-12-23,2.9,0.0,8.620689655172415,29.095354523227385,False,-7.6433,3.0026,5,6,5,83.33333333333334,34.381306575921016,51.87969924812029,10.0,0.0,历史5/6次成功; 当前距低点0.00%; 最新日涨幅-7.64%; 状态bottom_area; 底部未确认
10,78.1240147974609,71.84686743232126,002148,北纬科技,confirmed_rebound,2024-12-23,6.65,2024-12-23,6.61,0.6051437216338886,10.136157337367624,31.71487603305785,False,-8.0221,17.0734,3,3,3,100.0,17.72362966476626,19.756097560975626,9.394856278366111,0.6051437216338886,历史3/3次成功; 当前距低点0.61%; 最新日涨幅-8.02%; 状态confirmed_rebound; 底部未确认
11,78.04055753968802,70.94596139971638,601929,吉视传媒,confirmed_rebound,2024-12-23,1.94,2024-12-23,1.94,0.0,10.824742268041236,29.963898916967512,False,-10.1852,8.7264,3,3,3,100.0,17.72022257912035,20.212765957446805,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.19%; 状态confirmed_rebound; 底部未确认
12,77.58375438265648,71.3562958368914,002474,榕基软件,confirmed_rebound,2024-12-23,6.6,2024-12-23,6.56,0.6097560975609762,11.432926829268293,28.22757111597375,False,-9.3407,9.9532,3,3,3,100.0,15.142686770593746,21.0989010989011,9.390243902439025,0.6097560975609762,历史3/3次成功; 当前距低点0.61%; 最新日涨幅-9.34%; 状态confirmed_rebound; 底部未确认
13,77.29056201411831,71.64732860385928,002292,奥飞娱乐,confirmed_rebound,2024-12-23,8.9,2024-12-23,8.81,1.0215664018161164,11.010215664018148,32.07401696222051,False,-9.0909,17.8267,1,1,1,100.0,15.250000000000007,15.250000000000007,8.978433598183884,1.0215664018161164,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-9.09%; 状态confirmed_rebound; 底部未确认
14,76.81991857401817,69.83628961274378,000679,大连友谊,bottom_area,2024-12-23,5.82,2024-12-23,5.82,0.0,7.903780068728522,31.367924528301888,False,-10.0464,10.1511,6,7,6,85.71428571428571,15.824905752078752,24.94061757719715,10.0,0.0,历史6/7次成功; 当前距低点0.00%; 最新日涨幅-10.05%; 状态bottom_area; 底部未确认
15,75.49598660533421,69.31128713766559,300651,金陵体育,bottom_area,2024-12-23,13.65,2024-12-23,13.58,0.5154639175257753,9.57290132547865,28.110111169931184,False,-9.1816,14.6457,4,5,4,80.0,19.443789621636355,25.720461095100855,9.484536082474225,0.5154639175257753,历史4/5次成功; 当前距低点0.52%; 最新日涨幅-9.18%; 状态bottom_area; 底部未确认
16,75.25028007164974,69.44784883720929,600280,中央商场,bottom_area,2024-12-23,3.83,2024-12-23,3.8,0.789473684210533,6.842105263157889,32.74336283185841,False,-6.8127,6.5025,2,2,2,100.0,13.536821705426364,15.406976744186055,9.210526315789467,0.789473684210533,历史2/2次成功; 当前距低点0.79%; 最新日涨幅-6.81%; 状态bottom_area; 底部未确认
17,75.22686431619988,68.95400630496569,001217,华尔泰,confirmed_rebound,2024-12-23,11.63,2024-12-23,11.58,0.4317789291882618,12.00345423143351,30.4921968787515,False,-9.4942,6.665,2,2,2,100.0,16.712162707069524,22.206095791001456,9.568221070811738,0.4317789291882618,历史2/2次成功; 当前距低点0.43%; 最新日涨幅-9.49%; 状态confirmed_rebound; 底部未确认
