rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.04561699891617,85.588008134542,300757,罗博特科,bottom_area,2024-06-13,85.68,2024-06-13,84.53,1.3604637406837876,4.388974328640711,32.75258552108194,False,-1.2448,4.2381,5,5,5,100.0,23.924007867209824,74.11052233156698,6.639536259316213,1.3604637406837876,历史5/5次成功; 当前距低点1.36%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
2,89.03861325948144,84.98218440939118,002761,浙江建投,bottom_area,2024-06-13,8.38,2024-06-06,8.25,1.5757575757575852,4.848484848484853,28.26086956521739,False,-2.8969,2.4916,6,6,6,100.0,23.305976785583134,43.73730534867976,6.424242424242416,1.5757575757575852,历史6/6次成功; 当前距低点1.58%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
3,86.25991906652932,83.02626455238385,600322,津投城开,bottom_area,2024-06-13,1.52,2024-06-06,1.49,2.0134228187919483,7.382550335570476,28.01932367149758,False,-1.9355,1.1564,4,4,4,100.0,18.15520741521231,35.828877005347586,5.986577181208052,2.0134228187919483,历史4/4次成功; 当前距低点2.01%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
4,84.13232786885251,80.44000000000004,002687,乔治白,bottom_area,2024-06-13,4.27,2024-06-06,4.2,1.666666666666652,5.714285714285719,28.2051282051282,False,-2.0642,1.3505,1,1,1,100.0,64.00000000000001,64.00000000000001,6.333333333333348,1.666666666666652,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
5,80.48634070588234,75.41823529411765,000420,吉林化纤,bottom_area,2024-06-13,3.25,2024-06-06,3.23,0.6191950464396291,5.26315789473684,29.321663019693663,False,-2.6946,1.7887,1,1,1,100.0,53.9249146757679,53.9249146757679,7.3808049535603715,0.6191950464396291,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
6,79.7237793365767,75.52966165413532,600201,生物股份,bottom_area,2024-06-13,7.65,2024-06-13,7.56,1.1904761904762005,3.042328042328048,30.958904109589042,False,-1.671,1.6724,1,1,1,100.0,17.76315789473684,17.76315789473684,6.8095238095238,1.1904761904762005,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
7,79.52157914027445,74.37794483236766,605198,安德利,bottom_area,2024-06-13,28.77,2024-06-11,28.62,0.5241090146750474,3.5290006988120126,29.123328380386333,False,-1.8759,0.4491,1,1,1,100.0,43.241469816272954,43.241469816272954,7.475890985324953,0.5241090146750474,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
8,79.44393233596068,77.88620817251046,000705,浙江震元,bottom_area,2024-06-13,7.28,2024-06-06,7.07,2.97029702970297,5.799151343705801,27.26337448559671,False,-2.6738,3.1828,3,3,3,100.0,18.916588173296947,34.04605263157895,5.02970297029703,2.97029702970297,历史3/3次成功; 当前距低点2.97%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
9,79.43358083355663,78.772409137192,603326,我乐家居,bottom_area,2024-06-13,6.1,2024-06-06,5.89,3.5653650254668925,6.791171477079802,27.552275522755238,False,-1.6129,0.9688,4,4,4,100.0,14.30882470568014,20.141843971631218,4.4346349745331075,3.5653650254668925,历史4/4次成功; 当前距低点3.57%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
10,79.07324349066603,80.08670433092648,002805,丰元股份,bottom_area,2024-06-13,11.0,2024-06-11,10.51,4.66222645099905,7.32635585156993,31.35205747877205,True,-1.5219,1.775,5,5,5,100.0,25.626777630130704,50.09389671361502,3.3377735490009504,4.66222645099905,历史5/5次成功; 当前距低点4.66%; 最新日涨幅-1.52%; 状态bottom_area; 底部已确认
11,78.48179910929105,77.8376256555896,002225,濮耐股份,bottom_area,2024-06-13,4.06,2024-06-06,3.92,3.5714285714285636,7.39795918367347,27.001862197392928,True,-2.4038,2.2086,3,3,3,100.0,16.830552679821142,29.457364341085263,4.428571428571437,3.5714285714285636,历史3/3次成功; 当前距低点3.57%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
12,76.92946710467102,78.01129390500702,002837,英维克,bottom_area,2024-06-13,23.71,2024-06-11,22.64,4.726148409893994,6.581272084805646,31.97115384615385,False,2.8633,1.8189,3,3,3,100.0,18.639313330996423,24.517374517374524,3.2738515901060063,4.726148409893994,历史3/3次成功; 当前距低点4.73%; 最新日涨幅2.86%; 状态bottom_area; 底部未确认
