rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.65520446744478,80.12991819717242,300342,天银机电,bottom_area,2023-08-02,11.34,2023-07-28,11.11,2.070207020702074,4.230423042304237,28.368794326241137,False,-0.3515,2.418,3,3,3,100.0,19.9461838944793,26.68539325842696,12.929792979297924,2.070207020702074,历史3/3次成功; 当前距低点2.07%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
2,85.38388766809385,77.78872304865672,300515,三德科技,bottom_area,2023-08-02,13.55,2023-07-28,13.22,2.4962178517397886,3.706505295007566,27.162534435261698,False,2.2642,1.37,1,1,1,100.0,23.441396508728182,23.441396508728182,12.503782148260212,2.4962178517397886,历史1/1次成功; 当前距低点2.50%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
3,84.76443454726461,78.69130475327997,688300,联瑞新材,bottom_area,2023-08-02,43.99,2023-08-02,42.5,3.505882352941181,4.564705882352936,27.350427350427353,False,2.0413,0.9046,2,2,2,100.0,24.003852247235756,26.809910956252438,11.494117647058818,3.505882352941181,历史2/2次成功; 当前距低点3.51%; 最新日涨幅2.04%; 状态bottom_area; 底部未确认
4,83.28515990562843,76.31790904638751,688095,福昕软件,bottom_area,2023-08-02,98.88,2023-08-02,96.18,2.8072364316905682,3.4206695778748095,28.75555555555555,False,-1.1595,2.8843,2,2,2,100.0,25.152731777645194,31.679509356817103,12.19276356830943,2.8072364316905682,历史2/2次成功; 当前距低点2.81%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
5,81.5679230983561,75.66850965250967,002219,新里程,bottom_area,2023-08-02,3.88,2023-07-28,3.75,3.4666666666666637,6.400000000000006,27.884615384615387,False,0.2584,0.514,1,1,1,100.0,23.938223938223942,23.938223938223942,11.533333333333335,3.4666666666666637,历史1/1次成功; 当前距低点3.47%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
6,81.20061834744061,74.35720409775732,002755,奥赛康,bottom_area,2023-08-02,8.16,2023-07-17,7.94,2.770780856423171,6.171284634760696,28.853046594982075,False,-0.8505,0.2516,1,1,1,100.0,30.831099195710454,30.831099195710454,12.22921914357683,2.770780856423171,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
7,77.34973984597806,72.47685547182073,600995,南网储能,bottom_area,2023-08-02,11.17,2023-06-07,10.74,4.003724394785844,8.379888268156428,32.7909887359199,True,-1.4122,0.6691,1,1,1,100.0,26.64165103189493,26.64165103189493,10.996275605214157,4.003724394785844,历史1/1次成功; 当前距低点4.00%; 最新日涨幅-1.41%; 状态bottom_area; 底部已确认
8,77.31307650984427,71.9064127460973,301386,未来电器,bottom_area,2023-08-02,27.59,2023-08-01,26.63,3.604956815621483,4.018024784078109,28.70147255689425,False,-0.3971,13.691,1,1,1,100.0,27.880184331797242,27.880184331797242,11.395043184378517,3.604956815621483,历史1/1次成功; 当前距低点3.60%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
9,77.29064202613901,68.46210110310085,300633,开立医疗,bottom_area,2023-08-02,43.93,2023-08-02,43.5,0.9885057471264361,4.597701149425287,30.53337591823698,False,-2.8957,2.454,1,1,1,100.0,17.12846347607052,17.12846347607052,14.011494252873563,0.9885057471264361,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
10,76.88052714495869,73.12469598555712,002045,国光电器,bottom_area,2023-08-02,13.95,2023-07-28,13.31,4.808414725770088,6.386175807663408,27.937195452084456,False,1.2337,1.9046,3,4,3,75.0,30.875707313510432,33.77563329312426,10.191585274229912,4.808414725770088,历史3/4次成功; 当前距低点4.81%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
11,76.15829639128597,71.09475461102899,688143,长盈通,bottom_area,2023-08-02,30.84,2023-08-01,29.71,3.80343318747896,6.294177044766064,28.906436946637946,False,-1.5011,1.9357,1,1,1,100.0,25.949367088607595,25.949367088607595,11.19656681252104,3.80343318747896,历史1/1次成功; 当前距低点3.80%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
12,72.45006038601481,68.89016654808022,688278,特宝生物,bottom_area,2023-08-02,34.33,2023-07-28,32.76,4.792429792429793,8.05860805860806,28.205128205128215,True,-1.4072,0.4657,1,1,1,100.0,17.0263788968825,17.0263788968825,10.207570207570207,4.792429792429793,历史1/1次成功; 当前距低点4.79%; 最新日涨幅-1.41%; 状态bottom_area; 底部已确认
13,69.85497925940236,61.75724835336158,002829,星网宇达,bottom_area,2023-08-02,30.75,2023-08-02,30.48,0.885826771653542,2.1981627296587867,31.918695555059195,False,-0.4854,2.0915,2,3,2,66.66666666666666,18.711111430456917,21.628131021194598,14.114173228346457,0.885826771653542,历史2/3次成功; 当前距低点0.89%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
14,61.49929876618662,58.65085308005976,000037,深南电A,bottom_area,2023-08-02,10.81,2023-07-31,10.3,4.9514563106796095,11.359223300970871,30.311231393775362,True,-5.0088,10.7605,3,6,3,50.0,32.47405090542621,45.16765285996055,10.04854368932039,4.9514563106796095,历史3/6次成功; 当前距低点4.95%; 最新日涨幅-5.01%; 状态bottom_area; 底部已确认
15,61.2295378688735,54.98308691411265,603033,三维股份,bottom_area,2023-08-02,15.36,2023-08-01,15.1,1.7218543046357602,2.7814569536423837,29.995363931386187,False,-0.1949,0.1386,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,13.278145695364241,1.7218543046357602,历史1/3次成功; 当前距低点1.72%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
16,58.89436582140005,54.61610431659973,002403,爱仕达,bottom_area,2023-08-02,8.7,2023-07-28,8.41,3.448275862068955,3.8049940546967926,32.61217948717949,False,1.7544,2.1504,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,11.551724137931044,3.448275862068955,历史1/3次成功; 当前距低点3.45%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
17,58.77914488357438,55.34526096356959,688027,国盾量子,bottom_area,2023-08-02,142.51,2023-07-28,136.68,4.265437518290886,7.952882645595555,27.096223597183695,True,1.8656,1.3938,1,3,1,33.33333333333333,26.382393397524062,26.382393397524062,10.734562481709114,4.265437518290886,历史1/3次成功; 当前距低点4.27%; 最新日涨幅1.87%; 状态bottom_area; 底部已确认
