rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.30224676953662,73.82222972972974,603682,锦和商管,bottom_area,2025-01-23,5.71,2025-01-23,5.7,0.1754385964912243,5.438596491228063,27.016645326504474,False,-2.3932,5.9325,1,1,1,100.0,35.97972972972974,35.97972972972974,19.824561403508778,0.1754385964912243,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
2,83.98420198438471,70.68734015974147,002246,北化股份,bottom_area,2025-01-23,9.25,2025-01-06,9.2,0.543478260869573,6.521739130434799,27.38752959747435,False,-0.108,1.6341,3,4,3,75.0,27.803605346903716,31.992687385740403,19.456521739130427,0.543478260869573,历史3/4次成功; 当前距低点0.54%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
3,78.14139323953606,69.37305208394454,600325,华发股份,bottom_area,2025-01-23,5.38,2025-01-13,5.2,3.4615384615384563,5.961538461538454,29.539295392953925,False,2.8681,2.5817,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,16.538461538461547,3.4615384615384563,历史2/3次成功; 当前距低点3.46%; 最新日涨幅2.87%; 状态bottom_area; 底部未确认
4,75.67526638807595,68.91170969571843,300358,楚天科技,bottom_area,2025-01-23,6.48,2025-01-13,6.18,4.854368932038847,9.223300970873792,28.637413394919175,True,0.7776,1.5816,2,3,2,66.66666666666666,34.317226850001745,38.205499276411004,15.145631067961155,4.854368932038847,历史2/3次成功; 当前距低点4.85%; 最新日涨幅0.78%; 状态bottom_area; 底部已确认
5,73.99646731109124,62.17603465527872,600202,哈空调,bottom_area,2025-01-23,4.45,2025-01-22,4.43,0.45146726862303527,3.160270880361187,29.006410256410263,False,0.2252,5.533,2,5,2,40.0,34.27623670827554,41.50485436893204,19.548532731376966,0.45146726862303527,历史2/5次成功; 当前距低点0.45%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
6,72.28942497992102,65.91058962688655,000155,川能动力,bottom_area,2025-01-23,10.87,2025-01-13,10.36,4.922779922779921,7.046332046332051,28.05555555555556,True,-1.0018,1.1061,2,3,2,66.66666666666666,41.493877334183324,45.280898876404486,15.07722007722008,4.922779922779921,历史2/3次成功; 当前距低点4.92%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
7,70.36374901094236,60.24013983781158,300682,朗新科技,bottom_area,2025-01-23,10.33,2025-01-13,10.18,1.4734774066797678,7.26915520628684,29.256428075052128,True,-0.0967,1.2809,1,2,1,50.0,21.503593145384194,21.503593145384194,18.526522593320234,1.4734774066797678,历史1/2次成功; 当前距低点1.47%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
8,70.21327809483553,58.51106507902961,300347,泰格医药,bottom_area,2025-01-23,48.41,2025-01-23,48.41,0.0,3.2637884734559086,29.942112879884224,False,-1.002,1.5472,2,4,2,50.0,22.102500424890394,23.423271500843175,20.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
9,64.1479020820981,54.38800868486351,600129,太极集团,bottom_area,2025-01-23,20.34,2025-01-22,20.15,0.9429280397022396,3.225806451612914,28.189593727726304,False,0.0,2.541,1,3,1,33.33333333333333,29.540598290598297,29.540598290598297,19.057071960297762,0.9429280397022396,历史1/3次成功; 当前距低点0.94%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,62.67217855689599,53.46963854705431,000421,南京公用,bottom_area,2025-01-23,6.31,2025-01-22,6.23,1.2841091492776755,4.012841091492777,27.726218097447784,False,-0.6299,4.2477,1,6,1,16.666666666666664,30.864197530864196,30.864197530864196,18.715890850722325,1.2841091492776755,历史1/6次成功; 当前距低点1.28%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
11,62.67055205443699,55.9851463051744,000629,钒钛股份,bottom_area,2025-01-23,2.73,2025-01-13,2.63,3.802281368821296,7.604562737642592,27.348066298342545,True,-0.365,0.6632,1,2,1,50.0,27.173913043478265,27.173913043478265,16.197718631178702,3.802281368821296,历史1/2次成功; 当前距低点3.80%; 最新日涨幅-0.36%; 状态bottom_area; 底部已确认
12,61.17291521758873,51.232664542723384,603177,德创环保,bottom_area,2025-01-23,7.36,2025-01-23,7.34,0.27247956403270385,5.177111716621252,32.28782287822878,False,-4.0417,8.8352,1,3,1,33.33333333333333,37.04615384615384,37.04615384615384,19.727520435967296,0.27247956403270385,历史1/3次成功; 当前距低点0.27%; 最新日涨幅-4.04%; 状态bottom_area; 底部未确认
13,60.48938407120041,54.99034915563672,002183,怡亚通,bottom_area,2025-01-23,4.18,2025-01-13,3.99,4.761904761904749,10.526315789473681,28.62254025044722,True,0.2398,1.2887,1,4,1,25.0,31.948881789137378,31.948881789137378,15.238095238095251,4.761904761904749,历史1/4次成功; 当前距低点4.76%; 最新日涨幅0.24%; 状态bottom_area; 底部已确认
14,59.94666340613717,54.001325199118796,002571,德力股份,bottom_area,2025-01-23,4.16,2025-01-22,3.99,4.2606516290726795,6.265664160401002,28.749999999999993,False,1.9608,7.1848,1,3,1,33.33333333333333,28.291814946619215,28.291814946619215,15.739348370927322,4.2606516290726795,历史1/3次成功; 当前距低点4.26%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
15,59.45394643957009,52.67190559175259,688117,圣诺生物,bottom_area,2025-01-23,23.47,2025-01-13,22.71,3.3465433729634433,8.322324966974904,27.629063097514333,True,-0.803,1.0675,1,4,1,25.0,24.6076585059636,24.6076585059636,16.653456627036558,3.3465433729634433,历史1/4次成功; 当前距低点3.35%; 最新日涨幅-0.80%; 状态bottom_area; 底部已确认
16,57.740451348397244,48.42253019117002,300601,康泰生物,bottom_area,2025-01-23,14.53,2025-01-13,14.48,0.34530386740330754,6.21546961325967,28.775209050664035,False,-1.0892,1.5313,1,5,1,20.0,24.837758112094402,24.837758112094402,19.654696132596694,0.34530386740330754,历史1/5次成功; 当前距低点0.35%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
17,56.99524880369462,51.81611748233878,000062,深圳华强,bottom_area,2025-01-23,20.89,2025-01-13,19.94,4.764292878635904,10.180541624874612,28.324946081955428,True,-0.8543,1.2673,1,4,1,25.0,37.385512073272274,37.385512073272274,15.235707121364097,4.764292878635904,历史1/4次成功; 当前距低点4.76%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
18,56.16407055765817,47.326069606960694,600130,波导股份,bottom_area,2025-01-23,3.32,2025-01-23,3.3,0.6060606060606066,6.666666666666673,30.232558139534895,False,-7.5209,16.1519,1,3,1,33.33333333333333,20.13201320132014,20.13201320132014,19.393939393939394,0.6060606060606066,历史1/3次成功; 当前距低点0.61%; 最新日涨幅-7.52%; 状态bottom_area; 底部未确认
