rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.56897067184954,86.7922355031556,002693,双成药业,confirmed_rebound,2024-11-18,22.53,2024-11-15,22.01,2.3625624716038143,9.76828714220808,28.49252761533463,False,1.3951,11.6978,6,6,6,100.0,30.424074937700524,102.85714285714285,5.637437528396186,2.3625624716038143,历史6/6次成功; 当前距低点2.36%; 最新日涨幅1.40%; 状态confirmed_rebound; 底部未确认
2,85.22194072611842,80.65453769273222,000572,海马汽车,confirmed_rebound,2024-11-18,4.45,2024-11-18,4.4,1.1363636363636322,8.636363636363633,27.39273927392738,False,-4.9145,4.5953,4,4,4,100.0,15.083047223877905,22.92191435768261,6.863636363636368,1.1363636363636322,历史4/4次成功; 当前距低点1.14%; 最新日涨幅-4.91%; 状态confirmed_rebound; 底部未确认
3,83.27586724940076,79.84536014924458,300399,天利科技,confirmed_rebound,2024-11-18,20.78,2024-11-18,20.41,1.812836844683983,19.990200881920618,28.461268839817738,False,-16.3109,12.8157,4,4,4,100.0,19.024882554430377,31.95098963242225,6.187163155316017,1.812836844683983,历史4/4次成功; 当前距低点1.81%; 最新日涨幅-16.31%; 状态confirmed_rebound; 底部未确认
4,82.97396517529427,81.4784944170191,300757,罗博特科,bottom_area,2024-11-18,190.3,2024-11-18,184.66,3.0542618867107194,5.929816960901125,27.584313725490194,False,-1.6893,5.1094,6,6,6,100.0,22.592535046879277,74.11052233156698,4.945738113289281,3.0542618867107194,历史6/6次成功; 当前距低点3.05%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
5,82.74556191241446,79.27939309790155,002298,中电鑫龙,confirmed_rebound,2024-11-18,5.16,2024-11-18,5.07,1.7751479289940801,8.086785009861936,27.1551724137931,False,-4.6211,7.5339,4,4,4,100.0,15.520055784989465,23.734729493891784,6.22485207100592,1.7751479289940801,历史4/4次成功; 当前距低点1.78%; 最新日涨幅-4.62%; 状态confirmed_rebound; 底部未确认
6,82.33238655605363,77.81901058032878,300581,晨曦航空,bottom_area,2024-11-18,12.29,2024-11-18,12.16,1.069078947368413,7.319078947368425,27.402985074626862,False,-3.3805,4.2997,2,2,2,100.0,22.131777313595503,32.54926891290528,6.930921052631588,1.069078947368413,历史2/2次成功; 当前距低点1.07%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
7,80.96847298880728,76.73344208598267,301378,通达海,confirmed_rebound,2024-11-18,31.86,2024-11-18,31.48,1.2071156289707718,12.770012706480301,27.11275758277378,False,-10.1016,10.6052,3,3,3,100.0,11.535837204494715,16.487324457413823,6.792884371029229,1.2071156289707718,历史3/3次成功; 当前距低点1.21%; 最新日涨幅-10.10%; 状态confirmed_rebound; 底部未确认
8,80.70508498795112,76.36099294486544,600318,新力金融,bottom_area,2024-11-18,9.0,2024-11-18,8.9,1.1235955056179736,6.853932584269656,27.049180327868843,False,-4.1534,8.7577,1,1,1,100.0,31.627906976744185,31.627906976744185,6.876404494382027,1.1235955056179736,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-4.15%; 状态bottom_area; 底部未确认
9,80.453502690779,77.22479388766547,688141,杰华特,bottom_area,2024-11-18,22.33,2024-11-18,21.92,1.8704379562043638,7.709854014598529,27.079174983366595,False,-5.1805,5.7827,3,3,3,100.0,12.093507676405405,14.184814596821663,6.129562043795636,1.8704379562043638,历史3/3次成功; 当前距低点1.87%; 最新日涨幅-5.18%; 状态bottom_area; 底部未确认
10,80.38793988480411,78.18113344923422,688195,腾景科技,confirmed_rebound,2024-11-18,38.97,2024-11-18,38.0,2.5526315789473655,9.210526315789473,27.105313638979478,False,-4.4619,5.4901,8,8,8,100.0,19.14587875932377,38.77410468319559,5.4473684210526345,2.5526315789473655,历史8/8次成功; 当前距低点2.55%; 最新日涨幅-4.46%; 状态confirmed_rebound; 底部未确认
11,80.3295949992468,74.37925462893222,605218,伟时电子,confirmed_rebound,2024-11-18,24.75,2024-11-18,24.75,0.0,9.4949494949495,29.886685552407926,False,-10.0,6.3101,4,4,4,100.0,19.512121660925835,42.36874236874236,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态confirmed_rebound; 底部未确认
12,80.19140089693666,76.34986066355015,002428,云南锗业,confirmed_rebound,2024-11-18,20.32,2024-11-18,20.03,1.4478282576135753,9.885172241637544,32.33108108108108,False,-7.4681,11.3038,2,2,2,100.0,29.09090909090909,49.99999999999999,6.552171742386426,1.4478282576135753,历史2/2次成功; 当前距低点1.45%; 最新日涨幅-7.47%; 状态confirmed_rebound; 底部未确认
13,79.74239001342497,77.08237377702794,688010,福光股份,confirmed_rebound,2024-11-18,29.72,2024-11-18,29.07,2.235982112143098,13.96628826969385,30.62052505966587,False,-9.8027,6.0891,3,3,3,100.0,26.0237257672806,42.08955223880597,5.764017887856903,2.235982112143098,历史3/3次成功; 当前距低点2.24%; 最新日涨幅-9.80%; 状态confirmed_rebound; 底部未确认
14,79.36812809814556,74.58156030816643,688143,长盈通,confirmed_rebound,2024-11-18,22.35,2024-11-18,22.18,0.7664562669071312,10.054102795311092,32.990936555891246,False,-7.0686,6.536,4,4,4,100.0,17.736992455455304,25.949367088607595,7.233543733092869,0.7664562669071312,历史4/4次成功; 当前距低点0.77%; 最新日涨幅-7.07%; 状态confirmed_rebound; 底部未确认
15,79.25426817773938,74.25829711782458,000670,盈方微,confirmed_rebound,2024-11-18,6.54,2024-11-18,6.5,0.6153846153846159,13.076923076923071,27.697441601779754,False,-7.3654,9.5743,4,4,4,100.0,14.147172262911367,23.28519855595668,7.384615384615384,0.6153846153846159,历史4/4次成功; 当前距低点0.62%; 最新日涨幅-7.37%; 状态confirmed_rebound; 底部未确认
16,79.14397930649567,74.98793174604329,301321,翰博高新,confirmed_rebound,2024-11-18,16.08,2024-11-18,15.89,1.1957205789804766,10.509754562617987,29.752431476569406,False,-6.5116,4.8573,2,2,2,100.0,18.67835841999342,19.679430097951904,6.804279421019524,1.1957205789804766,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-6.51%; 状态confirmed_rebound; 底部未确认
17,78.77943858581747,75.4378085339321,688168,安博通,confirmed_rebound,2024-11-18,38.45,2024-11-18,37.79,1.7464937814236667,13.760254035459123,30.93932748538012,False,-10.2265,4.9174,3,3,3,100.0,11.181797610634721,12.015306122448962,6.253506218576334,1.7464937814236667,历史3/3次成功; 当前距低点1.75%; 最新日涨幅-10.23%; 状态confirmed_rebound; 底部未确认
18,78.28118915313004,73.38345570172156,300712,永福股份,bottom_area,2024-11-18,26.67,2024-11-18,26.5,0.6415094339622706,7.471698113207549,28.37837837837838,False,-6.0585,5.1905,3,3,3,100.0,16.215576404061963,25.401730531520393,7.35849056603773,0.6415094339622706,历史3/3次成功; 当前距低点0.64%; 最新日涨幅-6.06%; 状态bottom_area; 底部未确认
19,78.2389760533456,73.65464220583043,603297,永新光学,bottom_area,2024-11-18,85.5,2024-11-18,84.77,0.8611537100389336,6.3819747552200194,28.161016949152547,False,-4.799,2.459,3,3,3,100.0,20.36598206838279,37.91980808773132,7.138846289961067,0.8611537100389336,历史3/3次成功; 当前距低点0.86%; 最新日涨幅-4.80%; 状态bottom_area; 底部未确认
20,77.97229715130806,73.59157058721851,000566,海南海药,bottom_area,2024-11-18,5.08,2024-11-18,5.03,0.9940357852882667,7.355864811133203,29.254571026722925,False,-3.9698,4.429,3,3,3,100.0,21.655764396106257,37.53581661891116,7.005964214711733,0.9940357852882667,历史3/3次成功; 当前距低点0.99%; 最新日涨幅-3.97%; 状态bottom_area; 底部未确认
