rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.12066430988564,81.78604401599326,688603,天承科技,bottom_area,2025-10-20,66.2,2025-10-17,64.72,2.2867737948084117,6.242274412855387,27.976852882261294,False,1.5182,3.7905,1,1,1,100.0,42.364990689013034,42.364990689013034,17.71322620519159,2.2867737948084117,历史1/1次成功; 当前距低点2.29%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
2,92.74752424424854,81.8569860943099,002269,美邦服饰,bottom_area,2025-10-20,2.3,2025-10-13,2.23,3.1390134529147913,8.520179372197308,30.529595015576323,True,1.3216,4.3653,2,2,2,100.0,27.33299337072922,31.08108108108108,16.86098654708521,3.1390134529147913,历史2/2次成功; 当前距低点3.14%; 最新日涨幅1.32%; 状态bottom_area; 底部已确认
3,92.02654531766119,81.61854237288136,688621,阳光诺和,bottom_area,2025-10-20,61.01,2025-10-14,59.0,3.4067796610169463,8.322033898305078,31.355439208842352,True,1.5141,3.0866,1,1,1,100.0,46.0,46.0,16.593220338983055,3.4067796610169463,历史1/1次成功; 当前距低点3.41%; 最新日涨幅1.51%; 状态bottom_area; 底部已确认
4,91.88321490024036,80.16049578046552,300056,中创环保,bottom_area,2025-10-20,10.64,2025-10-15,10.38,2.5048169556840056,8.188824662813097,29.001367989056074,True,0.0,1.8811,1,1,1,100.0,27.10472279260781,27.10472279260781,17.495183044315997,2.5048169556840056,历史1/1次成功; 当前距低点2.50%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
5,91.81926715285152,79.67678804858744,300049,福瑞医科,bottom_area,2025-10-20,66.55,2025-10-13,65.11,2.211641836891411,8.692981108892637,28.19805910895457,True,0.0601,1.804,1,1,1,100.0,20.910384068278802,20.910384068278802,17.78835816310859,2.211641836891411,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.06%; 状态bottom_area; 底部已确认
6,91.36976169496599,80.5265788062091,688039,当虹科技,bottom_area,2025-10-20,50.5,2025-10-17,49.0,3.061224489795918,6.448979591836728,30.956742285472732,False,3.0612,3.5749,1,1,1,100.0,45.086938940558035,45.086938940558035,16.93877551020408,3.061224489795918,历史1/1次成功; 当前距低点3.06%; 最新日涨幅3.06%; 状态bottom_area; 底部未确认
7,85.83567971928629,77.33783561333873,300732,设研院,bottom_area,2025-10-20,8.3,2025-10-13,7.96,4.271356783919607,7.663316582914577,28.673835125448026,True,1.3431,2.4472,1,1,1,100.0,33.58348968105066,33.58348968105066,15.728643216080393,4.271356783919607,历史1/1次成功; 当前距低点4.27%; 最新日涨幅1.34%; 状态bottom_area; 底部已确认
8,84.14620495894175,74.5864530427556,688519,南亚新材,bottom_area,2025-10-20,65.85,2025-10-17,63.7,3.3751962323390763,19.466248037676596,28.103837471783287,True,-0.9029,1.9872,1,1,1,100.0,30.27903469079939,30.27903469079939,16.624803767660925,3.3751962323390763,历史1/1次成功; 当前距低点3.38%; 最新日涨幅-0.90%; 状态bottom_area; 底部已确认
9,83.25608223260791,75.43019907824048,688662,富信科技,bottom_area,2025-10-20,43.2,2025-10-17,41.31,4.575163398692812,7.21374969740982,28.529411764705877,True,4.3478,2.7262,1,1,1,100.0,27.051460361613344,27.051460361613344,15.42483660130719,4.575163398692812,历史1/1次成功; 当前距低点4.58%; 最新日涨幅4.35%; 状态bottom_area; 底部已确认
10,83.00452810117304,74.71079086776292,301137,哈焊华通,bottom_area,2025-10-20,44.5,2025-10-20,42.7,4.215456674473061,4.777517564402808,27.627118644067792,False,3.5124,7.5088,1,1,1,100.0,27.967914438502678,27.967914438502678,15.78454332552694,4.215456674473061,历史1/1次成功; 当前距低点4.22%; 最新日涨幅3.51%; 状态bottom_area; 底部未确认
11,68.08636048613867,59.894627489550054,600706,曲江文旅,bottom_area,2025-10-20,10.09,2025-10-13,9.8,2.959183673469379,4.59183673469387,31.420573827851634,False,2.4365,4.1021,1,2,1,50.0,24.578313253012034,24.578313253012034,17.04081632653062,2.959183673469379,历史1/2次成功; 当前距低点2.96%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
12,65.65304558696329,58.73702331095267,300757,罗博特科,bottom_area,2025-10-20,215.04,2025-10-17,207.0,3.8840579710144887,7.8164251207729505,31.606423048965844,True,3.2605,3.9158,1,2,1,50.0,20.498255294976875,20.498255294976875,16.115942028985515,3.8840579710144887,历史1/2次成功; 当前距低点3.88%; 最新日涨幅3.26%; 状态bottom_area; 底部已确认
