rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.08544542175302,84.74078428416891,002690,美亚光电,bottom_area,2023-05-15,24.12,2023-05-15,23.65,1.9873150105708348,2.0718816067653365,28.765060240963862,False,1.1745,0.6025,3,3,3,100.0,21.246572625109707,27.355278093076052,6.012684989429165,1.9873150105708348,历史3/3次成功; 当前距低点1.99%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
2,85.61959858266286,83.78373584239976,601369,陕鼓动力,bottom_area,2023-05-15,9.31,2023-05-10,9.05,2.872928176795577,4.972375690607726,32.31114435302916,False,0.9761,0.5297,3,3,3,100.0,26.957054223084292,55.572755417956664,5.127071823204423,2.872928176795577,历史3/3次成功; 当前距低点2.87%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
3,85.4840473628397,82.90899162301886,002724,海洋王,confirmed_rebound,2023-05-15,8.5,2023-04-25,8.3,2.4096385542168584,8.192771084337345,28.999144568006834,True,0.9501,1.483,3,3,3,100.0,17.596599605555337,25.204081632653047,5.590361445783142,2.4096385542168584,历史3/3次成功; 当前距低点2.41%; 最新日涨幅0.95%; 状态confirmed_rebound; 底部已确认
4,85.36785800523957,81.87179062780365,002317,众生药业,bottom_area,2023-05-15,16.73,2023-05-15,16.43,1.8259281801582514,3.3475349969567905,27.938596491228076,False,-1.1813,3.8219,3,3,3,100.0,26.316703648196015,58.31999999999999,6.174071819841749,1.8259281801582514,历史3/3次成功; 当前距低点1.83%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
5,85.03300866401652,81.75155261480886,600203,福日电子,bottom_area,2023-05-15,5.74,2023-05-15,5.63,1.9538188277087092,2.131438721136769,28.824273072060684,False,0.3497,1.0997,2,2,2,100.0,21.43150291389641,24.045801526717554,6.046181172291291,1.9538188277087092,历史2/2次成功; 当前距低点1.95%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
6,84.73377073765971,82.33480480585804,688206,概伦电子,bottom_area,2023-05-15,26.99,2023-05-15,26.33,2.506646410938094,2.506646410938094,28.6449864498645,False,0.9727,1.2235,2,2,2,100.0,31.34386356342422,39.570720968629594,5.493353589061906,2.506646410938094,历史2/2次成功; 当前距低点2.51%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
7,83.8179961145646,84.02769088683117,688075,安旭生物,bottom_area,2023-05-15,67.32,2023-05-10,64.65,4.129930394431535,4.94972931167825,30.37906525953047,False,0.8086,1.3848,5,5,5,100.0,27.010388097500325,40.134529147982065,3.870069605568465,4.129930394431535,历史5/5次成功; 当前距低点4.13%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
8,83.78799401092589,82.04996896145951,002309,中利集团,confirmed_rebound,2023-05-15,3.89,2023-05-10,3.78,2.9100529100529187,8.730158730158744,31.021897810218984,True,0.5168,0.7448,3,3,3,100.0,19.11230965795784,30.136986301369873,5.089947089947082,2.9100529100529187,历史3/3次成功; 当前距低点2.91%; 最新日涨幅0.52%; 状态confirmed_rebound; 底部已确认
9,83.49190587854517,80.56830638925385,002405,四维图新,bottom_area,2023-05-15,11.42,2023-05-15,11.18,2.146690518783544,2.3255813953488356,27.496757457846954,False,1.0619,0.8407,2,2,2,100.0,17.434197699356595,23.478260869565215,5.853309481216456,2.146690518783544,历史2/2次成功; 当前距低点2.15%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
10,83.30792835103546,81.39465160226132,605305,中际联合,bottom_area,2023-05-15,32.4,2023-05-12,31.52,2.7918781725888295,3.648477157360413,32.64957264957265,False,2.7919,2.0367,3,3,3,100.0,13.118999117009956,15.395207931699245,5.20812182741117,2.7918781725888295,历史3/3次成功; 当前距低点2.79%; 最新日涨幅2.79%; 状态bottom_area; 底部未确认
11,83.27977054573572,80.5374639670634,000059,华锦股份,bottom_area,2023-05-15,6.79,2023-05-15,6.64,2.2590361445783187,2.40963855421687,30.543933054393314,False,1.3433,0.9186,2,2,2,100.0,18.645518154311638,25.41603630862328,5.740963855421681,2.2590361445783187,历史2/2次成功; 当前距低点2.26%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
