rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
75,74.85412677709665,75.37941889483066,300365,恒华科技,bottom_area,2024-01-24,5.74,2024-01-23,5.5,4.363636363636368,4.545454545454546,28.84864165588616,False,1.773,2.4388,2,2,2,100.0,16.712418300653603,19.111111111111114,3.6363636363636327,4.363636363636368,历史2/2次成功; 当前距低点4.36%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
76,74.83600859179812,72.69095415570985,001201,东瑞股份,bottom_area,2024-01-24,18.95,2024-01-24,18.49,2.4878312601406214,5.246078961600879,29.2113323124043,False,-1.4048,2.0,1,1,1,100.0,18.4043517679057,18.4043517679057,5.512168739859378,2.4878312601406214,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
77,74.73454557165309,74.72290584223121,688337,普源精电,bottom_area,2024-01-24,35.95,2024-01-24,34.57,3.9919004917558647,6.7399479317327105,31.787687450670877,False,-0.5257,1.2823,2,2,2,100.0,31.09913421201392,33.36842105263158,4.008099508244135,3.9919004917558647,历史2/2次成功; 当前距低点3.99%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
78,74.65754939893587,74.69311755015022,688296,和达科技,bottom_area,2024-01-24,13.44,2024-01-24,12.92,4.024767801857582,5.26315789473684,29.244249726177447,False,0.0745,3.3028,1,1,1,100.0,25.535420098846778,25.535420098846778,3.9752321981424186,4.024767801857582,历史1/1次成功; 当前距低点4.02%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
79,74.58627912121608,74.93712980529176,002467,二六三,bottom_area,2024-01-24,3.93,2024-01-23,3.77,4.244031830238731,4.509283819628646,27.220077220077215,False,1.5504,1.5568,2,2,2,100.0,12.868399882989609,13.91509433962264,3.7559681697612692,4.244031830238731,历史2/2次成功; 当前距低点4.24%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
80,74.52118957294195,75.13461334804303,688196,卓越新能,bottom_area,2024-01-24,30.67,2024-01-24,29.37,4.426285325161732,5.37963908750425,31.31431244153414,False,0.0,0.3259,2,2,2,100.0,16.16421445920315,19.41979522184301,3.5737146748382678,4.426285325161732,历史2/2次成功; 当前距低点4.43%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
81,74.51690277176161,75.01701621318281,002655,共达电声,bottom_area,2024-01-24,10.08,2024-01-24,9.66,4.347826086956521,5.175983436853001,30.20231213872832,False,1.3065,1.8705,2,2,2,100.0,14.570213394858492,19.91657977059437,3.6521739130434794,4.347826086956521,历史2/2次成功; 当前距低点4.35%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
82,74.44770164947195,74.94221429683522,300463,迈克生物,bottom_area,2024-01-24,12.73,2024-01-23,12.2,4.344262295081977,4.83606557377049,29.804372842347526,False,1.2729,0.9811,2,2,2,100.0,14.12436736355977,14.159515396264513,3.6557377049180233,4.344262295081977,历史2/2次成功; 当前距低点4.34%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
83,74.30214119048355,74.63095001373247,300512,中亚股份,bottom_area,2024-01-24,6.9,2024-01-23,6.62,4.229607250755291,5.740181268882173,27.808069792802613,False,2.3739,1.0832,2,2,2,100.0,11.04545454545454,12.999999999999995,3.7703927492447096,4.229607250755291,历史2/2次成功; 当前距低点4.23%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
84,74.27659187419712,75.46380487133615,002347,泰尔股份,bottom_area,2024-01-24,4.78,2024-01-24,4.56,4.8245614035087865,4.8245614035087865,32.544378698224854,False,1.7021,8.3135,2,2,2,100.0,22.816155222237516,29.585798816568047,3.175438596491214,4.8245614035087865,历史2/2次成功; 当前距低点4.82%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
85,74.21666102360909,72.22720139609159,300633,开立医疗,bottom_area,2024-01-24,37.67,2024-01-24,36.72,2.5871459694989185,6.481481481481488,29.78967495219885,False,-2.7118,0.7247,1,1,1,100.0,17.12846347607052,17.12846347607052,5.412854030501082,2.5871459694989185,历史1/1次成功; 当前距低点2.59%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
86,74.17550858996873,74.77415651136707,688302,海创药业,confirmed_rebound,2024-01-24,39.47,2024-01-24,37.8,4.417989417989423,8.174603174603185,29.054054054054063,False,-2.9506,0.5376,3,3,3,100.0,30.14608808808033,40.24920312952768,3.5820105820105774,4.417989417989423,历史3/3次成功; 当前距低点4.42%; 最新日涨幅-2.95%; 状态confirmed_rebound; 底部未确认
87,74.09906306643747,72.86586744697388,688234,天岳先进,bottom_area,2024-01-24,55.4,2024-01-24,53.72,3.127326880119136,6.664184661206251,29.960886571056065,False,-1.6859,1.0513,2,2,2,100.0,10.517057707771569,10.647803425167522,4.872673119880864,3.127326880119136,历史2/2次成功; 当前距低点3.13%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
88,74.08496211026487,74.53967033891182,002399,海普瑞,bottom_area,2024-01-24,9.18,2024-01-24,8.8,4.318181818181807,4.999999999999994,32.15111796453354,False,0.0,0.5995,1,1,1,100.0,28.307123034227555,28.307123034227555,3.681818181818193,4.318181818181807,历史1/1次成功; 当前距低点4.32%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
89,74.07434910337406,73.96270728106302,300410,正业科技,bottom_area,2024-01-24,6.89,2024-01-24,6.63,3.9215686274509776,5.279034690799405,28.324324324324323,False,0.5839,1.345,1,1,1,100.0,20.34346103038308,20.34346103038308,4.078431372549023,3.9215686274509776,历史1/1次成功; 当前距低点3.92%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
90,74.01384399136649,74.79430631816474,300485,赛升药业,bottom_area,2024-01-24,8.97,2024-01-24,8.58,4.545454545454552,4.895104895104894,28.796680497925315,False,1.9318,1.4136,2,2,2,100.0,15.79539076237168,19.197952218430032,3.4545454545454484,4.545454545454552,历史2/2次成功; 当前距低点4.55%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
91,73.92875002633087,74.26770295259318,688155,先惠技术,bottom_area,2024-01-24,45.75,2024-01-24,43.89,4.237867395762131,5.969469127363858,29.607056936647957,False,-0.2399,0.4647,2,2,2,100.0,31.66688502650995,38.11460912628228,3.762132604237869,4.237867395762131,历史2/2次成功; 当前距低点4.24%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
92,73.71769934393669,72.98383760309848,688011,新光光电,bottom_area,2024-01-24,18.14,2024-01-24,17.53,3.4797490017113484,5.533371363377062,28.126281262812626,False,-1.6802,1.5246,2,2,2,100.0,15.471318962367542,18.487394957983174,4.520250998288652,3.4797490017113484,历史2/2次成功; 当前距低点3.48%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
93,73.66731458052772,72.94563189766409,603087,甘李药业,bottom_area,2024-01-24,40.35,2024-01-24,38.99,3.488073865093612,5.309053603488074,27.79629629629629,False,-0.8356,2.1006,2,2,2,100.0,15.367958656330744,17.002583979328158,4.511926134906388,3.488073865093612,历史2/2次成功; 当前距低点3.49%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
94,73.64867781731995,74.1648990354651,002799,环球印务,bottom_area,2024-01-24,8.85,2024-01-23,8.48,4.363207547169802,4.363207547169802,30.662305805396567,False,1.7241,1.9636,2,2,2,100.0,10.177485177485188,10.810810810810821,3.636792452830198,4.363207547169802,历史2/2次成功; 当前距低点4.36%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
95,73.42168745342119,74.31140220086006,002559,亚威股份,bottom_area,2024-01-24,8.82,2024-01-24,8.43,4.626334519572961,4.86358244365362,27.825342465753426,False,0.8,5.4804,2,2,2,100.0,14.19056400799139,19.640387275242045,3.37366548042704,4.626334519572961,历史2/2次成功; 当前距低点4.63%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
96,73.2708355643884,74.61809450104845,600071,凤凰光学,bottom_area,2024-01-24,16.97,2024-01-24,16.17,4.947433518862073,5.318491032776743,31.191489361702118,False,0.5928,2.0122,2,2,2,100.0,19.77549959168805,27.791986359761296,3.052566481137928,4.947433518862073,历史2/2次成功; 当前距低点4.95%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
97,73.2152612625476,72.85773993095512,301469,恒达新材,bottom_area,2024-01-24,28.53,2024-01-24,27.5,3.7454545454545496,4.9454545454545435,29.178470254957507,False,0.7415,4.2142,1,1,1,100.0,12.243958573072497,12.243958573072497,4.25454545454545,3.7454545454545496,历史1/1次成功; 当前距低点3.75%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
98,73.18081350735616,72.9406981655689,688110,东芯股份,bottom_area,2024-01-24,25.76,2024-01-24,24.81,3.829101168883527,6.972994760177349,28.23257159386752,False,-0.9612,2.0433,2,2,2,100.0,19.521767906577143,22.87272727272727,4.170898831116474,3.829101168883527,历史2/2次成功; 当前距低点3.83%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
99,73.01784098069258,74.16820497624246,603015,弘讯科技,bottom_area,2024-01-24,7.84,2024-01-24,7.48,4.812834224598923,5.882352941176464,28.283796740172573,False,0.5128,2.3111,2,2,2,100.0,15.70681187273115,23.318385650224208,3.187165775401077,4.812834224598923,历史2/2次成功; 当前距低点4.81%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
100,72.98685186613508,73.00563144978776,600360,华微电子,bottom_area,2024-01-24,6.22,2024-01-24,5.98,4.013377926421393,5.0167224080267525,32.73340832395951,False,0.161,1.5504,1,1,1,100.0,16.32329635499208,16.32329635499208,3.9866220735786073,4.013377926421393,历史1/1次成功; 当前距低点4.01%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
101,72.81863878434162,72.57782755926021,300375,鹏翎股份,bottom_area,2024-01-24,4.34,2024-01-24,4.18,3.827751196172252,4.545454545454556,32.36245954692557,False,1.6393,3.4007,1,1,1,100.0,11.74785100286532,11.74785100286532,4.172248803827748,3.827751196172252,历史1/1次成功; 当前距低点3.83%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
102,72.81687200015476,73.59536293348121,000021,深科技,bottom_area,2024-01-24,12.63,2024-01-23,12.08,4.552980132450337,5.463576158940398,32.13483146067416,False,0.8786,1.5185,1,1,1,100.0,26.108374384236456,26.108374384236456,3.4470198675496633,4.552980132450337,历史1/1次成功; 当前距低点4.55%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
103,72.62573366007673,73.19171528973372,002599,盛通股份,bottom_area,2024-01-24,5.69,2024-01-24,5.45,4.403669724770646,5.688073394495405,28.383705650459923,False,0.3527,4.101,1,1,1,100.0,22.107969151670947,22.107969151670947,3.5963302752293544,4.403669724770646,历史1/1次成功; 当前距低点4.40%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
104,72.60696270450921,73.94031260392421,002255,海陆重工,bottom_area,2024-01-24,4.88,2024-01-23,4.65,4.946236559139774,5.376344086021505,27.795031055900623,False,2.521,3.5801,1,1,1,100.0,32.783505154639194,32.783505154639194,3.0537634408602257,4.946236559139774,历史1/1次成功; 当前距低点4.95%; 最新日涨幅2.52%; 状态bottom_area; 底部未确认
105,72.56525829226383,70.59393043233348,603040,新坐标,bottom_area,2024-01-24,20.77,2024-01-24,20.25,2.567901234567899,6.123456790123449,32.27424749163879,False,-2.4425,2.2963,1,1,1,100.0,8.111533586818755,8.111533586818755,5.432098765432102,2.567901234567899,历史1/1次成功; 当前距低点2.57%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
106,72.32240915669624,72.08797671210402,301548,崇德科技,bottom_area,2024-01-24,47.97,2024-01-23,46.2,3.831168831168822,6.017316017316004,30.474040632054173,False,0.6504,4.1053,1,1,1,100.0,9.156137888004999,9.156137888004999,4.168831168831178,3.831168831168822,历史1/1次成功; 当前距低点3.83%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
107,72.26611101986327,72.46704660480086,300353,东土科技,bottom_area,2024-01-24,7.79,2024-01-24,7.48,4.144385026737963,6.684491978609625,31.814038286235185,False,-0.1282,2.291,2,2,2,100.0,20.840024009480672,21.377672209026137,3.8556149732620373,4.144385026737963,历史2/2次成功; 当前距低点4.14%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
