rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
17,81.58420312228391,75.34976217431222,600032,浙江新能,bottom_area,2023-10-24,9.27,2023-10-24,8.98,3.2293986636970953,3.563474387527843,32.784431137724546,False,2.8857,1.785,1,1,1,100.0,19.31608133086876,19.31608133086876,11.770601336302905,3.2293986636970953,历史1/1次成功; 当前距低点3.23%; 最新日涨幅2.89%; 状态bottom_area; 底部未确认
18,80.84419923000581,74.88984287062041,000006,深振业A,bottom_area,2023-10-24,4.27,2023-10-23,4.13,3.3898305084745686,4.1162227602905554,32.295081967213115,False,2.6442,1.0361,1,1,1,100.0,18.809980806142043,18.809980806142043,11.610169491525431,3.3898305084745686,历史1/1次成功; 当前距低点3.39%; 最新日涨幅2.64%; 状态bottom_area; 底部未确认
19,80.83859351232456,76.285943895186,300437,清水源,bottom_area,2023-10-24,12.14,2023-10-23,11.63,4.385210662080823,5.67497850386929,30.69129916567342,False,3.5836,1.879,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,10.614789337919177,4.385210662080823,历史5/6次成功; 当前距低点4.39%; 最新日涨幅3.58%; 状态bottom_area; 底部未确认
20,80.15179956191682,74.68387313589585,000524,岭南控股,bottom_area,2023-10-24,8.12,2023-10-23,7.83,3.703703703703693,3.9591315453384484,30.089285714285708,False,3.0457,0.8012,1,1,1,100.0,21.550094517958406,21.550094517958406,11.296296296296306,3.703703703703693,历史1/1次成功; 当前距低点3.70%; 最新日涨幅3.05%; 状态bottom_area; 底部未确认
21,79.42502148881205,71.86376156256136,603260,合盛硅业,bottom_area,2023-10-24,54.25,2023-10-23,53.12,2.1272590361445833,4.028614457831327,28.69798657718121,False,0.2773,0.2035,2,3,2,66.66666666666666,25.95293278658251,34.21399022188793,12.872740963855417,2.1272590361445833,历史2/3次成功; 当前距低点2.13%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
22,79.20968518508373,74.25653543477439,002703,浙江世宝,bottom_area,2023-10-24,13.68,2023-10-23,13.15,4.030418250950565,6.311787072243346,28.91891891891892,False,2.6257,5.2073,1,1,1,100.0,23.257467994310083,23.257467994310083,10.969581749049434,4.030418250950565,历史1/1次成功; 当前距低点4.03%; 最新日涨幅2.63%; 状态bottom_area; 底部未确认
23,78.92225520109182,72.9977509585617,300488,恒锋工具,bottom_area,2023-10-24,21.55,2023-10-23,20.86,3.307766059443918,5.417066155321184,27.31707317073171,False,2.0843,1.7855,2,3,2,66.66666666666666,46.520381222726634,65.52470248827983,11.692233940556083,3.307766059443918,历史2/3次成功; 当前距低点3.31%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
24,78.89127136787988,71.00272813510617,000928,中钢国际,bottom_area,2023-10-24,6.08,2023-10-23,5.97,1.8425460636515967,3.6850921273031934,31.06235565819862,False,1.3333,2.1941,2,3,2,66.66666666666666,17.833690825619026,18.798449612403097,13.157453936348404,1.8425460636515967,历史2/3次成功; 当前距低点1.84%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
25,78.12771041170113,70.64524175650881,603129,春风动力,bottom_area,2023-10-24,106.32,2023-10-23,104.14,2.0933358939888542,6.654503552909538,29.67314964883847,False,0.1507,0.7766,2,3,2,66.66666666666666,18.985918968477026,20.09633197480549,12.906664106011146,2.0933358939888542,历史2/3次成功; 当前距低点2.09%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
26,77.87543461574118,73.01503105590062,000965,天保基建,bottom_area,2023-10-24,3.35,2023-10-23,3.22,4.037267080745338,4.037267080745338,29.8474945533769,False,3.3951,1.9376,1,1,1,100.0,16.666666666666664,16.666666666666664,10.96273291925466,4.037267080745338,历史1/1次成功; 当前距低点4.04%; 最新日涨幅3.40%; 状态bottom_area; 底部未确认
