rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.44216649335844,78.76127526379335,603186,华正新材,bottom_area,2022-04-20,22.51,2022-04-20,22.15,1.625282167042903,4.108352144469527,27.018121911037902,False,0.3567,2.0449,1,1,1,100.0,17.994186046511643,17.994186046511643,6.374717832957097,1.625282167042903,历史1/1次成功; 当前距低点1.63%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
2,79.97153192920187,76.14264465511604,300386,飞天诚信,bottom_area,2022-04-20,11.2,2022-04-18,11.04,1.449275362318842,7.065217391304358,27.368421052631582,True,-1.9264,2.1772,1,1,1,100.0,15.037593984962406,15.037593984962406,6.550724637681158,1.449275362318842,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-1.93%; 状态bottom_area; 底部已确认
3,79.63354734216277,75.35865629420084,002530,金财互联,confirmed_rebound,2022-04-20,7.15,2022-04-18,7.07,1.1315417256011324,8.769448373408771,27.78345250255362,True,-2.3224,5.5141,1,1,1,100.0,17.142857142857135,17.142857142857135,6.868458274398867,1.1315417256011324,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-2.32%; 状态confirmed_rebound; 底部已确认
4,78.7818466421743,74.38035207420266,688062,迈威生物,bottom_area,2022-04-20,16.98,2022-04-18,16.81,1.0113027959547989,4.402141582391446,27.823100042936886,False,-1.5081,2.0465,1,1,1,100.0,9.387755102040819,9.387755102040819,6.9886972040452005,1.0113027959547989,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
5,78.63915995334382,74.42597991392574,300702,天宇股份,bottom_area,2022-04-20,34.68,2022-04-18,34.29,1.1373578302712177,7.057451151939347,32.01823949246629,True,-4.1724,0.7141,1,1,1,100.0,12.199762187871588,12.199762187871588,6.862642169728783,1.1373578302712177,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-4.17%; 状态bottom_area; 底部已确认
6,78.52440811559073,73.28644300565463,002603,以岭药业,confirmed_rebound,2022-04-20,29.27,2022-04-19,29.15,0.4116638078902264,16.295025728987994,27.10677669417355,True,-9.6884,10.4659,2,2,2,100.0,30.564712299163222,39.661898569570866,7.588336192109773,0.4116638078902264,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-9.69%; 状态confirmed_rebound; 底部已确认
7,78.00520648477301,74.81641387642478,002617,露笑科技,bottom_area,2022-04-20,9.46,2022-04-18,9.29,1.8299246501614825,7.5349838536060405,32.09064327485381,True,-2.8747,1.4488,1,1,1,100.0,12.573344509639565,12.573344509639565,6.170075349838518,1.8299246501614825,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-2.87%; 状态bottom_area; 底部已确认
8,77.91809217588022,73.7915479115479,002428,云南锗业,bottom_area,2022-04-20,11.23,2022-04-18,11.1,1.1711711711711783,5.135135135135139,27.922077922077925,False,-2.9386,1.1323,1,1,1,100.0,8.181818181818185,8.181818181818185,6.828828828828821,1.1711711711711783,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
9,77.72913474737423,74.75144942410768,002825,纳尔股份,bottom_area,2022-04-20,14.5,2022-04-20,14.22,1.969057665260192,6.39943741209564,32.70231897775674,False,-2.815,4.6809,1,1,1,100.0,23.123123123123136,23.123123123123136,6.030942334739809,1.969057665260192,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
10,77.66848782338991,72.85999009301433,600338,西藏珠峰,bottom_area,2022-04-20,22.28,2022-04-20,22.13,0.677812923633087,7.6818798011748735,27.442622950819672,False,-7.5135,4.249,2,2,2,100.0,30.512922359665453,31.213191990577155,7.322187076366913,0.677812923633087,历史2/2次成功; 当前距低点0.68%; 最新日涨幅-7.51%; 状态bottom_area; 底部未确认
11,77.52785243086574,74.71574064449062,002235,安妮股份,bottom_area,2022-04-20,4.91,2022-04-18,4.81,2.07900207900209,6.6528066528066585,28.101644245142015,False,-2.1912,6.0892,1,1,1,100.0,24.27884615384615,24.27884615384615,5.92099792099791,2.07900207900209,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
