rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.71330355073133,83.16223603656294,002358,森源电气,bottom_area,2025-02-05,4.75,2025-02-05,4.67,1.713062098501072,3.6402569593147733,27.14508580343214,False,0.211,5.3608,1,1,1,100.0,42.73127753303966,42.73127753303966,18.286937901498927,1.713062098501072,历史1/1次成功; 当前距低点1.71%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
2,88.52378934079097,77.44995174751743,002246,北化股份,bottom_area,2025-02-05,9.26,2025-02-05,9.02,2.660753880266078,2.660753880266078,28.808208366219418,False,2.3204,1.3206,3,4,3,75.0,27.803605346903716,31.992687385740403,17.33924611973392,2.660753880266078,历史3/4次成功; 当前距低点2.66%; 最新日涨幅2.32%; 状态bottom_area; 底部未确认
3,83.8641761759625,70.3017246438506,300502,新易盛,bottom_area,2025-02-05,102.51,2025-02-05,102.18,0.3229594832648251,15.482481894695626,29.08106607440311,False,-18.4941,8.4722,3,4,3,75.0,33.242324009109716,34.5909668057319,19.677040516735175,0.3229594832648251,历史3/4次成功; 当前距低点0.32%; 最新日涨幅-18.49%; 状态bottom_area; 底部未确认
4,83.27640065498662,72.78974279472905,600693,东百集团,bottom_area,2025-02-05,5.9,2025-02-05,5.75,2.6086956521739193,6.260869565217398,31.872037914691937,False,-4.065,9.906,1,1,1,100.0,30.632090761750412,30.632090761750412,17.391304347826082,2.6086956521739193,历史1/1次成功; 当前距低点2.61%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
5,81.24982757500436,71.1268982377907,600325,华发股份,bottom_area,2025-02-05,5.34,2025-01-13,5.2,2.6923076923076863,5.961538461538454,29.539295392953925,False,0.3759,0.9796,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,17.307692307692317,2.6923076923076863,历史2/3次成功; 当前距低点2.69%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
6,79.5530417436944,67.77338241856316,300422,博世科,bottom_area,2025-02-05,4.2,2025-02-05,4.15,1.2048192771084292,3.614457831325288,29.541595925297102,False,0.0,3.9007,1,2,1,50.0,45.4320987654321,45.4320987654321,18.795180722891573,1.2048192771084292,历史1/2次成功; 当前距低点1.20%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,79.33596180249792,69.71888561969637,002767,先锋电子,bottom_area,2025-02-05,14.18,2025-01-27,13.78,2.902757619738755,4.354136429608138,31.442786069651753,False,2.6792,6.7339,2,4,2,50.0,43.37189781021898,52.04379562043795,17.097242380261246,2.902757619738755,历史2/4次成功; 当前距低点2.90%; 最新日涨幅2.68%; 状态bottom_area; 底部未确认
8,72.1082725696673,64.17688097861118,300347,泰格医药,bottom_area,2025-02-05,49.52,2025-01-24,47.8,3.5983263598326487,4.393305439330547,30.824891461649784,False,1.0612,1.5272,2,4,2,50.0,22.102500424890394,23.423271500843175,16.401673640167353,3.5983263598326487,历史2/4次成功; 当前距低点3.60%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
9,70.9134225026657,60.3991644246237,605162,新中港,bottom_area,2025-02-05,6.79,2025-02-05,6.71,1.1922503725782425,1.7883755588673638,28.081457663451232,False,0.2954,1.8006,1,4,1,25.0,26.46502835538753,26.46502835538753,18.807749627421757,1.1922503725782425,历史1/4次成功; 当前距低点1.19%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
10,69.00842827041971,61.74581481034795,600202,哈空调,bottom_area,2025-02-05,4.54,2025-01-24,4.37,3.89016018306636,3.89016018306636,29.967948717948715,False,1.7937,3.2623,2,5,2,40.0,34.27623670827554,41.50485436893204,16.10983981693364,3.89016018306636,历史2/5次成功; 当前距低点3.89%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
11,66.13482485526367,56.611129013572366,300394,天孚通信,bottom_area,2025-02-05,83.79,2025-02-05,82.58,1.4652458222329958,12.981351416807943,31.183333333333334,False,-16.875,8.6553,1,2,1,50.0,21.300481119696745,21.300481119696745,18.534754177767006,1.4652458222329958,历史1/2次成功; 当前距低点1.47%; 最新日涨幅-16.88%; 状态bottom_area; 底部未确认
