rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.32378577836421,82.43540640935446,688358,祥生医疗,bottom_area,2024-10-17,23.03,2024-10-16,22.7,1.4537444933920787,4.5374449339207095,28.232690483717988,False,0.6996,0.8183,3,4,3,75.0,39.8115260983247,68.06588735387884,18.546255506607924,1.4537444933920787,历史3/4次成功; 当前距低点1.45%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
2,94.41094778974164,80.94086692261925,688349,三一重能,bottom_area,2024-10-17,25.55,2024-10-16,25.16,1.5500794912559641,4.29252782193958,27.325245522819174,False,0.0,1.6703,1,1,1,100.0,28.790581519800213,28.790581519800213,18.449920508744036,1.5500794912559641,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,92.45190554489302,81.53090651922336,300510,金冠股份,bottom_area,2024-10-17,4.33,2024-10-11,4.2,3.0952380952380927,8.809523809523812,27.835051546391753,True,-0.6881,2.9,3,3,3,100.0,30.849727829925854,40.000000000000014,16.90476190476191,3.0952380952380927,历史3/3次成功; 当前距低点3.10%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
4,87.4793140984487,74.0909495336044,688310,迈得医疗,bottom_area,2024-10-17,11.4,2024-10-16,11.3,0.8849557522123862,3.8938053097345082,28.25396825396825,False,0.0,0.9551,1,1,1,100.0,23.648648648648653,23.648648648648653,19.115044247787615,0.8849557522123862,历史1/1次成功; 当前距低点0.88%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,86.56711768024687,76.60161625928153,300763,锦浪科技,bottom_area,2024-10-17,71.44,2024-10-16,69.17,3.281769553274535,6.375596356802077,29.266796195930056,False,2.2178,4.1241,3,4,3,75.0,30.855112047029355,36.020348268440614,16.718230446725464,3.281769553274535,历史3/4次成功; 当前距低点3.28%; 最新日涨幅2.22%; 状态bottom_area; 底部未确认
6,85.80877881808115,72.1912987012987,300723,一品红,bottom_area,2024-10-17,15.48,2024-10-16,15.4,0.5194805194805199,3.441558441558437,27.76735459662289,False,-0.4502,0.966,1,1,1,100.0,31.428571428571427,31.428571428571427,19.480519480519483,0.5194805194805199,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
7,84.62607231881566,70.8382904892759,688226,威腾电气,bottom_area,2024-10-17,16.41,2024-10-16,16.37,0.24434941967012305,4.703726328649966,27.244444444444436,False,-1.8541,2.0871,1,1,1,100.0,20.78175895765472,20.78175895765472,19.755650580329878,0.24434941967012305,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
8,83.91302551041716,71.72299654020964,688236,春立医疗,bottom_area,2024-10-17,12.45,2024-10-16,12.28,1.384364820846905,3.583061889250825,29.18108419838524,False,-0.1604,3.0057,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,18.615635179153095,1.384364820846905,历史2/3次成功; 当前距低点1.38%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
9,82.81648532554911,73.0273765993796,300662,科锐国际,bottom_area,2024-10-17,18.68,2024-10-16,18.12,3.0905077262693084,6.125827814569533,31.519274376417233,False,-0.107,3.7185,1,1,1,100.0,27.600721587492483,27.600721587492483,16.90949227373069,3.0905077262693084,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
10,81.62816077491685,69.95541484483938,301499,维科精密,bottom_area,2024-10-17,25.89,2024-10-14,25.5,1.5294117647058845,8.78431372549019,29.166666666666668,True,-1.5589,10.2527,2,3,2,66.66666666666666,21.64412366506522,21.950454687989964,18.470588235294116,1.5294117647058845,历史2/3次成功; 当前距低点1.53%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
11,80.8110086070154,68.6594273127753,688315,诺禾致源,bottom_area,2024-10-17,11.47,2024-10-14,11.35,1.0572687224669692,8.01762114537445,27.70700636942675,True,-1.2059,0.8241,2,5,2,40.0,54.319731958499396,86.2826357231662,18.94273127753303,1.0572687224669692,历史2/5次成功; 当前距低点1.06%; 最新日涨幅-1.21%; 状态bottom_area; 底部已确认
12,75.07957736975382,62.65722985910433,688005,容百科技,bottom_area,2024-10-17,25.27,2024-10-17,25.25,0.07920792079207752,4.316831683168316,27.442528735632177,False,-1.7496,2.3894,2,4,2,50.0,33.10658020704442,38.76758854924795,19.920792079207924,0.07920792079207752,历史2/4次成功; 当前距低点0.08%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
13,73.71443019599975,63.35161616161618,000430,张家界,bottom_area,2024-10-17,6.04,2024-10-16,5.94,1.6835016835016776,4.377104377104373,28.433734939759038,False,-0.9836,4.2896,1,2,1,50.0,53.99999999999999,53.99999999999999,18.316498316498322,1.6835016835016776,历史1/2次成功; 当前距低点1.68%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
