rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.48352844643486,78.72042595910578,300072,海新能科,bottom_area,2025-12-03,4.52,2025-11-24,4.39,2.961275626423688,7.972665148063794,31.29890453834116,True,-1.9523,1.5829,1,1,1,100.0,47.4308300395257,47.4308300395257,17.038724373576315,2.961275626423688,历史1/1次成功; 当前距低点2.96%; 最新日涨幅-1.95%; 状态bottom_area; 底部已确认
2,89.26406690630309,75.88871824483788,600506,统一股份,bottom_area,2025-12-03,25.01,2025-12-03,24.74,1.0913500404203846,7.922392886014555,32.21917808219178,False,-4.2496,15.7194,1,1,1,100.0,28.69352869352869,28.69352869352869,18.908649959579616,1.0913500404203846,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-4.25%; 状态bottom_area; 底部未确认
3,88.44142680011349,73.90432432432434,000803,山高环能,bottom_area,2025-12-03,6.67,2025-12-03,6.66,0.15015015015014693,2.1021021021020974,30.5526590198123,False,-1.3314,2.147,1,1,1,100.0,36.1111111111111,36.1111111111111,19.849849849849853,0.15015015015014693,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
4,87.63827693680032,75.2008613798297,002338,奥普光电,bottom_area,2025-12-03,49.58,2025-11-21,48.8,1.5983606557377072,5.594262295081975,30.632551528073915,False,-1.666,1.3578,1,1,1,100.0,20.995288574793882,20.995288574793882,18.401639344262293,1.5983606557377072,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
5,87.48043371303433,74.18849972356449,603178,圣龙股份,bottom_area,2025-12-03,17.95,2025-11-24,17.78,0.9561304836895284,4.668166479190091,27.694184627897517,False,-1.8053,1.4359,1,1,1,100.0,47.51869476546566,47.51869476546566,19.043869516310473,0.9561304836895284,历史1/1次成功; 当前距低点0.96%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
6,86.54554391508627,72.8471183914724,600550,保变电气,bottom_area,2025-12-03,9.2,2025-12-03,9.15,0.5464480874316823,2.73224043715847,29.61538461538461,False,-2.1277,2.3594,1,1,1,100.0,35.285053929121716,35.285053929121716,19.45355191256832,0.5464480874316823,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
7,85.58205815601582,75.9550964187328,688237,超卓航科,bottom_area,2025-12-03,46.55,2025-12-03,45.0,3.444444444444438,7.31111111111111,27.976952624839946,False,1.1957,4.0675,1,1,1,100.0,25.20661157024793,25.20661157024793,16.55555555555556,3.444444444444438,历史1/1次成功; 当前距低点3.44%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
8,83.73115583066271,74.71644749021004,688766,普冉股份,bottom_area,2025-12-03,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,16.25833333333334,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,83.45802382671246,70.67671880113681,300035,中科电气,bottom_area,2025-12-03,20.67,2025-12-03,20.49,0.8784773060029443,3.367496339677898,28.854166666666675,False,-1.7118,4.7884,1,1,1,100.0,27.686274509803933,27.686274509803933,19.121522693997058,0.8784773060029443,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
10,83.31734867570081,73.16165941660672,003038,鑫铂股份,bottom_area,2025-12-03,15.82,2025-11-24,15.38,2.86085825747724,5.7867360208062335,28.76331635016211,False,-0.5657,1.6169,1,1,1,100.0,25.507614213197975,25.507614213197975,17.139141742522764,2.86085825747724,历史1/1次成功; 当前距低点2.86%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
11,82.60765018254236,74.63173913043481,688588,凌志软件,bottom_area,2025-12-03,14.41,2025-11-24,13.8,4.420289855072459,11.376811594202888,30.999999999999993,True,-1.3014,1.044,1,1,1,100.0,43.33333333333334,43.33333333333334,15.579710144927542,4.420289855072459,历史1/1次成功; 当前距低点4.42%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
12,78.95260843102712,70.61336695597781,603366,日出东方,bottom_area,2025-12-03,9.67,2025-11-28,9.31,3.8668098818474697,9.022556390977442,30.522388059701488,True,-3.3,6.0689,1,1,1,100.0,25.15964240102172,25.15964240102172,16.133190118152534,3.8668098818474697,历史1/1次成功; 当前距低点3.87%; 最新日涨幅-3.30%; 状态bottom_area; 底部已确认
13,77.90370304617069,70.64616467276565,600104,上汽集团,bottom_area,2025-12-03,15.38,2025-11-21,14.7,4.625850340136065,7.959183673469387,28.74454677653902,True,-0.9021,0.4421,1,1,1,100.0,24.425287356321842,24.425287356321842,15.374149659863937,4.625850340136065,历史1/1次成功; 当前距低点4.63%; 最新日涨幅-0.90%; 状态bottom_area; 底部已确认
14,74.20450765111669,63.40800884737454,600696,退市岩石,bottom_area,2025-12-03,4.44,2025-12-03,4.38,1.3698630136986416,6.164383561643846,28.66449511400651,False,-2.4176,2.4142,1,2,1,50.0,46.45858343337334,46.45858343337334,18.63013698630136,1.3698630136986416,历史1/2次成功; 当前距低点1.37%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
15,57.70750699167534,51.93811061090705,603767,中马传动,bottom_area,2025-12-03,23.01,2025-11-21,22.08,4.211956521739146,9.601449275362324,27.725040916530286,True,-1.3293,1.6254,1,3,1,33.33333333333333,29.881925522252505,29.881925522252505,15.788043478260855,4.211956521739146,历史1/3次成功; 当前距低点4.21%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
