rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.33121144118932,78.0500305543431,688143,长盈通,bottom_area,2023-08-09,29.75,2023-08-09,29.0,2.586206896551724,3.655172413793099,30.605407992342666,False,0.2021,0.952,1,1,1,100.0,25.949367088607595,25.949367088607595,17.413793103448278,2.586206896551724,历史1/1次成功; 当前距低点2.59%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
2,88.61571591567179,74.44609826667245,688328,深科达,bottom_area,2023-08-09,22.76,2023-08-09,22.66,0.4413062665489913,3.662842012356568,27.994915792818553,False,-2.1917,3.5617,2,2,2,100.0,25.92621803443088,29.170984455958543,19.558693733451012,0.4413062665489913,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
3,86.538971898287,75.98732728501776,688300,联瑞新材,bottom_area,2023-08-09,43.18,2023-08-08,41.98,2.8585040495474106,6.479275845640796,28.239316239316242,False,-2.9445,0.3219,2,2,2,100.0,24.003852247235756,26.809910956252438,17.14149595045259,2.8585040495474106,历史2/2次成功; 当前距低点2.86%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
4,82.66982522250068,72.88459080148499,002045,国光电器,bottom_area,2023-08-09,13.72,2023-07-28,13.31,3.0803906836964696,6.536438767843721,27.937195452084456,False,-1.4368,1.0962,3,4,3,75.0,30.875707313510432,33.77563329312426,16.91960931630353,3.0803906836964696,历史3/4次成功; 当前距低点3.08%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
5,81.89960070233776,73.20742609949532,600935,华塑股份,bottom_area,2023-08-09,3.79,2023-06-27,3.65,3.835616438356168,7.671232876712336,28.571428571428577,True,-0.2632,0.2933,1,1,1,100.0,28.50877192982458,28.50877192982458,16.164383561643834,3.835616438356168,历史1/1次成功; 当前距低点3.84%; 最新日涨幅-0.26%; 状态bottom_area; 底部已确认
6,80.70784139731478,73.60263639845411,002755,奥赛康,bottom_area,2023-08-09,8.08,2023-08-08,7.7,4.935064935064934,5.844155844155846,31.00358422939068,False,1.7632,0.5216,1,1,1,100.0,30.831099195710454,30.831099195710454,15.064935064935067,4.935064935064934,历史1/1次成功; 当前距低点4.94%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
7,80.50245526355475,73.01120175060231,002219,新里程,bottom_area,2023-08-09,3.84,2023-08-07,3.67,4.632152588555857,5.449591280653956,29.42307692307693,False,1.3193,0.7278,1,1,1,100.0,23.938223938223942,23.938223938223942,15.367847411444144,4.632152588555857,历史1/1次成功; 当前距低点4.63%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
8,70.47157412185703,60.082211620133954,688262,国芯科技,bottom_area,2023-08-09,34.12,2023-08-09,33.7,1.2462908011869274,1.9881305637982034,27.213822894168455,False,-0.0293,1.7627,1,2,1,50.0,27.063197026022312,27.063197026022312,18.753709198813073,1.2462908011869274,历史1/2次成功; 当前距低点1.25%; 最新日涨幅-0.03%; 状态bottom_area; 底部未确认
9,70.16493781006511,58.72458097038438,605117,德业股份,bottom_area,2023-08-09,106.05,2023-08-09,105.8,0.23629489603024575,2.0793950850661655,29.878048780487802,False,-2.5007,4.5462,2,6,2,33.33333333333333,51.93428382351709,59.18895599654874,19.763705103969755,0.23629489603024575,历史2/6次成功; 当前距低点0.24%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
10,62.086943023712365,53.68937423336546,002403,爱仕达,bottom_area,2023-08-09,8.58,2023-07-28,8.41,2.0214030915576684,6.658739595719387,32.61217948717949,False,-2.2779,1.4584,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,17.97859690844233,2.0214030915576684,历史1/3次成功; 当前距低点2.02%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
11,60.013591950605985,50.43915377250687,603033,三维股份,bottom_area,2023-08-09,15.13,2023-08-07,15.06,0.46480743691899257,1.7928286852589612,30.180806675938804,False,-0.8519,0.0991,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,19.535192563081008,0.46480743691899257,历史1/3次成功; 当前距低点0.46%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
12,57.94202326788892,49.01608696311805,002829,星网宇达,bottom_area,2023-08-09,30.73,2023-08-02,30.48,0.8202099737532809,3.0511811023622037,31.918695555059195,False,-0.9349,1.3155,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,19.17979002624672,0.8202099737532809,历史1/3次成功; 当前距低点0.82%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
13,56.42647890488355,47.82349544619043,300342,天银机电,bottom_area,2023-08-09,10.94,2023-08-09,10.84,0.9225092250922476,4.243542435424362,30.10960670535139,False,-3.3569,4.7375,1,3,1,33.33333333333333,26.68539325842696,26.68539325842696,19.077490774907755,0.9225092250922476,历史1/3次成功; 当前距低点0.92%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
