rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.17830180670093,82.89510955302366,603368,柳药集团,bottom_area,2022-02-07,16.6,2022-01-28,16.3,1.8404907975460165,3.5582822085889463,30.282292557741652,False,1.0347,1.6471,1,1,1,100.0,42.85714285714285,42.85714285714285,18.159509202453986,1.8404907975460165,历史1/1次成功; 当前距低点1.84%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
2,94.0891342396404,80.86709746881783,300624,万兴科技,bottom_area,2022-02-07,40.99,2022-02-07,40.31,1.686926321012155,3.919622922351769,27.014303820387465,False,-0.8706,4.1483,2,2,2,100.0,35.87790043400834,51.195680123425035,18.313073678987845,1.686926321012155,历史2/2次成功; 当前距低点1.69%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
3,89.18262960870511,79.16365859365861,300511,雪榕生物,bottom_area,2022-02-07,6.89,2022-01-27,6.66,3.4534534534534465,4.654654654654649,31.198347107438014,False,0.2911,2.209,2,2,2,100.0,25.900712191034756,29.220779220779214,16.546546546546555,3.4534534534534465,历史2/2次成功; 当前距低点3.45%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
4,88.19689405120972,73.81602117882035,300447,全信股份,bottom_area,2022-02-07,16.99,2022-02-07,16.95,0.23598820058996547,8.908554572271395,28.117048346055977,False,-3.3011,6.879,2,2,2,100.0,30.236958474007892,30.328638497652584,19.764011799410035,0.23598820058996547,历史2/2次成功; 当前距低点0.24%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
5,86.28187180503096,75.1426770806741,688089,嘉必优,bottom_area,2022-02-07,48.88,2022-02-07,47.73,2.409386130316375,10.140372931070614,31.12554112554113,False,-3.2079,2.9522,1,1,1,100.0,40.83912611717973,40.83912611717973,17.590613869683626,2.409386130316375,历史1/1次成功; 当前距低点2.41%; 最新日涨幅-3.21%; 状态bottom_area; 底部未确认
6,85.60577604953347,75.99696445213687,300339,润和软件,bottom_area,2022-02-07,19.14,2022-01-27,18.5,3.4594594594594623,7.945945945945939,27.450980392156865,False,0.7368,2.551,1,1,1,100.0,25.615763546798025,25.615763546798025,16.540540540540537,3.4594594594594623,历史1/1次成功; 当前距低点3.46%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
7,84.65456593677101,76.28299610753395,600217,中再资环,bottom_area,2022-02-07,5.85,2022-01-28,5.61,4.278074866310148,5.525846702317283,29.52261306532663,False,1.9164,0.7557,1,1,1,100.0,37.18820861678004,37.18820861678004,15.721925133689851,4.278074866310148,历史1/1次成功; 当前距低点4.28%; 最新日涨幅1.92%; 状态bottom_area; 底部未确认
8,83.39638477471678,74.91325049348293,600391,航发科技,bottom_area,2022-02-07,21.3,2022-01-28,20.46,4.10557184750733,6.060606060606053,30.691056910569102,False,2.6012,2.5652,1,1,1,100.0,27.709431751611014,27.709431751611014,15.89442815249267,4.10557184750733,历史1/1次成功; 当前距低点4.11%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
9,82.14985828310803,74.19714285714288,002584,西陇科学,bottom_area,2022-02-07,8.77,2022-02-07,8.4,4.404761904761895,9.047619047619044,32.746196957566056,False,-2.6637,10.5944,1,1,1,100.0,68.08510638297875,68.08510638297875,15.595238095238106,4.404761904761895,历史1/1次成功; 当前距低点4.40%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
10,79.2236681397682,71.5019154878271,601137,博威合金,bottom_area,2022-02-07,18.89,2022-01-28,18.1,4.364640883977895,10.386740331491707,27.25080385852089,True,-2.1244,1.6436,1,1,1,100.0,25.82417582417582,25.82417582417582,15.635359116022107,4.364640883977895,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-2.12%; 状态bottom_area; 底部已确认
11,75.86923921962523,66.77008792695835,603196,璞源材料,bottom_area,2022-02-07,7.25,2022-01-27,7.04,2.982954545454545,7.812499999999997,28.960645812310798,True,-1.7615,1.6837,2,3,2,66.66666666666666,22.33633131144113,22.85714285714286,17.017045454545457,2.982954545454545,历史2/3次成功; 当前距低点2.98%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
