rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.16077076864825,69.30064230720687,000430,张家界,bottom_area,2025-04-22,7.32,2025-04-22,7.32,0.0,0.0,27.452923686818632,False,-4.9351,0.1707,3,4,3,75.0,36.15936724304767,53.99999999999999,20.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-4.94%; 状态bottom_area; 底部未确认
2,73.5069593935556,62.025621032264155,001234,泰慕士,bottom_area,2025-04-22,20.68,2025-04-22,20.54,0.6815968841285325,5.550146056475174,30.84175084175084,False,-9.1787,16.5423,2,3,2,66.66666666666666,27.86556592156205,31.93277310924369,19.31840311587147,0.6815968841285325,历史2/3次成功; 当前距低点0.68%; 最新日涨幅-9.18%; 状态bottom_area; 底部未确认
3,71.70419123062698,62.76059116863208,603169,兰石重装,bottom_area,2025-04-22,7.27,2025-04-22,7.08,2.6836158192090327,7.203389830508472,27.755102040816332,False,-5.0914,14.0095,2,4,2,50.0,35.96363030337994,49.872122762148344,17.316384180790966,2.6836158192090327,历史2/4次成功; 当前距低点2.68%; 最新日涨幅-5.09%; 状态bottom_area; 底部未确认
