rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.54262460240321,76.16980568853846,002708,光洋股份,bottom_area,2023-03-28,6.51,2023-03-20,6.36,2.3584905660377276,6.132075471698108,31.759656652360512,False,-1.9578,1.3871,1,1,1,100.0,35.522388059701484,35.522388059701484,17.641509433962273,2.3584905660377276,历史1/1次成功; 当前距低点2.36%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
2,78.31318487524167,65.91064428414005,300382,斯莱克,bottom_area,2023-03-28,14.88,2023-03-28,14.8,0.540540540540541,3.783783783783775,32.788374205267935,False,-2.3622,1.7028,2,3,2,66.66666666666666,36.80865618228933,49.70059880239522,19.45945945945946,0.540540540540541,历史2/3次成功; 当前距低点0.54%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
3,74.16651617403718,64.92795918367347,605117,德业股份,bottom_area,2023-03-28,251.6,2023-03-24,245.0,2.693877551020406,7.591836734693887,28.913390396053963,True,-2.8646,1.9436,2,5,2,40.0,51.93428382351709,59.18895599654874,17.306122448979593,2.693877551020406,历史2/5次成功; 当前距低点2.69%; 最新日涨幅-2.86%; 状态bottom_area; 底部已确认
4,69.63670548049168,62.11160746251494,300681,英搏尔,bottom_area,2023-03-28,31.53,2023-03-20,30.4,3.7171052631579036,8.190789473684218,31.22171945701358,True,-0.4106,1.4031,2,4,2,50.0,25.734448723198668,27.487589035182385,16.282894736842096,3.7171052631579036,历史2/4次成功; 当前距低点3.72%; 最新日涨幅-0.41%; 状态bottom_area; 底部已确认
5,68.43104963027585,59.638723163841824,300699,光威复材,bottom_area,2023-03-28,54.4,2023-03-28,53.1,2.4482109227871884,11.111111111111107,27.518427518427522,False,-9.8293,4.232,1,2,1,50.0,49.6271186440678,49.6271186440678,17.551789077212813,2.4482109227871884,历史1/2次成功; 当前距低点2.45%; 最新日涨幅-9.83%; 状态bottom_area; 底部未确认
6,68.3870684359631,62.336737984524014,300393,中来股份,bottom_area,2023-03-28,14.96,2023-03-20,14.26,4.908835904628338,7.8541374474053365,27.61421319796954,True,-1.7083,2.4631,2,3,2,66.66666666666666,22.108694518333078,23.89610389610389,15.091164095371662,4.908835904628338,历史2/3次成功; 当前距低点4.91%; 最新日涨幅-1.71%; 状态bottom_area; 底部已确认
7,65.03846401833462,57.28776623376625,002660,茂硕电源,bottom_area,2023-03-28,9.18,2023-03-20,8.91,3.0303030303030254,7.519640852974185,28.31858407079646,True,-1.0776,2.3578,1,2,1,50.0,24.71428571428572,24.71428571428572,16.969696969696976,3.0303030303030254,历史1/2次成功; 当前距低点3.03%; 最新日涨幅-1.08%; 状态bottom_area; 底部已确认
8,64.4399198535283,56.84209700737812,603290,斯达半导,bottom_area,2023-03-28,264.99,2023-03-20,257.0,3.1089494163424156,9.37354085603112,27.605633802816904,True,-1.9173,1.2007,1,2,1,50.0,23.2822670787034,23.2822670787034,16.891050583657584,3.1089494163424156,历史1/2次成功; 当前距低点3.11%; 最新日涨幅-1.92%; 状态bottom_area; 底部已确认
9,64.28474875219001,56.58020957589758,002347,泰尔股份,bottom_area,2023-03-28,5.17,2023-03-20,5.02,2.988047808764948,6.175298804780887,29.09604519774012,False,-2.2684,2.6176,1,2,1,50.0,29.585798816568047,29.585798816568047,17.011952191235054,2.988047808764948,历史1/2次成功; 当前距低点2.99%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
10,63.443245508482704,56.5671712120431,605333,沪光股份,bottom_area,2023-03-28,18.51,2023-03-20,17.85,3.6974789915966393,8.403361344537814,30.409356725146193,True,-1.3852,1.2161,1,2,1,50.0,29.01840490797546,29.01840490797546,16.30252100840336,3.6974789915966393,历史1/2次成功; 当前距低点3.70%; 最新日涨幅-1.39%; 状态bottom_area; 底部已确认
11,58.296354946156704,52.54320639756281,000887,中鼎股份,bottom_area,2023-03-28,12.64,2023-03-20,12.12,4.290429042904302,6.600660066006607,28.45336481700119,False,-0.394,0.8873,1,2,1,50.0,23.84615384615385,23.84615384615385,15.709570957095698,4.290429042904302,历史1/2次成功; 当前距低点4.29%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
