rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.28529591165002,78.92532760081721,301117,佳缘科技,bottom_area,2026-03-26,41.57,59.95,2026-03-24,40.75,2.0122699386503076,6.331288343558278,32.02668890742286,30.65888240200167,False,-2.073,4.6572,2,2,2,100.0,29.426360542687625,31.299904183966788,17.987730061349694,2.0122699386503076,历史2/2次成功; 当前距低点2.01%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
2,90.2208885566216,77.29263564022186,688377,迪威尔,bottom_area,2026-03-26,36.29,50.95,2026-03-24,35.75,1.510489510489508,6.01398601398601,29.83316977428852,28.77330716388617,False,-3.0457,0.825,1,1,1,100.0,41.37931034482759,41.37931034482759,18.489510489510494,1.510489510489508,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
3,89.5226415137668,77.7865846818624,300643,万通智控,bottom_area,2026-03-26,16.57,23.66,2026-03-23,16.2,2.2839506172839568,7.839506172839504,31.53000845308538,29.966187658495354,True,-3.0427,2.4612,2,2,2,100.0,27.655871447687197,31.090289608177173,17.716049382716044,2.2839506172839568,历史2/2次成功; 当前距低点2.28%; 最新日涨幅-3.04%; 状态bottom_area; 底部已确认
4,89.41815122575787,77.11045635598043,600843,上工申贝,bottom_area,2026-03-26,9.26,12.64,2026-03-23,9.09,1.8701870187018694,5.830583058305824,28.085443037974688,26.740506329113927,False,-2.6288,1.588,1,1,1,100.0,34.59399332591768,34.59399332591768,18.129812981298134,1.8701870187018694,历史1/1次成功; 当前距低点1.87%; 最新日涨幅-2.63%; 状态bottom_area; 底部未确认
5,89.21609006632629,76.12419886120998,605089,味知香,bottom_area,2026-03-26,22.77,33.37,2026-03-26,22.48,1.2900355871886082,5.02669039145907,32.634102487264,31.765058435720704,False,-2.2327,1.1657,1,1,1,100.0,22.180000000000007,22.180000000000007,18.70996441281139,1.2900355871886082,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
6,89.1224765541864,76.65516483888153,001391,国货航,bottom_area,2026-03-26,5.3,7.73,2026-03-23,5.21,1.7274472168905923,4.222648752399227,32.60025873221217,31.435963777490304,False,-0.9346,1.2332,1,1,1,100.0,30.39647577092513,30.39647577092513,18.272552783109408,1.7274472168905923,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
7,88.31475453649368,78.75201041470773,002413,雷科防务,bottom_area,2026-03-26,12.6,16.71,2026-03-23,12.15,3.703703703703698,7.736625514403288,27.289048473967686,24.596050269299827,True,-1.7927,9.1447,2,2,2,100.0,40.034703543828805,51.174934725848566,16.296296296296305,3.703703703703698,历史2/2次成功; 当前距低点3.70%; 最新日涨幅-1.79%; 状态bottom_area; 底部已确认
8,87.40023973062122,76.17347626339969,688007,光峰科技,bottom_area,2026-03-26,13.38,19.18,2026-03-23,13.06,2.450229709035224,7.963246554364464,31.9082377476538,30.239833159541185,False,-2.3358,0.9875,1,1,1,100.0,36.66666666666667,36.66666666666667,17.549770290964776,2.450229709035224,历史1/1次成功; 当前距低点2.45%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
9,86.60376529127633,75.6296088204655,300488,恒锋工具,bottom_area,2026-03-26,26.45,37.8,2026-03-23,25.79,2.5591314462970147,7.987592089957357,31.77248677248677,30.026455026455025,True,-3.5727,2.7913,3,4,3,75.0,40.26574472055218,65.52470248827983,17.440868553702987,2.5591314462970147,历史3/4次成功; 当前距低点2.56%; 最新日涨幅-3.57%; 状态bottom_area; 底部已确认
10,85.12522286472411,74.57421164211132,600592,龙溪股份,bottom_area,2026-03-26,19.55,28.09,2026-03-23,19.03,2.732527588018915,6.41093011035207,32.25347098611605,30.402278390886433,False,-2.9295,1.533,1,1,1,100.0,31.52889539136796,31.52889539136796,17.267472411981085,2.732527588018915,历史1/1次成功; 当前距低点2.73%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
11,84.90519361913177,74.90765631943121,002182,宝武镁业,bottom_area,2026-03-26,15.21,20.48,2026-03-24,14.75,3.1186440677966156,8.542372881355943,27.978515625,25.732421875,True,-3.4286,2.351,1,1,1,100.0,39.0761548064919,39.0761548064919,16.881355932203384,3.1186440677966156,历史1/1次成功; 当前距低点3.12%; 最新日涨幅-3.43%; 状态bottom_area; 底部已确认
12,84.28478295835764,76.1017016175496,003040,楚天龙,bottom_area,2026-03-26,15.94,20.99,2026-03-23,15.27,4.387688277668631,7.072691552062881,27.25107193901858,24.05907575035731,True,-2.2685,0.9876,2,2,2,100.0,34.17005855179603,34.697855750487335,15.61231172233137,4.387688277668631,历史2/2次成功; 当前距低点4.39%; 最新日涨幅-2.27%; 状态bottom_area; 底部已确认
