rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.33236263343967,78.73151045563682,300490,华自科技,bottom_area,2022-04-15,12.11,2022-04-15,11.96,1.254180602006677,5.769230769230765,30.586186883343004,False,-3.506,2.6087,2,2,2,100.0,29.306678646301293,32.06349206349206,18.745819397993323,1.254180602006677,历史2/2次成功; 当前距低点1.25%; 最新日涨幅-3.51%; 状态bottom_area; 底部未确认
2,91.49650878755207,78.40377742376239,605186,健麾信息,bottom_area,2022-04-15,24.66,2022-04-15,24.29,1.5232606010704035,4.363935776039532,27.922848664688438,False,-2.4911,1.502,1,1,1,100.0,37.29468599033817,37.29468599033817,18.4767393989296,1.5232606010704035,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
3,90.50509324191161,76.2530374355123,300387,富邦科技,bottom_area,2022-04-15,8.4,2022-04-15,8.35,0.5988023952095893,11.856287425149702,27.39130434782609,False,-8.7948,11.4831,2,2,2,100.0,47.78659621822667,50.883392226148395,19.40119760479041,0.5988023952095893,历史2/2次成功; 当前距低点0.60%; 最新日涨幅-8.79%; 状态bottom_area; 底部未确认
4,88.87850639386184,76.08705882352939,000889,中嘉博创,bottom_area,2022-04-15,3.45,2022-04-15,3.4,1.4705882352941255,4.411764705882351,31.863727454909824,False,-3.0899,4.3368,1,1,1,100.0,34.408602150537625,34.408602150537625,18.529411764705873,1.4705882352941255,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
5,85.12093883354342,77.45154574132494,000537,绿发电力,bottom_area,2022-04-15,13.29,2022-04-15,12.68,4.810725552050469,10.252365930599375,28.84399551066218,False,2.1522,1.1696,1,1,1,100.0,310.7981220657277,310.7981220657277,15.189274447949533,4.810725552050469,历史1/1次成功; 当前距低点4.81%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
6,82.98168811794766,70.1329106029106,002482,广田集团,bottom_area,2022-04-15,2.62,2022-04-15,2.6,0.7692307692307698,3.8461538461538494,29.347826086956523,False,-2.963,2.814,1,1,1,100.0,23.423423423423422,23.423423423423422,19.230769230769234,0.7692307692307698,历史1/1次成功; 当前距低点0.77%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
7,82.88222717903763,69.66857638314681,300435,中泰股份,bottom_area,2022-04-15,14.9,2022-04-15,14.83,0.47201618341200463,4.1807147673634475,31.878732200275607,False,-3.6223,2.1796,1,1,1,100.0,27.498781082398814,27.498781082398814,19.527983816587994,0.47201618341200463,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-3.62%; 状态bottom_area; 底部未确认
8,81.64840289030344,68.7108340112688,002825,纳尔股份,bottom_area,2022-04-15,15.03,2022-04-15,14.95,0.5351170568561878,5.4180602006689,29.24751538097492,False,-5.2333,3.3903,1,1,1,100.0,23.123123123123136,23.123123123123136,19.464882943143813,0.5351170568561878,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-5.23%; 状态bottom_area; 底部未确认
9,80.85800477699173,68.12659363957596,300364,中文在线,bottom_area,2022-04-15,10.06,2022-04-15,10.0,0.600000000000005,6.300000000000009,29.971988795518207,False,-5.0943,6.5867,1,1,1,100.0,20.7773851590106,20.7773851590106,19.399999999999995,0.600000000000005,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-5.09%; 状态bottom_area; 底部未确认
10,80.53384073052909,67.92155844155845,300471,厚普股份,bottom_area,2022-04-15,16.91,2022-04-15,16.8,0.6547619047619013,6.845238095238086,32.773109243697476,False,-6.1077,3.3053,1,1,1,100.0,20.346320346320343,20.346320346320343,19.3452380952381,0.6547619047619013,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-6.11%; 状态bottom_area; 底部未确认
11,79.62787611665645,68.80949448390861,300447,全信股份,bottom_area,2022-04-15,14.4,2022-04-15,14.12,1.9830028328611982,3.399433427762043,28.902316213494462,False,-1.6393,2.7078,2,3,2,66.66666666666666,30.236958474007892,30.328638497652584,18.016997167138804,1.9830028328611982,历史2/3次成功; 当前距低点1.98%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
12,79.06993670800578,69.96542326053982,300724,捷佳伟创,bottom_area,2022-04-15,58.25,2022-04-15,56.4,3.280141843971634,5.088652482269511,31.94980694980695,False,0.0687,2.9471,2,3,2,66.66666666666666,29.87892472112087,30.55368319691865,16.719858156028366,3.280141843971634,历史2/3次成功; 当前距低点3.28%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
13,78.05981176723209,67.53232188315874,300648,星云股份,bottom_area,2022-04-15,35.41,2022-04-15,34.7,2.046109510086437,3.6887608069164095,28.4683570397856,False,-2.1553,1.5727,2,3,2,66.66666666666666,24.14400483596314,26.78362573099414,17.953890489913565,2.046109510086437,历史2/3次成功; 当前距低点2.05%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
14,72.3387247775627,62.067210021125476,688288,鸿泉技术,bottom_area,2022-04-15,20.4,2022-04-15,20.08,1.5936254980079698,4.183266932270933,29.64260686755431,False,-2.6718,1.3116,1,2,1,50.0,41.992882562277565,41.992882562277565,18.406374501992033,1.5936254980079698,历史1/2次成功; 当前距低点1.59%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
15,69.5708922520425,59.320838337737214,300631,久吾高科,bottom_area,2022-04-15,27.49,2022-04-15,27.15,1.2523020257826882,3.8674033149171296,31.370070778564212,False,-2.5523,2.264,1,2,1,50.0,23.04347826086956,23.04347826086956,18.74769797421731,1.2523020257826882,历史1/2次成功; 当前距低点1.25%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
16,67.39385086680737,57.60024049398766,000863,三湘印象,bottom_area,2022-04-15,3.67,2022-04-15,3.62,1.3812154696132548,7.458563535911603,31.047619047619047,False,-4.6753,5.1487,1,2,1,50.0,25.588235294117638,25.588235294117638,18.618784530386744,1.3812154696132548,历史1/2次成功; 当前距低点1.38%; 最新日涨幅-4.68%; 状态bottom_area; 底部未确认
17,62.32550129677658,51.93791774731382,603129,春风动力,bottom_area,2022-04-15,91.41,2022-04-15,91.41,0.0,3.2600371950552502,27.944190446161127,False,-2.2039,0.407,1,2,1,50.0,20.09633197480549,20.09633197480549,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
18,61.59810560058256,55.892988577687376,300393,中来股份,bottom_area,2022-04-15,13.03,2022-04-15,12.45,4.658634538152611,5.702811244979927,32.26332970620239,False,1.4798,4.7846,1,2,1,50.0,23.89610389610389,23.89610389610389,15.341365461847388,4.658634538152611,历史1/2次成功; 当前距低点4.66%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
19,61.219638804582615,55.80479041916168,002584,西陇科学,bottom_area,2022-04-15,8.76,2022-04-14,8.35,4.910179640718565,10.77844311377246,27.20139494333044,True,-5.2973,11.9696,1,2,1,50.0,68.08510638297875,68.08510638297875,15.089820359281436,4.910179640718565,历史1/2次成功; 当前距低点4.91%; 最新日涨幅-5.30%; 状态bottom_area; 底部已确认
