rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.33368614024877,80.43817293311018,301332,德尔玛,bottom_area,2024-06-27,8.88,2024-06-24,8.77,1.2542759407069695,4.332953249714946,30.507131537242472,False,-2.2026,1.4147,1,1,1,100.0,44.935064935064936,44.935064935064936,18.745724059293032,1.2542759407069695,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
2,94.31988341869216,80.16337288749604,002219,新里程,bottom_area,2024-06-27,1.88,2024-06-24,1.86,1.0752688172042901,6.451612903225799,28.735632183908038,False,-4.5685,0.6829,2,2,2,100.0,34.81175156302061,45.685279187817265,18.92473118279571,1.0752688172042901,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-4.57%; 状态bottom_area; 底部未确认
3,93.56100680406466,80.40558861578266,002015,协鑫能科,bottom_area,2024-06-27,7.86,2024-06-25,7.73,1.6817593790426892,4.786545924967648,27.349624060150372,False,-2.7228,0.4226,1,1,1,100.0,65.95380667236954,65.95380667236954,18.31824062095731,1.6817593790426892,历史1/1次成功; 当前距低点1.68%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
4,91.33786134233648,79.23512195121947,002687,乔治白,bottom_area,2024-06-27,4.19,2024-06-24,4.1,2.1951219512195306,4.146341463414633,29.914529914529915,False,-0.9456,1.0489,1,1,1,100.0,64.00000000000001,64.00000000000001,17.80487804878047,2.1951219512195306,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
5,89.56921409826042,77.88627312892211,600162,香江控股,bottom_area,2024-06-27,1.32,2024-06-24,1.29,2.325581395348839,4.651162790697678,32.81249999999999,False,-1.4925,0.39,2,2,2,100.0,27.68063822751323,28.90624999999999,17.674418604651162,2.325581395348839,历史2/2次成功; 当前距低点2.33%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
6,89.21817457469712,76.45862730784035,000516,国际医学,bottom_area,2024-06-27,4.65,2024-06-25,4.58,1.5283842794759888,4.5851528384279465,28.100470957613815,False,-2.9228,0.6013,1,1,1,100.0,26.89969604863221,26.89969604863221,18.471615720524014,1.5283842794759888,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
7,88.71763280002972,76.59773760876882,000862,银星能源,bottom_area,2024-06-27,4.74,2024-06-26,4.65,1.9354838709677389,4.731182795698919,27.34375,False,-2.268,0.8299,1,1,1,100.0,32.63785394932937,32.63785394932937,18.064516129032263,1.9354838709677389,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
8,88.46482773179268,75.72521534971646,605089,味知香,bottom_area,2024-06-27,21.47,2024-06-25,21.16,1.4650283553875174,4.867674858223068,27.658119658119656,False,-2.9824,0.2487,1,1,1,100.0,22.180000000000007,22.180000000000007,18.534971644612483,1.4650283553875174,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
9,87.6900488433177,74.82695819521234,600345,长江通信,bottom_area,2024-06-27,18.01,2024-06-26,17.78,1.2935883014623195,6.0742407199100015,27.694184627897517,False,-4.3039,7.1644,1,1,1,100.0,25.46419098143237,25.46419098143237,18.706411698537682,1.2935883014623195,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-4.30%; 状态bottom_area; 底部未确认
10,86.60460414209457,74.73414889190435,603180,金牌家居,bottom_area,2024-06-27,19.24,2024-06-24,18.88,1.906779661016946,4.661016949152557,28.403488813045136,False,-1.7866,0.5106,3,4,3,75.0,26.433368381844026,31.366822429906527,18.093220338983055,1.906779661016946,历史3/4次成功; 当前距低点1.91%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
11,84.74573856135706,73.74377973687218,002208,合肥城建,bottom_area,2024-06-27,4.33,2024-06-25,4.23,2.3640661938534193,5.67375886524821,28.42639593908629,False,-1.8141,0.7194,1,1,1,100.0,22.54758418740848,22.54758418740848,17.635933806146582,2.3640661938534193,历史1/1次成功; 当前距低点2.36%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
