rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.68582550938464,84.49894104327637,002403,爱仕达,bottom_area,2023-07-19,8.88,2023-07-19,8.75,1.4857142857142946,1.6000000000000065,29.887820512820518,False,0.0,2.7507,3,3,3,100.0,13.797686100564366,21.63892445582587,6.514285714285705,1.4857142857142946,历史3/3次成功; 当前距低点1.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,82.87031295567401,83.21360061036592,603222,济民健康,confirmed_rebound,2023-07-19,9.89,2023-07-10,9.49,4.214963119072712,8.74604847207587,27.112135176651304,True,0.3043,1.0442,7,7,7,100.0,24.697400655116585,68.46504559270518,3.7850368809272887,4.214963119072712,历史7/7次成功; 当前距低点4.21%; 最新日涨幅0.30%; 状态confirmed_rebound; 底部已确认
3,81.41989515415796,77.55346170122723,002507,涪陵榨菜,bottom_area,2023-07-19,17.94,2023-06-26,17.68,1.4705882352941264,4.8076923076923155,28.967456809963842,False,0.1116,0.3024,1,1,1,100.0,9.604316546762583,9.604316546762583,6.529411764705874,1.4705882352941264,历史1/1次成功; 当前距低点1.47%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
4,81.16554267386311,78.66329144930174,603033,三维股份,bottom_area,2023-07-19,15.97,2023-07-17,15.6,2.3717948717948785,5.25641025641027,27.677329624478446,False,-0.1875,0.116,3,3,3,100.0,15.757977188140112,24.922480620155024,5.6282051282051215,2.3717948717948785,历史3/3次成功; 当前距低点2.37%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
5,80.12106923835168,77.30412317905218,601669,中国电建,bottom_area,2023-07-19,5.73,2023-06-07,5.61,2.1390374331550817,5.882352941176471,29.78723404255319,False,0.5263,0.3415,1,1,1,100.0,16.457680250783696,16.457680250783696,5.860962566844918,2.1390374331550817,历史1/1次成功; 当前距低点2.14%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
6,78.89604617791994,73.91494096149177,688311,盟升电子,bottom_area,2023-07-19,59.38,2023-07-19,59.02,0.6099627245001684,5.404947475432053,30.548364321016706,False,-4.133,3.5837,3,3,3,100.0,18.68632243737717,23.893805309734503,7.390037275499832,0.6099627245001684,历史3/3次成功; 当前距低点0.61%; 最新日涨幅-4.13%; 状态bottom_area; 底部未确认
7,77.96848832873067,76.56699736364465,688318,财富趋势,bottom_area,2023-07-19,90.69,2023-07-19,88.0,3.0568181818181794,4.499999999999993,28.837134077308747,False,-2.3894,1.367,3,3,3,100.0,12.884638807473594,22.012826837691176,4.943181818181821,3.0568181818181794,历史3/3次成功; 当前距低点3.06%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
8,77.70829525186693,74.73915874062217,002825,纳尔股份,bottom_area,2023-07-19,8.78,2023-07-17,8.61,1.9744483159117299,3.019744483159115,32.94392523364487,False,-0.4535,0.6575,1,1,1,100.0,23.123123123123136,23.123123123123136,6.025551684088271,1.9744483159117299,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
9,77.47430506634397,74.23411371301563,002626,金达威,bottom_area,2023-07-19,18.31,2023-06-26,17.99,1.7787659811006131,7.281823235130641,27.165991902834012,True,-1.0805,0.4416,1,1,1,100.0,8.815592203898044,8.815592203898044,6.221234018899387,1.7787659811006131,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-1.08%; 状态bottom_area; 底部已确认
10,76.4315042536708,77.84370983213732,688258,卓易信息,confirmed_rebound,2023-07-19,62.31,2023-07-13,59.37,4.951995957554329,9.516590870810171,31.30857341200973,True,0.3543,1.3518,3,3,3,100.0,21.528282878285978,27.716894977168955,3.0480040424456707,4.951995957554329,历史3/3次成功; 当前距低点4.95%; 最新日涨幅0.35%; 状态confirmed_rebound; 底部已确认
11,76.14894560336573,71.54166253604447,002755,奥赛康,bottom_area,2023-07-19,8.0,2023-07-17,7.94,0.7556675062972242,2.267002518891673,28.853046594982075,False,-0.9901,0.2049,1,1,1,100.0,30.831099195710454,30.831099195710454,7.244332493702776,0.7556675062972242,历史1/1次成功; 当前距低点0.76%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
