rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.73499105234563,80.14515594242452,603033,三维股份,bottom_area,2023-08-02,15.36,2023-08-01,15.1,1.7218543046357602,2.7814569536423837,29.995363931386187,False,-0.1949,0.1386,3,3,3,100.0,15.757977188140112,24.922480620155024,6.27814569536424,1.7218543046357602,历史3/3次成功; 当前距低点1.72%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
2,83.1598748923177,80.12991819717242,300342,天银机电,bottom_area,2023-08-02,11.34,2023-07-28,11.11,2.070207020702074,4.230423042304237,28.368794326241137,False,-0.3515,2.418,3,3,3,100.0,19.9461838944793,26.68539325842696,5.929792979297926,2.070207020702074,历史3/3次成功; 当前距低点2.07%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
3,81.16506223034655,78.80366044651957,600081,东风科技,bottom_area,2023-08-02,11.64,2023-07-28,11.36,2.4647887323943762,4.5774647887324065,31.27646702964308,False,0.0,0.0,2,2,2,100.0,11.84612234612234,13.923013923013915,5.535211267605624,2.4647887323943762,历史2/2次成功; 当前距低点2.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,81.15193659078848,82.42344376630888,002045,国光电器,bottom_area,2023-08-02,13.95,2023-07-28,13.31,4.808414725770088,6.386175807663408,27.937195452084456,False,1.2337,1.9046,4,4,4,100.0,26.70230828529398,33.77563329312426,3.191585274229912,4.808414725770088,历史4/4次成功; 当前距低点4.81%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
5,80.87789318944577,80.02430064918775,002403,爱仕达,bottom_area,2023-08-02,8.7,2023-07-28,8.41,3.448275862068955,3.8049940546967926,32.61217948717949,False,1.7544,2.1504,3,3,3,100.0,13.797686100564366,21.63892445582587,4.551724137931045,3.448275862068955,历史3/3次成功; 当前距低点3.45%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
6,80.07129104010662,77.78872304865672,300515,三德科技,bottom_area,2023-08-02,13.55,2023-07-28,13.22,2.4962178517397886,3.706505295007566,27.162534435261698,False,2.2642,1.37,1,1,1,100.0,23.441396508728182,23.441396508728182,5.503782148260211,2.4962178517397886,历史1/1次成功; 当前距低点2.50%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
7,79.90139339598339,80.31029910809364,688027,国盾量子,bottom_area,2023-08-02,142.51,2023-07-28,136.68,4.265437518290886,7.952882645595555,27.096223597183695,True,1.8656,1.3938,3,3,3,100.0,16.15858413869275,26.382393397524062,3.734562481709114,4.265437518290886,历史3/3次成功; 当前距低点4.27%; 最新日涨幅1.87%; 状态bottom_area; 底部已确认
8,79.69409998852011,75.25619773947186,688287,退市观典,bottom_area,2023-08-02,10.88,2023-08-01,10.77,1.0213556174559073,3.899721448467966,28.00802139037434,False,-0.0918,0.4965,1,1,1,100.0,14.219830899308223,14.219830899308223,6.9786443825440925,1.0213556174559073,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
9,79.44261977933992,78.69130475327997,688300,联瑞新材,bottom_area,2023-08-02,43.99,2023-08-02,42.5,3.505882352941181,4.564705882352936,27.350427350427353,False,2.0413,0.9046,2,2,2,100.0,24.003852247235756,26.809910956252438,4.494117647058819,3.505882352941181,历史2/2次成功; 当前距低点3.51%; 最新日涨幅2.04%; 状态bottom_area; 底部未确认
10,79.19176543428195,74.587017651835,002829,星网宇达,bottom_area,2023-08-02,30.75,2023-08-02,30.48,0.885826771653542,2.1981627296587867,31.918695555059195,False,-0.4854,2.0915,3,3,3,100.0,15.4661435011025,21.628131021194598,7.114173228346458,0.885826771653542,历史3/3次成功; 当前距低点0.89%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
11,78.08878091649302,76.31790904638751,688095,福昕软件,bottom_area,2023-08-02,98.88,2023-08-02,96.18,2.8072364316905682,3.4206695778748095,28.75555555555555,False,-1.1595,2.8843,2,2,2,100.0,25.152731777645194,31.679509356817103,5.192763568309432,2.8072364316905682,历史2/2次成功; 当前距低点2.81%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
12,76.44859738088607,75.66850965250967,002219,新里程,bottom_area,2023-08-02,3.88,2023-07-28,3.75,3.4666666666666637,6.400000000000006,27.884615384615387,False,0.2584,0.514,1,1,1,100.0,23.938223938223942,23.938223938223942,4.533333333333337,3.4666666666666637,历史1/1次成功; 当前距低点3.47%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
13,76.13594505852721,74.35720409775732,002755,奥赛康,bottom_area,2023-08-02,8.16,2023-07-17,7.94,2.770780856423171,6.171284634760696,28.853046594982075,False,-0.8505,0.2516,1,1,1,100.0,30.831099195710454,30.831099195710454,5.22921914357683,2.770780856423171,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
14,75.51935176796216,74.01085035936366,300389,艾比森,bottom_area,2023-08-02,15.7,2023-08-01,15.25,2.950819672131143,4.262295081967215,27.895981087470446,False,1.4212,2.0229,1,1,1,100.0,8.702791461412156,8.702791461412156,5.049180327868857,2.950819672131143,历史1/1次成功; 当前距低点2.95%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
15,74.62101091889465,72.14395460411873,600990,四创电子,bottom_area,2023-08-02,23.23,2023-07-24,22.72,2.244718309859162,3.3890845070422517,29.199127454035533,False,-0.1719,0.4113,1,1,1,100.0,12.483399734395755,12.483399734395755,5.755281690140839,2.244718309859162,历史1/1次成功; 当前距低点2.24%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
16,72.54520387774515,68.46210110310085,300633,开立医疗,bottom_area,2023-08-02,43.93,2023-08-02,43.5,0.9885057471264361,4.597701149425287,30.53337591823698,False,-2.8957,2.454,1,1,1,100.0,17.12846347607052,17.12846347607052,7.011494252873564,0.9885057471264361,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
17,72.45476755732524,71.9064127460973,301386,未来电器,bottom_area,2023-08-02,27.59,2023-08-01,26.63,3.604956815621483,4.018024784078109,28.70147255689425,False,-0.3971,13.691,1,1,1,100.0,27.880184331797242,27.880184331797242,4.395043184378517,3.604956815621483,历史1/1次成功; 当前距低点3.60%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
18,71.88692913961691,70.4519220716189,605118,力鼎光电,bottom_area,2023-08-02,14.65,2023-07-28,14.23,2.951510892480674,3.5839775122979605,30.210887690044142,False,-0.4079,0.5541,1,1,1,100.0,12.050359712230225,12.050359712230225,5.048489107519326,2.951510892480674,历史1/1次成功; 当前距低点2.95%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
19,71.36401100981524,71.09475461102899,688143,长盈通,bottom_area,2023-08-02,30.84,2023-08-01,29.71,3.80343318747896,6.294177044766064,28.906436946637946,False,-1.5011,1.9357,1,1,1,100.0,25.949367088607595,25.949367088607595,4.1965668125210405,3.80343318747896,历史1/1次成功; 当前距低点3.80%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
20,70.57180072836708,70.57685547182074,600995,南网储能,confirmed_rebound,2023-08-02,11.17,2023-06-07,10.74,4.003724394785844,8.379888268156428,32.7909887359199,True,-1.4122,0.6691,1,1,1,100.0,26.64165103189493,26.64165103189493,3.9962756052141564,4.003724394785844,历史1/1次成功; 当前距低点4.00%; 最新日涨幅-1.41%; 状态confirmed_rebound; 底部已确认
21,69.89436331300618,70.52681617784586,688313,仕佳光子,bottom_area,2023-08-02,13.56,2023-08-01,12.98,4.4684129429892145,5.7010785824345165,28.28729281767956,False,1.8018,4.9297,1,1,1,100.0,8.574181117533707,8.574181117533707,3.5315870570107855,4.4684129429892145,历史1/1次成功; 当前距低点4.47%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
22,69.36251182114279,69.29136774303231,002626,金达威,bottom_area,2023-08-02,18.7,2023-06-26,17.99,3.946637020566987,7.392996108949427,27.165991902834012,True,-1.215,0.4946,1,1,1,100.0,8.815592203898044,8.815592203898044,4.053362979433013,3.946637020566987,历史1/1次成功; 当前距低点3.95%; 最新日涨幅-1.22%; 状态bottom_area; 底部已确认
23,68.17588381900238,68.19878853387522,601360,三六零,bottom_area,2023-08-02,11.91,2023-07-24,11.45,4.0174672489083045,5.9388646288209745,29.1460396039604,False,-0.2513,1.4796,1,1,1,100.0,13.003300330033007,13.003300330033007,3.9825327510916955,4.0174672489083045,历史1/1次成功; 当前距低点4.02%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
24,67.2608805327216,68.50293184084421,000037,深南电A,confirmed_rebound,2023-08-02,10.81,2023-07-31,10.3,4.9514563106796095,11.359223300970871,30.311231393775362,True,-5.0088,10.7605,5,6,5,83.33333333333334,23.435047827206347,45.16765285996055,3.0485436893203905,4.9514563106796095,历史5/6次成功; 当前距低点4.95%; 最新日涨幅-5.01%; 状态confirmed_rebound; 底部已确认
25,65.97702077261377,66.99016654808023,688278,特宝生物,confirmed_rebound,2023-08-02,34.33,2023-07-28,32.76,4.792429792429793,8.05860805860806,28.205128205128215,True,-1.4072,0.4657,1,1,1,100.0,17.0263788968825,17.0263788968825,3.207570207570207,4.792429792429793,历史1/1次成功; 当前距低点4.79%; 最新日涨幅-1.41%; 状态confirmed_rebound; 底部已确认
