rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.52621808230357,81.32001063563291,688300,联瑞新材,bottom_area,2023-08-07,43.5,2023-08-02,42.5,2.3529411764705883,5.5764705882352885,27.350427350427353,False,0.4851,0.403,2,2,2,100.0,24.003852247235756,26.809910956252438,7.647058823529412,2.3529411764705883,历史2/2次成功; 当前距低点2.35%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
2,83.76683714188977,78.3555427528788,688287,退市观典,bottom_area,2023-08-07,10.86,2023-08-07,10.7,1.4953271028037398,1.9626168224299148,28.475935828877013,False,0.277,0.564,1,1,1,100.0,14.219830899308223,14.219830899308223,8.504672897196262,1.4953271028037398,历史1/1次成功; 当前距低点1.50%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
3,81.98212359989579,77.1596457410784,300375,鹏翎股份,bottom_area,2023-08-07,4.48,2023-08-07,4.4,1.8181818181818195,3.1818181818181746,28.455284552845526,False,0.2237,10.9067,1,1,1,100.0,11.74785100286532,11.74785100286532,8.181818181818182,1.8181818181818195,历史1/1次成功; 当前距低点1.82%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
4,81.85955075992321,77.98122899855872,002219,新里程,bottom_area,2023-08-07,3.76,2023-08-07,3.67,2.452316076294274,2.724795640326978,29.42307692307693,False,0.0,0.7754,1,1,1,100.0,23.938223938223942,23.938223938223942,7.547683923705726,2.452316076294274,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,80.55688568425921,79.3846256679195,300342,天银机电,bottom_area,2023-08-07,11.58,2023-07-28,11.11,4.230423042304237,5.220522052205221,28.368794326241137,False,2.4779,6.1321,3,3,3,100.0,19.9461838944793,26.68539325842696,5.769576957695764,4.230423042304237,历史3/3次成功; 当前距低点4.23%; 最新日涨幅2.48%; 状态bottom_area; 底部未确认
6,77.48301746365411,70.78295179734091,002755,奥赛康,bottom_area,2023-08-07,7.86,2023-08-07,7.84,0.2551020408163324,5.484693877551017,29.749103942652333,False,-4.7273,0.8548,1,1,1,100.0,30.831099195710454,30.831099195710454,9.744897959183668,0.2551020408163324,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-4.73%; 状态bottom_area; 底部未确认
7,77.3896702420209,74.59976049975369,600995,南网储能,bottom_area,2023-08-07,11.07,2023-06-07,10.74,3.072625698324023,8.379888268156428,32.7909887359199,True,-0.7175,0.8932,1,1,1,100.0,26.64165103189493,26.64165103189493,6.927374301675977,3.072625698324023,历史1/1次成功; 当前距低点3.07%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
8,77.06666321229429,72.62192445118765,300565,科信技术,bottom_area,2023-08-07,16.78,2023-08-03,16.47,1.8822100789314042,3.7037037037037006,27.636203866432346,False,-1.0029,3.1125,1,1,1,100.0,10.60948081264109,10.60948081264109,8.117789921068596,1.8822100789314042,历史1/1次成功; 当前距低点1.88%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
9,77.01934552698297,74.3169123505976,600990,四创电子,bottom_area,2023-08-07,23.43,2023-07-24,22.72,3.125000000000004,3.521126760563384,29.199127454035533,False,0.1282,0.5845,1,1,1,100.0,12.483399734395755,12.483399734395755,6.8749999999999964,3.125000000000004,历史1/1次成功; 当前距低点3.13%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
10,76.71411085277649,73.24625708799107,300515,三德科技,bottom_area,2023-08-07,13.56,2023-07-28,13.22,2.571860816944023,7.3373676248108834,27.162534435261698,True,-3.1429,1.5834,1,1,1,100.0,23.441396508728182,23.441396508728182,7.428139183055977,2.571860816944023,历史1/1次成功; 当前距低点2.57%; 最新日涨幅-3.14%; 状态bottom_area; 底部已确认
11,76.01897625349973,69.69899279809843,300633,开立医疗,bottom_area,2023-08-07,42.79,2023-08-07,42.6,0.4460093896713561,3.2863849765258184,31.97061641648035,False,-1.6774,1.4967,1,1,1,100.0,17.12846347607052,17.12846347607052,9.553990610328643,0.4460093896713561,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
12,75.72051518126278,70.13106898329423,688143,长盈通,bottom_area,2023-08-07,30.0,2023-08-01,29.71,0.9761023224503504,6.294177044766064,28.906436946637946,False,-1.6393,0.986,1,1,1,100.0,25.949367088607595,25.949367088607595,9.02389767754965,0.9761023224503504,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
13,75.28399251837297,69.55487766710183,002864,盘龙药业,bottom_area,2023-08-07,34.54,2023-08-07,34.25,0.8467153284671508,2.9197080291970803,27.127659574468083,False,-2.0142,4.6043,1,1,1,100.0,21.26553019358567,21.26553019358567,9.15328467153285,0.8467153284671508,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
14,73.8243159222859,72.58276856524876,600935,华塑股份,bottom_area,2023-08-07,3.8,2023-06-27,3.65,4.109589041095888,7.671232876712336,28.571428571428577,True,-1.2987,0.4059,1,1,1,100.0,28.50877192982458,28.50877192982458,5.890410958904113,4.109589041095888,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
15,73.2853370480678,68.26961055808599,002829,星网宇达,bottom_area,2023-08-07,30.87,2023-08-02,30.48,1.27952755905512,2.6574803149606256,31.918695555059195,False,-0.8989,1.4674,2,3,2,66.66666666666666,18.711111430456917,21.628131021194598,8.72047244094488,1.27952755905512,历史2/3次成功; 当前距低点1.28%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
16,72.71611111111112,66.10555555555555,002377,国创高新,bottom_area,2023-08-07,3.12,2023-08-07,3.12,0.0,5.448717948717946,30.51224944320713,False,-7.6923,20.2314,1,1,1,100.0,14.814814814814808,14.814814814814808,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-7.69%; 状态bottom_area; 底部未确认
17,71.49849674169344,66.07825295122434,603033,三维股份,bottom_area,2023-08-07,15.19,2023-08-07,15.06,0.8632138114209761,1.5936254980079694,30.180806675938804,False,0.1318,0.1471,2,3,2,66.66666666666666,19.192009540846744,24.922480620155024,9.136786188579023,0.8632138114209761,历史2/3次成功; 当前距低点0.86%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
