rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.77329584567383,82.14225851872715,002708,光洋股份,bottom_area,2023-03-20,6.46,2023-03-20,6.36,1.5723270440251518,1.8867924528301903,31.759656652360512,False,0.3106,1.0194,1,1,1,100.0,35.522388059701484,35.522388059701484,18.42767295597485,1.5723270440251518,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
2,86.64630373612088,77.61521426069436,600152,维科技术,bottom_area,2023-03-20,11.31,2023-03-20,10.88,3.9522058823529385,5.23897058823528,28.842380640941784,False,2.168,4.7892,2,2,2,100.0,23.6894821099949,24.87644151565074,16.04779411764706,3.9522058823529385,历史2/2次成功; 当前距低点3.95%; 最新日涨幅2.17%; 状态bottom_area; 底部未确认
3,86.55649301691201,76.91503134168651,300707,威唐工业,bottom_area,2023-03-20,15.62,2023-03-20,15.09,3.5122597746852176,4.1086812458581905,32.27109515260324,False,1.8917,4.0425,3,4,3,75.0,35.36550337617637,59.14285714285715,16.487740225314784,3.5122597746852176,历史3/4次成功; 当前距低点3.51%; 最新日涨幅1.89%; 状态bottom_area; 底部未确认
4,85.70969850827186,74.18758692341628,300473,德尔股份,bottom_area,2023-03-20,17.23,2023-03-20,16.88,2.073459715639819,3.31753554502371,31.935483870967747,False,-0.2316,2.7894,1,1,1,100.0,21.37137137137137,21.37137137137137,17.926540284360183,2.073459715639819,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
5,83.61226971722385,71.97792961559735,600418,江淮汽车,bottom_area,2023-03-20,13.19,2023-03-20,12.96,1.7746913580246808,2.2376543209876476,27.55729457797652,False,0.7639,2.293,2,3,2,66.66666666666666,22.244942178639526,24.365079365079367,18.22530864197532,1.7746913580246808,历史2/3次成功; 当前距低点1.77%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
6,79.65944991865388,70.76414467773753,300382,斯莱克,bottom_area,2023-03-20,15.99,2023-03-14,15.45,3.4951456310679676,4.919093851132696,29.836512261580385,False,0.188,1.3246,2,3,2,66.66666666666666,36.80865618228933,49.70059880239522,16.504854368932033,3.4951456310679676,历史2/3次成功; 当前距低点3.50%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
7,77.9341353208857,68.80393293543565,300393,中来股份,bottom_area,2023-03-20,14.71,2023-03-20,14.26,3.155680224403935,4.978962131837314,27.61421319796954,False,0.6845,2.9744,2,3,2,66.66666666666666,22.108694518333078,23.89610389610389,16.844319775596066,3.155680224403935,历史2/3次成功; 当前距低点3.16%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
8,75.95782041006042,66.67116647295958,300745,欣锐科技,bottom_area,2023-03-20,38.05,2023-03-20,37.0,2.83783783783783,5.594594594594595,32.25924569754668,False,-1.2201,2.2594,2,3,2,66.66666666666666,29.21919396001701,36.150000000000006,17.16216216216217,2.83783783783783,历史2/3次成功; 当前距低点2.84%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
9,74.32817123132355,63.261084084046225,688221,前沿生物,bottom_area,2023-03-20,13.17,2023-03-20,13.02,1.1520737327188968,3.0721966205837203,30.00000000000001,False,-1.643,1.968,2,5,2,40.0,31.332323627125273,34.87394957983194,18.847926267281103,1.1520737327188968,历史2/5次成功; 当前距低点1.15%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
10,73.94564204697245,65.48160746251494,300681,英搏尔,bottom_area,2023-03-20,31.41,2023-03-20,30.4,3.322368421052637,3.6842105263157925,31.22171945701358,False,0.4156,2.1328,2,4,2,50.0,25.734448723198668,27.487589035182385,16.677631578947363,3.322368421052637,历史2/4次成功; 当前距低点3.32%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
11,72.65870161010538,62.57258104858106,002660,茂硕电源,bottom_area,2023-03-20,9.07,2023-03-20,8.91,1.795735129068464,2.4691358024691428,28.31858407079646,False,0.6659,2.5606,1,2,1,50.0,24.71428571428572,24.71428571428572,18.204264870931535,1.795735129068464,历史1/2次成功; 当前距低点1.80%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
