rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.31068842290611,85.9485064913095,600009,上海机场,bottom_area,2023-10-24,35.25,2023-10-23,34.36,2.5902211874272427,2.619324796274734,29.777232781524628,False,1.9375,0.4179,4,4,4,100.0,18.4634989174387,27.704918032786885,5.409778812572758,2.5902211874272427,历史4/4次成功; 当前距低点2.59%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
2,88.29587940862041,85.41696116275334,002707,众信旅游,bottom_area,2023-10-24,6.29,2023-10-23,6.15,2.276422764227637,3.414634146341463,28.90173410404624,False,1.2882,1.4142,4,4,4,100.0,11.759167017163147,15.533980582524274,5.723577235772363,2.276422764227637,历史4/4次成功; 当前距低点2.28%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
3,87.76892937789117,84.20144701741641,000928,中钢国际,bottom_area,2023-10-24,6.08,2023-10-23,5.97,1.8425460636515967,3.6850921273031934,31.06235565819862,False,1.3333,2.1941,3,3,3,100.0,16.57232280936585,18.798449612403097,6.1574539363484035,1.8425460636515967,历史3/3次成功; 当前距低点1.84%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
4,87.3623342039107,84.2716987774123,603260,合盛硅业,bottom_area,2023-10-24,54.25,2023-10-23,53.12,2.1272590361445833,4.028614457831327,28.69798657718121,False,0.2773,0.2035,3,3,3,100.0,20.440050429150247,34.21399022188793,5.872740963855417,2.1272590361445833,历史3/3次成功; 当前距低点2.13%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
5,86.63408577511608,83.51469563854904,603129,春风动力,bottom_area,2023-10-24,106.32,2023-10-23,104.14,2.0933358939888542,6.654503552909538,29.67314964883847,False,0.1507,0.7766,3,3,3,100.0,15.954309015288315,20.09633197480549,5.906664106011146,2.0933358939888542,历史3/3次成功; 当前距低点2.09%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
6,85.248410554368,81.33123281082617,000938,紫光股份,bottom_area,2023-10-24,19.6,2023-10-23,19.3,1.5544041450777237,4.041450777202059,28.011935844834014,False,0.8749,1.0696,1,1,1,100.0,30.942334739803094,30.942334739803094,6.445595854922276,1.5544041450777237,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
7,85.20719357586069,84.08039917760124,300488,恒锋工具,bottom_area,2023-10-24,21.55,2023-10-23,20.86,3.307766059443918,5.417066155321184,27.31707317073171,False,2.0843,1.7855,3,3,3,100.0,33.88228921039445,65.52470248827983,4.692233940556082,3.307766059443918,历史3/3次成功; 当前距低点3.31%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
8,85.16695225586116,81.74364453072562,601890,亚星锚链,bottom_area,2023-10-24,8.73,2023-10-23,8.57,1.8669778296382746,3.26721120186697,29.05629139072847,False,1.3937,1.0026,1,1,1,100.0,36.991150442477874,36.991150442477874,6.133022170361725,1.8669778296382746,历史1/1次成功; 当前距低点1.87%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
9,85.13833514747698,83.21250585480094,300586,美联新材,confirmed_rebound,2023-10-24,8.78,2023-10-23,8.54,2.8103044496487146,8.313817330210783,27.008547008547012,False,1.5029,1.3369,2,2,2,100.0,69.69134206257787,124.33414043583537,5.189695550351285,2.8103044496487146,历史2/2次成功; 当前距低点2.81%; 最新日涨幅1.50%; 状态confirmed_rebound; 底部未确认
10,84.2692659889965,81.43214107393031,600328,中盐化工,bottom_area,2023-10-24,7.83,2023-10-23,7.66,2.219321148825064,3.7859007832898173,27.73584905660377,False,1.6883,0.6637,2,2,2,100.0,22.968781146513187,37.26315789473683,5.780678851174937,2.219321148825064,历史2/2次成功; 当前距低点2.22%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
11,83.50732984523479,79.28012686158709,688023,安恒信息,bottom_area,2023-10-24,118.5,2023-10-24,116.98,1.299367413233028,4.137459394768327,29.021297251380375,False,-0.3364,0.88,1,1,1,100.0,39.261744966442954,39.261744966442954,6.700632586766972,1.299367413233028,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
