rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.55795150677763,82.9014441732379,603809,豪能股份,bottom_area,2025-11-13,12.55,2025-11-13,12.28,2.19869706840392,2.6872964169381115,27.764705882352946,False,0.9654,1.6069,2,2,2,100.0,30.615448866660387,31.661442006269603,17.80130293159608,2.19869706840392,历史2/2次成功; 当前距低点2.20%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
2,92.2983015165058,77.7653265253178,603759,海天股份,bottom_area,2025-11-13,11.74,2025-11-12,11.67,0.5998286203941755,7.36932305055698,29.14389799635701,False,0.0853,9.8304,1,1,1,100.0,39.90825688073395,39.90825688073395,19.400171379605826,0.5998286203941755,历史1/1次成功; 当前距低点0.60%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
3,91.35428713867307,78.7727427225307,002338,奥普光电,bottom_area,2025-11-13,51.34,2025-11-12,50.4,1.8650793650793747,2.3809523809523867,28.35820895522388,False,0.6469,0.8863,1,1,1,100.0,20.995288574793882,20.995288574793882,18.134920634920626,1.8650793650793747,历史1/1次成功; 当前距低点1.87%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
4,63.921213586798274,58.01802079168332,002678,珠江钢琴,bottom_area,2025-11-13,5.15,2025-11-03,4.92,4.674796747967489,4.878048780487809,29.613733905579405,False,0.7828,1.5625,1,2,1,50.0,35.5191256830601,35.5191256830601,15.325203252032512,4.674796747967489,历史1/2次成功; 当前距低点4.67%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
