rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
18,80.16822365967889,76.34233207521962,002669,康达新材,bottom_area,2022-09-02,13.05,2022-09-01,12.74,2.43328100470958,3.4536891679748787,27.981910684002266,False,1.7941,1.8127,1,1,1,100.0,14.89361702127659,14.89361702127659,7.566718995290421,2.43328100470958,历史1/1次成功; 当前距低点2.43%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
19,79.96694062393532,76.10856717497774,603191,望变电气,bottom_area,2022-09-02,23.0,2022-09-02,22.46,2.4042742653606375,2.5823686553873477,28.924050632911392,False,1.0545,4.0185,1,1,1,100.0,13.281249999999995,13.281249999999995,7.595725734639363,2.4042742653606375,历史1/1次成功; 当前距低点2.40%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
20,79.79731529869161,77.1522486381487,002801,微光股份,bottom_area,2022-09-02,28.76,2022-09-01,27.86,3.2304379038047455,4.845656855707112,27.636363636363637,False,1.1607,1.5801,1,1,1,100.0,29.019607843137262,29.019607843137262,6.769562096195256,3.2304379038047455,历史1/1次成功; 当前距低点3.23%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
21,79.51611483997894,74.53453429092396,002534,西子洁能,bottom_area,2022-09-02,17.73,2022-09-02,17.45,1.6045845272206367,4.699140401146134,29.38081748280049,False,-2.314,1.6819,1,1,1,100.0,17.489177489177486,17.489177489177486,8.395415472779364,1.6045845272206367,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
22,79.05912748995767,76.277621072833,688237,超卓航科,bottom_area,2022-09-02,56.19,2022-09-02,54.49,3.119838502477511,4.569645806570003,29.417098445595858,False,1.426,4.0539,1,1,1,100.0,22.961574507966244,22.961574507966244,6.88016149752249,3.119838502477511,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
23,78.92830429337032,74.12425145577697,002645,华宏科技,bottom_area,2022-09-02,18.5,2022-09-02,18.19,1.7042330951071945,4.452996151731713,28.27287066246056,False,-1.5957,1.6797,1,1,1,100.0,16.50485436893203,16.50485436893203,8.295766904892806,1.7042330951071945,历史1/1次成功; 当前距低点1.70%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
24,78.79699171792436,76.05308886971528,603178,圣龙股份,bottom_area,2022-09-02,11.17,2022-09-02,10.83,3.1394275161588165,4.247460757156039,28.373015873015866,False,1.9161,1.6235,1,1,1,100.0,21.994535519125673,21.994535519125673,6.860572483841184,3.1394275161588165,历史1/1次成功; 当前距低点3.14%; 最新日涨幅1.92%; 状态bottom_area; 底部未确认
25,78.455933018208,77.81122805899695,300620,光库科技,bottom_area,2022-09-02,40.07,2022-09-01,38.32,4.566805845511483,6.680584551148232,29.77826644676562,False,4.0779,0.9031,3,3,3,100.0,15.610459068618967,22.444343480236245,5.433194154488518,4.566805845511483,历史3/3次成功; 当前距低点4.57%; 最新日涨幅4.08%; 状态bottom_area; 底部未确认
26,77.9963907115015,76.31999769847148,601606,长城军工,bottom_area,2022-09-02,12.11,2022-08-29,11.66,3.8593481989708343,5.488850771869645,27.033792240300375,False,0.1654,2.1104,2,2,2,100.0,15.587696731854795,18.886462882096076,6.140651801029167,3.8593481989708343,历史2/2次成功; 当前距低点3.86%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
27,77.97248152244984,75.13431620057563,688286,敏芯股份,bottom_area,2022-09-02,48.26,2022-09-02,46.83,3.053598120862694,4.441597266709371,29.163515353199216,False,1.9434,2.9262,1,1,1,100.0,16.00279524807827,16.00279524807827,6.946401879137307,3.053598120862694,历史1/1次成功; 当前距低点3.05%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
28,76.65994625427763,70.4669825918762,002110,三钢闽光,bottom_area,2022-09-02,5.2,2022-08-31,5.17,0.5802707930367553,1.547388781431336,30.41722745625841,False,-0.3831,0.2944,1,1,1,100.0,22.90322580645161,22.90322580645161,9.419729206963245,0.5802707930367553,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
29,76.53409430862561,76.43378640988469,688083,中望软件,bottom_area,2022-09-02,183.64,2022-08-31,175.01,4.931146791611905,8.479515456259644,32.42074371548829,True,0.553,0.7876,2,2,2,100.0,20.144091907310933,21.52777777777778,5.068853208388096,4.931146791611905,历史2/2次成功; 当前距低点4.93%; 最新日涨幅0.55%; 状态bottom_area; 底部已确认
30,76.40787180295165,72.06419179858305,002617,露笑科技,bottom_area,2022-09-02,11.63,2022-09-02,11.41,1.9281332164767802,3.1551270815074446,28.99813316739266,False,0.6926,3.1184,2,3,2,66.66666666666666,24.589617556362565,36.60589060308556,8.071866783523221,1.9281332164767802,历史2/3次成功; 当前距低点1.93%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
31,75.88903979463076,72.80222543613849,002350,北京科锐,bottom_area,2022-09-02,8.75,2022-09-02,8.51,2.8202115158636922,6.580493537015282,30.813008130081304,False,-0.7937,9.0726,1,1,1,100.0,23.07692307692308,23.07692307692308,7.179788484136308,2.8202115158636922,历史1/1次成功; 当前距低点2.82%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
32,75.3683452753869,73.6513768718769,688355,明志科技,bottom_area,2022-09-02,23.55,2022-09-02,22.69,3.790215954164827,7.536359629792848,31.82091346153846,False,-0.0849,9.0927,2,2,2,100.0,22.865963695552168,35.08474576271185,6.209784045835173,3.790215954164827,历史2/2次成功; 当前距低点3.79%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
33,74.97656817118582,74.3498551757025,688045,必易微,bottom_area,2022-09-02,61.69,2022-09-01,59.0,4.559322033898301,7.084745762711863,28.743961352657006,True,2.9883,7.396,1,1,1,100.0,21.048975338659265,21.048975338659265,5.440677966101699,4.559322033898301,历史1/1次成功; 当前距低点4.56%; 最新日涨幅2.99%; 状态bottom_area; 底部已确认
34,74.87850998041293,73.31900849895092,002119,康强电子,bottom_area,2022-09-02,13.07,2022-09-01,12.58,3.8950715421303674,4.133545310015895,30.8030803080308,False,3.5658,6.3541,1,1,1,100.0,16.557911908646,16.557911908646,6.104928457869633,3.8950715421303674,历史1/1次成功; 当前距低点3.90%; 最新日涨幅3.57%; 状态bottom_area; 底部未确认
35,74.59341276561169,72.84194073171611,002585,双星新材,bottom_area,2022-09-02,19.63,2022-09-01,18.92,3.7526427061310637,6.5539112050739865,30.389992641648263,False,1.1856,3.502,1,1,1,100.0,12.247129579004932,12.247129579004932,6.247357293868936,3.7526427061310637,历史1/1次成功; 当前距低点3.75%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
36,73.64670503462035,70.6605416160207,688288,鸿泉技术,bottom_area,2022-09-02,19.64,2022-09-01,19.1,2.8272251308900476,4.0314136125654425,30.087847730600288,False,2.666,1.0042,2,3,2,66.66666666666666,28.064237891308274,41.992882562277565,7.172774869109953,2.8272251308900476,历史2/3次成功; 当前距低点2.83%; 最新日涨幅2.67%; 状态bottom_area; 底部未确认
37,73.25340804911053,72.31887931032637,300648,星云股份,bottom_area,2022-09-02,45.58,2022-09-02,43.69,4.325932707713437,5.241474021515219,27.509540401526472,False,0.3081,3.6205,3,4,3,75.0,20.62906389200542,26.78362573099414,5.674067292286564,4.325932707713437,历史3/4次成功; 当前距低点4.33%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
38,72.89704045258523,72.6521455798442,300707,威唐工业,bottom_area,2022-09-02,18.69,2022-09-02,17.83,4.823331463825031,5.664610207515433,32.35963581183612,False,2.5796,2.8928,1,1,1,100.0,24.351297405189634,24.351297405189634,5.17666853617497,4.823331463825031,历史1/1次成功; 当前距低点4.82%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
39,72.66294355874594,70.35655323738787,002169,智光电气,bottom_area,2022-09-02,9.06,2022-09-02,8.77,3.306727480045621,4.446978335233758,30.72669826224329,False,-0.5488,9.6844,1,1,1,100.0,15.891891891891898,15.891891891891898,6.693272519954379,3.306727480045621,历史1/1次成功; 当前距低点3.31%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
40,72.60334583583432,70.85653541416565,002043,兔宝宝,bottom_area,2022-09-02,8.64,2022-08-04,8.33,3.7214885954381813,8.403361344537807,30.2928870292887,True,-2.7027,2.6608,1,1,1,100.0,14.470588235294123,14.470588235294123,6.2785114045618196,3.7214885954381813,历史1/1次成功; 当前距低点3.72%; 最新日涨幅-2.70%; 状态bottom_area; 底部已确认
41,71.85896542398767,71.05626692726513,002580,圣阳股份,bottom_area,2022-09-02,10.18,2022-09-02,9.75,4.410256410256407,6.564102564102569,32.38557558945909,False,2.1063,13.8479,1,1,1,100.0,10.70780399274047,10.70780399274047,5.589743589743593,4.410256410256407,历史1/1次成功; 当前距低点4.41%; 最新日涨幅2.11%; 状态bottom_area; 底部未确认
42,71.1485791899095,70.7472912754618,300428,立中集团,bottom_area,2022-09-02,30.5,2022-09-02,29.13,4.703055269481638,6.968760727772061,30.642857142857142,False,1.9044,1.7942,1,1,1,100.0,12.635791881074907,12.635791881074907,5.296944730518362,4.703055269481638,历史1/1次成功; 当前距低点4.70%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
43,68.8271908152502,62.57017346840927,000037,深南电A,bottom_area,2022-09-02,8.47,2022-09-02,8.47,0.0,6.8476977567886665,28.28111769686706,False,-9.9894,16.6114,3,5,3,60.0,32.47405090542621,45.16765285996055,10.0,0.0,历史3/5次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
44,65.48927698443553,61.79636581854142,601966,玲珑轮胎,bottom_area,2022-09-02,22.44,2022-09-02,22.01,1.9536574284416162,2.226260790549743,27.359735973597353,False,0.5376,0.5869,1,2,1,50.0,22.476907287033857,22.476907287033857,8.046342571558384,1.9536574284416162,历史1/2次成功; 当前距低点1.95%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
45,65.16380061298577,61.2636016065961,605319,无锡振华,bottom_area,2022-09-02,13.87,2022-08-29,13.63,1.7608217168011624,5.209097578870132,27.345415778251603,False,0.8727,0.9479,1,2,1,50.0,17.248790972595383,17.248790972595383,8.239178283198838,1.7608217168011624,历史1/2次成功; 当前距低点1.76%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
46,64.71942084118454,61.83885114553408,002520,日发精机,bottom_area,2022-09-02,6.29,2022-09-01,6.13,2.610114192495924,3.5889070146818884,29.62112514351321,False,2.2764,2.3822,1,2,1,50.0,30.752212389380546,30.752212389380546,7.3898858075040765,2.610114192495924,历史1/2次成功; 当前距低点2.61%; 最新日涨幅2.28%; 状态bottom_area; 底部未确认
47,56.966876200133115,56.25780047476743,688165,埃夫特,bottom_area,2022-09-02,8.41,2022-09-02,8.06,4.342431761786596,4.83870967741934,28.4826974267968,False,3.444,0.6156,1,2,1,50.0,21.98142414860681,21.98142414860681,5.657568238213405,4.342431761786596,历史1/2次成功; 当前距低点4.34%; 最新日涨幅3.44%; 状态bottom_area; 底部未确认
48,54.85350477813067,50.80988478097785,000625,长安汽车,bottom_area,2022-09-02,14.4,2022-09-02,14.26,0.9817671809256702,2.5946704067321247,31.704980842911873,False,-0.0694,1.5552,1,2,1,50.0,13.808139534883724,13.808139534883724,9.01823281907433,0.9817671809256702,历史1/2次成功; 当前距低点0.98%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
