rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.27549759100509,77.05291703360845,301023,奕帆传动,bottom_area,2026-02-02,47.26,65.18,2026-01-30,46.65,1.307609860664522,3.9657020364415896,28.428965940472544,27.493096041730603,False,-1.5622,7.565,1,1,1,100.0,27.388535031847127,27.388535031847127,18.69239013933548,1.307609860664522,历史1/1次成功; 当前距低点1.31%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
2,87.72130489701838,77.13112967433882,000973,佛塑科技,bottom_area,2026-02-02,11.93,16.11,2026-01-30,11.59,2.9335634167385662,9.57722174288179,28.057107386716325,25.946617008069524,True,-3.479,3.8718,2,2,2,100.0,32.09491540055248,32.421875,17.066436583261435,2.9335634167385662,历史2/2次成功; 当前距低点2.93%; 最新日涨幅-3.48%; 状态bottom_area; 底部已确认
3,86.20959687123776,72.25091642002252,600435,北方导航,bottom_area,2026-02-02,16.17,22.55,2026-01-30,16.12,0.3101736972704759,4.83870967741934,28.514412416851435,28.292682926829265,False,-2.0,2.065,1,1,1,100.0,29.183400267737625,29.183400267737625,19.689826302729525,0.3101736972704759,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
4,85.40163806276776,76.85840114968772,300668,杰恩股份,bottom_area,2026-02-02,25.01,33.3,2026-01-30,24.0,4.208333333333339,8.333333333333332,27.92792792792792,24.894894894894882,True,-3.0996,4.9534,3,3,3,100.0,29.588178224127592,36.04488078541374,15.791666666666663,4.208333333333339,历史3/3次成功; 当前距低点4.21%; 最新日涨幅-3.10%; 状态bottom_area; 底部已确认
5,84.6392927618734,70.92758375634516,600271,航天信息,bottom_area,2026-02-02,9.88,13.99,2026-02-02,9.85,0.3045685279187933,3.248730964467008,29.592566118656187,29.378127233738383,False,-1.5936,1.4327,1,1,1,100.0,21.999999999999996,21.999999999999996,19.695431472081207,0.3045685279187933,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
6,80.26425331850565,66.88687776542137,688228,开普云,confirmed_rebound,2026-02-02,195.84,277.0,2026-02-02,195.84,0.0,20.915032679738566,29.299638989169672,29.299638989169672,False,-20.0,6.0281,5,7,5,71.42857142857143,41.135287525306936,77.58669034489205,20.0,0.0,历史5/7次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态confirmed_rebound; 底部未确认
7,79.90789776244452,66.82968208937669,603169,兰石重装,bottom_area,2026-02-02,10.22,14.18,2026-01-29,10.2,0.19607843137256228,5.294117647058833,28.067700987306072,27.926657263751757,False,-1.8252,1.6386,3,5,3,60.0,35.30505867153828,49.872122762148344,19.803921568627437,0.19607843137256228,历史3/5次成功; 当前距低点0.20%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
8,72.21170770525136,60.176423087709466,688062,迈威生物,bottom_area,2026-02-02,34.78,47.8,2026-02-02,34.78,0.0,4.485336400230024,27.238493723849366,27.238493723849366,False,-3.4157,3.1384,2,4,2,50.0,41.27109186940569,47.1990464839094,20.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-3.42%; 状态bottom_area; 底部未确认
9,71.99895982079147,60.51499254386776,300753,爱朋医疗,bottom_area,2026-02-02,32.26,44.12,2026-01-30,32.11,0.4671441918405437,3.550295857988168,27.221214868540343,26.88123300090662,False,-1.255,5.7217,2,4,2,50.0,26.344523125076314,28.044496487119456,19.532855808159457,0.4671441918405437,历史2/4次成功; 当前距低点0.47%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
10,71.86223937804692,62.03907070027572,600161,天坛生物,bottom_area,2026-02-02,16.37,22.08,2025-12-24,16.06,1.9302615193026296,9.464508094645078,27.264492753623188,25.8605072463768,True,-1.6817,0.5256,1,2,1,50.0,36.77455357142857,36.77455357142857,18.069738480697374,1.9302615193026296,历史1/2次成功; 当前距低点1.93%; 最新日涨幅-1.68%; 状态bottom_area; 底部已确认
11,71.33472169521919,59.553809523809505,300652,雷迪克,bottom_area,2026-02-02,50.45,74.21,2026-02-02,50.4,0.09920634920635765,3.7698412698412667,32.08462471365045,32.017248349279065,False,-2.9061,2.7192,1,2,1,50.0,54.41115272575945,54.41115272575945,19.900793650793645,0.09920634920635765,历史1/2次成功; 当前距低点0.10%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
