rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.55220940402413,79.32970409796407,688010,福光股份,bottom_area,2022-09-22,20.72,2022-09-21,20.05,3.341645885286774,5.985037406483787,28.341672623302355,False,0.7292,0.2753,1,1,1,100.0,42.08955223880597,42.08955223880597,16.658354114713227,3.341645885286774,历史1/1次成功; 当前距低点3.34%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
2,88.27147388239452,76.34016355235721,688280,精进电动,bottom_area,2022-09-22,9.06,2022-09-19,8.88,2.0270270270270236,5.292792792792779,29.411764705882348,False,-1.7354,1.2914,1,1,1,100.0,32.37518910741301,32.37518910741301,17.97297297297298,2.0270270270270236,历史1/1次成功; 当前距低点2.03%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
3,88.01743321110537,75.5373493975904,002110,三钢闽光,bottom_area,2022-09-22,5.06,2022-09-21,4.98,1.6064257028112285,2.4096385542168517,32.97442799461641,False,-0.5894,0.182,1,1,1,100.0,22.90322580645161,22.90322580645161,18.39357429718877,1.6064257028112285,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
4,85.0317378037006,76.5876724805923,300437,清水源,bottom_area,2022-09-22,18.14,2022-09-19,17.4,4.252873563218403,6.666666666666668,29.354445797807553,False,0.3874,2.0967,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,15.747126436781599,4.252873563218403,历史5/6次成功; 当前距低点4.25%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
5,84.85340323247402,71.89854015932696,688018,乐鑫科技,bottom_area,2022-09-22,83.26,2022-09-21,82.51,0.9089807296085323,3.38140831414373,29.47863247863247,False,-0.4186,0.4926,1,1,1,100.0,34.629119477604306,34.629119477604306,19.091019270391467,0.9089807296085323,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
6,84.78110493350424,74.01889533288063,688183,生益电子,bottom_area,2022-09-22,9.67,2022-09-21,9.43,2.545068928950162,4.029692470837761,28.883861236802417,False,-0.7187,0.3649,1,1,1,100.0,26.24544349939247,26.24544349939247,17.454931071049838,2.545068928950162,历史1/1次成功; 当前距低点2.55%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
7,84.65327372905558,75.97631317182739,000591,太阳能,bottom_area,2022-09-22,7.18,2022-09-19,6.9,4.057971014492744,4.927536231884055,27.672955974842754,False,0.1395,0.9278,1,1,1,100.0,32.84132841328414,32.84132841328414,15.942028985507257,4.057971014492744,历史1/1次成功; 当前距低点4.06%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
8,84.51313134823077,73.44986057789453,600130,波导股份,bottom_area,2022-09-22,4.01,2022-09-19,3.92,2.295918367346935,4.59183673469387,27.541589648798524,False,-0.7426,3.5174,1,1,1,100.0,20.13201320132014,20.13201320132014,17.704081632653065,2.295918367346935,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
9,84.00091302468432,73.61922123638924,300517,海波重科,bottom_area,2022-09-22,14.92,2022-09-22,14.52,2.754820936639121,5.6473829201101955,28.047571853320118,False,-4.359,8.2408,1,1,1,100.0,36.88286544046467,36.88286544046467,17.24517906336088,2.754820936639121,历史1/1次成功; 当前距低点2.75%; 最新日涨幅-4.36%; 状态bottom_area; 底部未确认
10,83.15694473337784,74.1885373159695,603315,福鞍股份,bottom_area,2022-09-22,20.3,2022-09-19,19.57,3.7301992846193177,6.6428206438426205,29.324665944384254,False,-0.4902,0.3101,1,1,1,100.0,41.68490153172865,41.68490153172865,16.269800715380683,3.7301992846193177,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
11,82.80037608742352,72.73491792339517,002451,摩恩电气,bottom_area,2022-09-22,6.07,2022-09-19,5.9,2.8813559322033884,4.406779661016945,29.59427207637232,False,-0.6547,0.7247,1,1,1,100.0,23.464566929133863,23.464566929133863,17.118644067796613,2.8813559322033884,历史1/1次成功; 当前距低点2.88%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
