rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.75186918444915,85.18296471345477,002693,双成药业,confirmed_rebound,2024-11-28,22.88,2024-11-27,22.59,1.283753873395304,8.0123948649845,27.596153846153843,True,-4.6667,11.5411,7,7,7,100.0,32.04259970320459,102.85714285714285,6.716246126604696,1.283753873395304,历史7/7次成功; 当前距低点1.28%; 最新日涨幅-4.67%; 状态confirmed_rebound; 底部已确认
2,86.58596340184323,83.53274862541902,603004,鼎龙科技,bottom_area,2024-11-28,22.5,2024-11-28,22.03,2.1334543803903716,4.221516114389468,28.543626337982474,False,-0.8811,37.1752,3,3,3,100.0,39.0162613586509,55.7168784029038,5.866545619609628,2.1334543803903716,历史3/3次成功; 当前距低点2.13%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
3,85.29662416797474,80.73829688700407,603079,圣达生物,bottom_area,2024-11-28,15.02,2024-11-28,14.85,1.1447811447811442,2.8956228956228935,29.98585572842999,False,-1.7016,7.0124,2,2,2,100.0,28.539773640349868,34.84698914116485,6.8552188552188555,1.1447811447811442,历史2/2次成功; 当前距低点1.14%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
4,84.74651310244701,79.54789040552272,002761,浙江建投,bottom_area,2024-11-28,9.94,2024-11-27,9.87,0.7092198581560313,4.154002026342454,28.890489913544677,False,-2.1654,5.5864,6,6,6,100.0,23.305976785583134,43.73730534867976,7.290780141843969,0.7092198581560313,历史6/6次成功; 当前距低点0.71%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
5,84.36508433226992,80.57243967828418,002757,南兴股份,bottom_area,2024-11-28,15.16,2024-11-27,14.92,1.6085790884718514,5.093833780160857,27.041564792176036,False,-2.7582,9.1393,1,1,1,100.0,50.75376884422111,50.75376884422111,6.391420911528149,1.6085790884718514,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
6,83.88902381174363,79.76941642004294,002403,爱仕达,confirmed_rebound,2024-11-28,12.47,2024-11-28,12.3,1.3821138211382107,16.01626016260162,27.04626334519572,False,-8.6447,21.4679,5,5,5,100.0,13.336752323860445,21.63892445582587,6.61788617886179,1.3821138211382107,历史5/5次成功; 当前距低点1.38%; 最新日涨幅-8.64%; 状态confirmed_rebound; 底部未确认
7,82.28913160228898,77.86708333333333,002611,东方精工,confirmed_rebound,2024-11-28,11.65,2024-11-28,11.52,1.128472222222229,14.409722222222223,32.788798133022176,False,-7.6862,35.5576,1,1,1,100.0,145.12534818941506,145.12534818941506,6.871527777777771,1.128472222222229,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-7.69%; 状态confirmed_rebound; 底部未确认
8,80.46008532320631,76.1518839008601,002824,和胜股份,bottom_area,2024-11-28,16.87,2024-11-27,16.68,1.1390887290167941,4.916067146282976,32.414910858995135,False,-2.5982,6.946,4,5,4,80.0,13.81186130655046,19.06976744186047,6.860911270983205,1.1390887290167941,历史4/5次成功; 当前距低点1.14%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
9,78.437926769143,73.71379872824232,000605,渤海股份,bottom_area,2024-11-28,9.15,2024-11-28,9.08,0.7709251101321617,6.828193832599111,32.88987435328898,False,-7.2008,21.6518,3,3,3,100.0,19.57799988894441,29.39999999999999,7.229074889867839,0.7709251101321617,历史3/3次成功; 当前距低点0.77%; 最新日涨幅-7.20%; 状态bottom_area; 底部未确认
10,76.62529186826244,72.92135026737967,300694,蠡湖股份,confirmed_rebound,2024-11-28,16.38,2024-11-27,16.15,1.4241486068111482,13.80804953560372,27.41573033707866,True,-6.6667,19.3571,1,1,1,100.0,17.840909090909072,17.840909090909072,6.575851393188851,1.4241486068111482,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-6.67%; 状态confirmed_rebound; 底部已确认
11,76.34076760088982,75.28667943664057,002657,中科金财,confirmed_rebound,2024-11-28,20.17,2024-11-27,19.53,3.2770097286226347,9.370199692780329,28.670562454346232,True,-3.7232,16.5765,2,2,2,100.0,36.60355708548481,56.540447504302946,4.722990271377365,3.2770097286226347,历史2/2次成功; 当前距低点3.28%; 最新日涨幅-3.72%; 状态confirmed_rebound; 底部已确认
