rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
18,80.18684663014565,76.3151401085115,002682,龙洲股份,bottom_area,2024-09-13,3.41,2024-08-28,3.33,2.4024024024024047,6.606606606606599,30.76923076923076,False,-1.7291,1.7233,2,2,2,100.0,20.175363365532185,26.929674099485425,7.597597597597596,2.4024024024024047,历史2/2次成功; 当前距低点2.40%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
19,80.14011073435748,72.96533142281707,301509,金凯生科,bottom_area,2024-09-13,25.17,2024-09-13,25.15,0.07952286282307407,3.0218687872763486,29.846582984658305,False,-2.6682,2.1241,2,2,2,100.0,13.530341666955287,15.05054819877544,9.920477137176926,0.07952286282307407,历史2/2次成功; 当前距低点0.08%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
20,79.66815081831463,77.31292270928991,000532,华金资本,bottom_area,2024-09-13,10.57,2024-09-04,10.22,3.4246575342465717,7.632093933463789,27.926657263751757,True,-0.7512,3.1718,2,2,2,100.0,28.877106921355356,32.044198895027606,6.575342465753428,3.4246575342465717,历史2/2次成功; 当前距低点3.42%; 最新日涨幅-0.75%; 状态bottom_area; 底部已确认
21,79.41979914951366,73.03981528431727,603027,千禾味业,bottom_area,2024-09-13,9.96,2024-09-13,9.9,0.6060606060606111,3.7373737373737295,31.34535367545076,False,-2.8293,1.9416,1,1,1,100.0,37.051792828685265,37.051792828685265,9.39393939393939,0.6060606060606111,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
22,78.8671855734955,72.24694736842106,300761,立华股份,bottom_area,2024-09-13,17.57,2024-09-13,17.5,0.40000000000000163,3.714285714285706,29.71887550200803,False,-2.5513,0.7055,1,1,1,100.0,30.263157894736853,30.263157894736853,9.6,0.40000000000000163,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
23,78.32821951962374,71.80675369247143,603291,联合水务,bottom_area,2024-09-13,9.15,2024-08-28,9.11,0.4390779363337094,5.92755214050495,29.65250965250965,False,-2.5559,1.1449,2,2,2,100.0,11.708878426410102,12.102772143340088,9.560922063666291,0.4390779363337094,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
24,78.28797253597217,71.17088412361106,000899,赣能股份,bottom_area,2024-09-13,7.24,2024-09-13,7.24,0.0,1.657458563535913,27.52752752752753,False,-0.9576,0.4978,5,6,5,83.33333333333334,17.943821453106086,27.473958333333325,10.0,0.0,历史5/6次成功; 当前距低点0.00%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
25,77.4510040389205,71.38576923076923,002388,新亚制程,confirmed_rebound,2024-09-13,4.19,2024-09-12,4.16,0.7211538461538521,15.384615384615378,32.903225806451616,False,-10.0858,13.8048,1,1,1,100.0,50.505050505050505,50.505050505050505,9.278846153846148,0.7211538461538521,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-10.09%; 状态confirmed_rebound; 底部未确认
26,77.44237739949666,70.4021612722697,002600,领益智造,bottom_area,2024-09-13,6.21,2024-09-13,6.21,0.0,3.8647342995169116,27.706635622817227,False,-1.1146,2.7677,4,5,4,80.0,21.03312511972955,38.381201044386415,10.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
27,77.00249588056022,73.40562047717847,300478,杭州高新,bottom_area,2024-09-13,7.0,2024-08-28,6.83,2.4890190336749622,8.052708638360173,28.10526315789474,True,-1.5471,1.8988,1,1,1,100.0,13.067655236329937,13.067655236329937,7.510980966325039,2.4890190336749622,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-1.55%; 状态bottom_area; 底部已确认
28,76.73095638972414,70.162236732116,601808,中海油服,bottom_area,2024-09-13,13.17,2024-09-11,13.13,0.30464584920029814,1.6755521706016667,29.9359658484525,False,-0.4535,0.1655,1,1,1,100.0,17.88617886178861,17.88617886178861,9.695354150799702,0.30464584920029814,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
29,76.32378139534885,69.38525581395349,603079,圣达生物,bottom_area,2024-09-13,10.39,2024-08-26,10.39,0.0,6.929740134744936,28.83561643835616,False,-1.4231,0.9435,1,1,1,100.0,22.232558139534888,22.232558139534888,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
30,75.47893247815321,69.57508511170339,000539,粤电力A,bottom_area,2024-09-13,4.16,2024-08-26,4.13,0.7263922518159867,6.7796610169491585,31.395348837209298,False,-0.2398,0.3346,1,1,1,100.0,19.89924433249369,19.89924433249369,9.273607748184014,0.7263922518159867,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
31,75.308113761403,68.96931540880213,000726,鲁泰A,bottom_area,2024-09-13,5.19,2024-09-13,5.17,0.38684719535784257,1.7408123791102486,31.523178807947016,False,-0.9542,0.4585,1,1,1,100.0,12.480252764612954,12.480252764612954,9.613152804642159,0.38684719535784257,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
32,74.69184294389419,71.20245129121227,000883,湖北能源,bottom_area,2024-09-13,4.53,2024-09-11,4.42,2.488687782805437,4.977375565610854,28.70967741935484,False,-0.2203,0.3022,1,1,1,100.0,10.412147505422983,10.412147505422983,7.511312217194563,2.488687782805437,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
33,74.49362929212344,73.63342572062086,601872,招商轮船,bottom_area,2024-09-13,6.42,2024-09-11,6.15,4.390243902439018,5.203252032520314,27.47641509433962,False,1.1024,0.455,1,1,1,100.0,24.318181818181802,24.318181818181802,5.609756097560982,4.390243902439018,历史1/1次成功; 当前距低点4.39%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
34,73.8862248322148,67.16929530201344,002140,东华科技,bottom_area,2024-09-13,6.39,2024-09-13,6.39,0.0,1.8779342723004713,29.000000000000004,False,-1.5408,0.3249,1,1,1,100.0,10.318791946308728,10.318791946308728,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
35,73.23110667363403,67.82273429273431,601117,中国化学,bottom_area,2024-09-13,6.22,2024-09-10,6.16,0.9740259740259676,4.058441558441558,28.78612716763006,False,-1.5823,0.3395,1,1,1,100.0,13.513513513513523,13.513513513513523,9.025974025974033,0.9740259740259676,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
36,72.28630370218556,70.31935774054871,002230,科大讯飞,bottom_area,2024-09-13,33.82,2024-08-28,32.66,3.5517452541335084,6.705450091855496,28.093350946719518,False,-0.7629,0.5985,1,1,1,100.0,18.69535978480161,18.69535978480161,6.448254745866492,3.5517452541335084,历史1/1次成功; 当前距低点3.55%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
37,72.08701257861637,65.53364779874215,301518,长华化学,bottom_area,2024-09-13,13.56,2024-08-28,13.56,0.0,6.12094395280236,28.21598729486501,False,-3.7615,1.5918,1,1,1,100.0,11.740041928721173,11.740041928721173,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
38,71.09095597943677,70.48802574368207,603123,翠微股份,bottom_area,2024-09-13,6.43,2024-09-13,6.15,4.552845528455274,6.341463414634141,27.390791027154666,False,1.9017,6.286,3,4,3,75.0,13.567277142796177,16.108452950558224,5.447154471544727,4.552845528455274,历史3/4次成功; 当前距低点4.55%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
39,70.52446796459688,64.11315269508806,000037,深南电A,bottom_area,2024-09-13,6.79,2024-09-13,6.79,0.0,2.503681885125183,29.855371900826444,False,-1.5942,0.8684,5,8,5,62.5,25.1379177155272,45.16765285996055,10.0,0.0,历史5/8次成功; 当前距低点0.00%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
40,70.3724010685152,68.94378406646676,601919,中远海控,bottom_area,2024-09-13,11.92,2024-09-10,11.47,3.923278116826497,5.3182214472537,29.328404189772023,False,0.9314,0.5233,2,3,2,66.66666666666666,32.26984680733607,40.45881126173098,6.076721883173503,3.923278116826497,历史2/3次成功; 当前距低点3.92%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
41,70.27373930775961,70.15942659640093,600210,紫江企业,confirmed_rebound,2024-09-13,4.91,2024-07-25,4.68,4.914529914529924,10.897435897435912,27.329192546583858,True,-1.6032,0.6733,2,2,2,100.0,18.895455922199744,19.867549668874158,5.085470085470077,4.914529914529924,历史2/2次成功; 当前距低点4.91%; 最新日涨幅-1.60%; 状态confirmed_rebound; 底部已确认
42,69.03535951452712,62.8930499607631,300573,兴齐眼药,bottom_area,2024-09-13,71.88,2024-09-13,71.8,0.1114206128133681,3.690807799442905,32.50611017108479,False,-3.5297,4.0188,3,5,3,60.0,23.31768256977187,42.86062675283501,9.888579387186633,0.1114206128133681,历史3/5次成功; 当前距低点0.11%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
43,67.4912030232563,62.844165476830625,000591,太阳能,bottom_area,2024-09-13,4.03,2024-08-23,3.98,1.2562814070351824,7.035175879396981,28.158844765342963,True,-0.9828,0.316,1,2,1,50.0,32.84132841328414,32.84132841328414,8.743718592964818,1.2562814070351824,历史1/2次成功; 当前距低点1.26%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
44,66.96339001783394,60.87580910712176,300337,银邦股份,bottom_area,2024-09-13,7.4,2024-09-13,7.4,0.0,4.324324324324317,29.389312977099237,False,-3.3943,5.2211,2,3,2,66.66666666666666,25.586787314274673,34.09610983981694,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
45,66.8690298430941,64.93450268292666,002732,燕塘乳业,bottom_area,2024-09-13,13.46,2024-08-23,13.01,3.458877786318225,7.455803228285938,29.599567099567103,True,-0.9566,0.3066,2,3,2,66.66666666666666,18.30149123153517,25.344352617079892,6.541122213681776,3.458877786318225,历史2/3次成功; 当前距低点3.46%; 最新日涨幅-0.96%; 状态bottom_area; 底部已确认
46,65.34681814526117,60.24946596602423,002036,联创电子,bottom_area,2024-09-13,6.82,2024-09-13,6.77,0.7385524372230534,7.828655834564257,27.125941872981695,False,-7.9622,11.9195,3,5,3,60.0,16.792287757488097,22.210743801652896,9.261447562776947,0.7385524372230534,历史3/5次成功; 当前距低点0.74%; 最新日涨幅-7.96%; 状态bottom_area; 底部未确认
47,65.29066400481555,59.958663361426815,603060,国检集团,bottom_area,2024-09-13,5.69,2024-09-13,5.66,0.5300353356890503,2.826855123674914,27.806122448979586,False,-0.5245,1.0349,2,4,2,50.0,24.124429713966915,36.2098138747885,9.46996466431095,0.5300353356890503,历史2/4次成功; 当前距低点0.53%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
48,62.11016784398926,56.958053045759236,000922,佳电股份,bottom_area,2024-09-13,8.8,2024-09-13,8.76,0.4566210045662206,3.1963470319634633,30.199203187251,False,-1.7857,1.2379,1,2,1,50.0,40.42553191489362,40.42553191489362,9.543378995433779,0.4566210045662206,历史1/2次成功; 当前距低点0.46%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
49,61.26649283991647,57.7798625099188,000625,长安汽车,bottom_area,2024-09-13,11.65,2024-08-29,11.43,1.9247594050743715,8.136482939632543,29.138251704897705,True,-1.1874,0.7452,1,2,1,50.0,13.808139534883724,13.808139534883724,8.075240594925628,1.9247594050743715,历史1/2次成功; 当前距低点1.92%; 最新日涨幅-1.19%; 状态bottom_area; 底部已确认
50,58.66536192569946,53.74504124806013,000683,博源化工,bottom_area,2024-09-13,4.97,2024-09-13,4.95,0.40404040404039543,1.8181818181818152,28.981348637015774,False,-0.996,0.7542,1,2,1,50.0,22.50673854447439,22.50673854447439,9.595959595959606,0.40404040404039543,历史1/2次成功; 当前距低点0.40%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
51,57.76935893444366,52.7172857196444,002840,华统股份,bottom_area,2024-09-13,10.08,2024-09-13,10.06,0.19880715705764984,3.2803180914512926,29.699510831586302,False,-2.3256,2.1446,1,2,1,50.0,14.46540880503144,14.46540880503144,9.801192842942351,0.19880715705764984,历史1/2次成功; 当前距低点0.20%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
52,57.06069223986613,52.634600808262256,000966,长源电力,bottom_area,2024-09-13,3.96,2024-09-10,3.93,0.7633587786259493,2.5445292620865163,27.222222222222225,False,-0.2519,0.2768,1,2,1,50.0,20.94117647058823,20.94117647058823,9.23664122137405,0.7633587786259493,历史1/2次成功; 当前距低点0.76%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
