rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.75218935506884,75.35798458475746,605068,明新旭腾,bottom_area,2025-10-10,24.94,2025-10-10,24.8,0.5645161290322603,13.548387096774192,28.87869228563234,False,-9.5065,6.5345,2,2,2,100.0,42.554200854575384,50.84621044885945,14.435483870967738,0.5645161290322603,历史2/2次成功; 当前距低点0.56%; 最新日涨幅-9.51%; 状态bottom_area; 底部未确认
2,85.32142455973664,74.32864716338834,600706,曲江文旅,bottom_area,2025-10-10,10.21,2025-10-10,10.2,0.09803921568628984,2.254901960784318,28.621413575927225,False,-0.5842,5.7663,2,2,2,100.0,21.086970834156286,24.578313253012034,14.901960784313708,0.09803921568628984,历史2/2次成功; 当前距低点0.10%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
3,84.12957731271828,76.48480596923642,301151,冠龙节能,bottom_area,2025-10-10,20.62,2025-09-29,20.14,2.383316782522346,5.064548162859977,29.333333333333332,False,-0.5786,5.7198,1,1,1,100.0,37.520259319286865,37.520259319286865,12.616683217477654,2.383316782522346,历史1/1次成功; 当前距低点2.38%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
4,84.05972819472616,76.71094827586207,002269,美邦服饰,bottom_area,2025-10-10,2.38,2025-09-29,2.32,2.5862068965517264,6.034482758620696,27.725856697819317,False,0.4219,4.6086,5,8,5,62.5,53.05273729474794,173.50993377483442,12.413793103448272,2.5862068965517264,历史5/8次成功; 当前距低点2.59%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
5,83.45761406286805,73.17549441891006,688621,阳光诺和,bottom_area,2025-10-10,61.19,2025-10-10,60.92,0.4432042022324294,5.367695338148384,29.121582315299595,False,-4.6291,3.5492,1,1,1,100.0,46.0,46.0,14.556795797767569,0.4432042022324294,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-4.63%; 状态bottom_area; 底部未确认
6,81.76456335082571,76.47620202682585,603280,南方路机,bottom_area,2025-10-10,35.9,2025-09-29,34.55,3.907380607814766,5.643994211287997,27.26315789473685,False,1.7862,13.9763,2,2,2,100.0,17.016289315287736,18.348214285714302,11.092619392185235,3.907380607814766,历史2/2次成功; 当前距低点3.91%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
7,79.21211652325124,74.1801508747417,605188,国光连锁,bottom_area,2025-10-10,15.7,2025-10-09,15.1,3.9735099337748316,11.655629139072847,30.414746543778804,True,2.2801,4.1768,3,4,3,75.0,17.12233077284043,19.218749999999993,11.026490066225167,3.9735099337748316,历史3/4次成功; 当前距低点3.97%; 最新日涨幅2.28%; 状态bottom_area; 底部已确认
8,73.9861004789648,65.64127838624532,600400,红豆股份,bottom_area,2025-10-10,2.82,2025-10-10,2.79,1.0752688172042941,4.659498207885301,27.343749999999993,False,-0.7042,4.917,2,4,2,50.0,21.520920911135,25.943396226415082,13.924731182795705,1.0752688172042941,历史2/4次成功; 当前距低点1.08%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
9,71.24263539202454,62.608944210963024,688195,腾景科技,bottom_area,2025-10-10,106.6,2025-10-10,106.0,0.5660377358490513,10.169811320754718,27.127732710023377,False,-8.4192,7.9126,6,10,6,60.0,27.36295832633794,49.70800412229474,14.43396226415095,0.5660377358490513,历史6/10次成功; 当前距低点0.57%; 最新日涨幅-8.42%; 状态bottom_area; 底部未确认
10,67.8714761998672,60.411117022377695,301551,无线传媒,bottom_area,2025-10-10,36.5,2025-10-09,36.05,1.248266296809994,4.049930651872402,31.241655540720963,False,-2.1448,3.5132,1,2,1,50.0,28.855721393034813,28.855721393034813,13.751733703190006,1.248266296809994,历史1/2次成功; 当前距低点1.25%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
11,67.65011255411255,64.28952380952381,000718,苏宁环球,bottom_area,2025-10-10,2.64,2025-09-29,2.52,4.761904761904765,7.1428571428571495,32.800000000000004,True,0.7634,4.1166,2,4,2,50.0,27.77777777777778,36.111111111111114,10.238095238095235,4.761904761904765,历史2/4次成功; 当前距低点4.76%; 最新日涨幅0.76%; 状态bottom_area; 底部已确认
12,67.35657343051565,59.62252011385938,000428,华天酒店,bottom_area,2025-10-10,3.18,2025-10-09,3.15,0.9523809523809603,2.857142857142867,27.083333333333343,False,0.3155,2.5062,2,5,2,40.0,26.687896157462177,28.045977011494273,14.047619047619039,0.9523809523809603,历史2/5次成功; 当前距低点0.95%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
13,67.02120666812883,58.6696544353402,002059,云南旅游,bottom_area,2025-10-10,5.62,2025-10-09,5.6,0.3571428571428654,3.9285714285714404,30.778739184178,False,0.0,4.2618,1,2,1,50.0,25.935162094763093,25.935162094763093,14.642857142857135,0.3571428571428654,历史1/2次成功; 当前距低点0.36%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,65.20887546912701,60.16432797009589,000926,福星股份,bottom_area,2025-10-10,2.6,2025-09-29,2.52,3.174603174603177,4.761904761904765,27.79369627507164,False,1.5625,3.0984,1,2,1,50.0,28.668941979522177,28.668941979522177,11.825396825396822,3.174603174603177,历史1/2次成功; 当前距低点3.17%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
15,63.32576383051716,55.457129593810464,301488,豪恩汽电,bottom_area,2025-10-10,159.0,2025-10-10,158.4,0.3787878787878752,4.513888888888892,28.719287192871928,False,-4.7391,16.6969,1,2,1,50.0,41.61702127659575,41.61702127659575,14.621212121212125,0.3787878787878752,历史1/2次成功; 当前距低点0.38%; 最新日涨幅-4.74%; 状态bottom_area; 底部未确认
16,62.359652448921786,57.19934113725965,603057,紫燕食品,bottom_area,2025-10-10,19.42,2025-09-23,18.88,2.860169491525438,8.050847457627116,28.267477203647424,True,0.2581,0.4399,1,3,1,33.33333333333333,19.124700239808163,19.124700239808163,12.139830508474562,2.860169491525438,历史1/3次成功; 当前距低点2.86%; 最新日涨幅0.26%; 状态bottom_area; 底部已确认
17,59.64632196389978,55.18144775303411,000679,大连友谊,bottom_area,2025-10-10,7.78,2025-09-30,7.53,3.3200531208499333,5.843293492695876,28.693181818181817,False,-0.2564,2.0655,3,8,3,37.5,19.88531649769868,24.94061757719715,11.679946879150066,3.3200531208499333,历史3/8次成功; 当前距低点3.32%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
18,57.53375996474625,54.821179523393916,000096,广聚能源,bottom_area,2025-10-10,11.55,2025-09-23,11.01,4.904632152588564,6.176203451407809,28.039215686274517,False,1.8519,2.156,1,2,1,50.0,21.149144254278735,21.149144254278735,10.095367847411435,4.904632152588564,历史1/2次成功; 当前距低点4.90%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
19,49.673997576350516,47.099508599508596,002115,三维通信,bottom_area,2025-10-10,11.05,2025-09-29,10.56,4.640151515151517,10.700757575757565,28.888888888888886,True,-3.5777,11.9816,1,4,1,25.0,20.720720720720706,20.720720720720706,10.359848484848483,4.640151515151517,历史1/4次成功; 当前距低点4.64%; 最新日涨幅-3.58%; 状态bottom_area; 底部已确认
