rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.95862975794843,82.5343440080792,300409,道氏技术,bottom_area,2023-05-29,12.56,2023-04-26,12.28,2.2801302931596186,8.876221498371335,28.811594202898554,True,-2.7111,0.9686,2,2,2,100.0,42.9195756800168,50.03460207612457,12.719869706840381,2.2801302931596186,历史2/2次成功; 当前距低点2.28%; 最新日涨幅-2.71%; 状态bottom_area; 底部已确认
2,85.47781362914613,75.11305174087948,688289,圣湘生物,bottom_area,2023-05-29,17.9,2023-05-29,17.8,0.5617977528089768,1.68539325842697,27.789046653144013,False,0.3363,0.7422,1,1,1,100.0,25.182530200451346,25.182530200451346,14.438202247191024,0.5617977528089768,历史1/1次成功; 当前距低点0.56%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
3,84.48791249532114,75.24087249349459,603077,和邦生物,bottom_area,2023-05-29,2.38,2023-05-25,2.35,1.2765957446808427,7.234042553191486,29.21686746987951,False,-2.0576,0.7464,1,1,1,100.0,17.26618705035971,17.26618705035971,13.723404255319158,1.2765957446808427,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
4,84.2405504333044,75.01879553082946,600160,巨化股份,bottom_area,2023-05-29,13.5,2023-05-29,13.33,1.2753188297074263,2.700675168792194,30.026246719160106,False,-0.8082,0.7006,1,1,1,100.0,16.05657237936772,16.05657237936772,13.724681170292573,1.2753188297074263,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
5,83.96009988471837,76.84475438202195,002041,登海种业,bottom_area,2023-05-29,15.73,2023-05-26,15.31,2.743305029392553,3.1352057478771957,27.783018867924525,False,1.615,0.4037,1,1,1,100.0,21.395106715252467,21.395106715252467,12.256694970607446,2.743305029392553,历史1/1次成功; 当前距低点2.74%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
6,82.8693819553178,76.10637472283813,000890,法尔胜,bottom_area,2023-05-29,4.22,2023-05-19,4.1,2.926829268292686,7.56097560975611,27.689594356261026,True,-2.5404,2.0296,1,1,1,100.0,32.954545454545446,32.954545454545446,12.073170731707314,2.926829268292686,历史1/1次成功; 当前距低点2.93%; 最新日涨幅-2.54%; 状态bottom_area; 底部已确认
7,82.50510455646717,75.22033860153584,300762,上海瀚讯,bottom_area,2023-05-29,11.73,2023-05-10,11.44,2.534965034965043,6.206293706293714,27.50316856780735,False,-0.4244,0.8696,1,1,1,100.0,32.580961727183514,32.580961727183514,12.465034965034956,2.534965034965043,历史1/1次成功; 当前距低点2.53%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
8,81.4366644142795,75.63126165397338,688075,安旭生物,bottom_area,2023-05-29,66.93,2023-05-10,64.65,3.5266821345707666,7.6566125290023015,30.37906525953047,True,-0.1045,0.9607,4,5,4,80.0,31.086542584917854,40.134529147982065,11.473317865429234,3.5266821345707666,历史4/5次成功; 当前距低点3.53%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
9,80.70029630226092,75.23181904464901,600203,福日电子,bottom_area,2023-05-29,5.84,2023-05-15,5.63,3.7300177619893424,8.348134991119,28.824273072060684,True,-0.5111,0.7432,2,2,2,100.0,21.43150291389641,24.045801526717554,11.269982238010655,3.7300177619893424,历史2/2次成功; 当前距低点3.73%; 最新日涨幅-0.51%; 状态bottom_area; 底部已确认
10,79.10826124567474,68.78979238754326,002251,步步高,bottom_area,2023-05-29,4.59,2023-05-29,4.59,0.0,3.2679738562091583,28.837209302325583,False,-2.5478,1.9,1,1,1,100.0,19.0311418685121,19.0311418685121,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
11,78.4929297415679,69.38373243676818,688028,沃尔德,bottom_area,2023-05-29,21.83,2023-05-26,21.64,0.8780036968576604,4.852125693160817,32.35386058143169,False,-2.1515,0.7782,1,1,1,100.0,20.728929384965834,20.728929384965834,14.121996303142339,0.8780036968576604,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
