rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.29055568365827,88.25892306212404,002862,实丰文化,confirmed_rebound,2024-12-20,32.35,2024-12-19,31.64,2.24399494310999,9.608091024020226,28.09090909090909,True,2.244,16.4803,5,5,5,100.0,27.66253512050972,45.40647719762062,5.75600505689001,2.24399494310999,历史5/5次成功; 当前距低点2.24%; 最新日涨幅2.24%; 状态confirmed_rebound; 底部已确认
2,90.44940872301852,87.83383379316179,603088,宁波精达,bottom_area,2024-12-20,9.94,2024-12-19,9.7,2.4742268041237137,3.7113402061855796,28.307464892830748,False,1.8443,5.0837,4,4,4,100.0,27.17780057292387,46.15384615384614,5.525773195876287,2.4742268041237137,历史4/4次成功; 当前距低点2.47%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
3,89.52631583583236,86.84123296151378,605337,李子园,bottom_area,2024-12-20,12.29,2024-12-19,12.0,2.41666666666666,6.916666666666667,28.01439712057589,False,0.7377,5.2398,4,4,4,100.0,21.135661083407342,37.98882681564246,5.58333333333334,2.41666666666666,历史4/4次成功; 当前距低点2.42%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
4,87.17040486665094,83.67183717127375,002403,爱仕达,bottom_area,2024-12-20,17.43,2024-12-20,17.11,1.8702513150204574,7.539450613676207,30.020449897750513,False,-1.9685,16.765,6,6,6,100.0,19.87102241677636,52.542372881355924,6.129748684979543,1.8702513150204574,历史6/6次成功; 当前距低点1.87%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
5,85.99929965268859,82.42203817191347,000816,智慧农业,bottom_area,2024-12-20,3.41,2024-12-20,3.35,1.7910447761194044,3.2835820895522354,30.208333333333332,False,-1.4451,10.5437,3,3,3,100.0,28.847420760568387,48.23943661971832,6.208955223880595,1.7910447761194044,历史3/3次成功; 当前距低点1.79%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
6,84.35703514588225,80.50967036726935,300497,富祥股份,bottom_area,2024-12-20,9.04,2024-12-19,8.9,1.5730337078651548,3.4831460674157357,31.274131274131268,False,-0.9858,2.0522,3,3,3,100.0,15.893479683881248,24.094025465230157,6.4269662921348445,1.5730337078651548,历史3/3次成功; 当前距低点1.57%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
7,83.9101121848194,82.28819984014409,002681,奋达科技,confirmed_rebound,2024-12-20,7.59,2024-12-19,7.37,2.9850746268656683,8.276797829036639,29.74261201143947,False,1.3351,13.2426,3,3,3,100.0,30.506290265579576,46.084337349397586,5.014925373134332,2.9850746268656683,历史3/3次成功; 当前距低点2.99%; 最新日涨幅1.34%; 状态confirmed_rebound; 底部未确认
8,82.10674315230942,79.83520952822435,603356,华菱精工,bottom_area,2024-12-20,14.93,2024-12-20,14.56,2.5412087912087857,5.013736263736254,29.86512524084779,False,0.5387,8.8768,3,4,3,75.0,39.16218049559353,53.658536585365866,5.458791208791214,2.5412087912087857,历史3/4次成功; 当前距低点2.54%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
9,81.88274370888043,80.47359239146763,600382,广东明珠,bottom_area,2024-12-20,4.66,2024-12-19,4.52,3.0973451327433756,3.318584070796468,27.680000000000003,False,1.0846,1.2509,3,3,3,100.0,11.911501581303833,17.365269461077848,4.902654867256624,3.0973451327433756,历史3/3次成功; 当前距低点3.10%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
10,81.83963838020003,82.90859580966838,002530,金财互联,bottom_area,2024-12-20,10.3,2024-12-19,9.84,4.674796747967489,6.707317073170733,30.06396588486141,False,3.4137,17.0844,4,4,4,100.0,27.67275481201206,54.814814814814795,3.325203252032512,4.674796747967489,历史4/4次成功; 当前距低点4.67%; 最新日涨幅3.41%; 状态bottom_area; 底部未确认
11,81.61792968436208,77.03427847143016,688196,卓越新能,bottom_area,2024-12-20,34.5,2024-12-20,34.16,0.9953161592505956,4.537470725995329,28.62515670706227,False,-2.3493,1.6749,4,4,4,100.0,13.298921045814655,19.41979522184301,7.004683840749404,0.9953161592505956,历史4/4次成功; 当前距低点1.00%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
12,79.87398569525418,73.95739416227238,000525,红太阳,bottom_area,2024-12-20,7.02,2024-12-20,7.02,0.0,0.0,32.95128939828081,False,-5.0068,0.1222,3,3,3,100.0,23.695667539098807,34.22131147540984,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.01%; 状态bottom_area; 底部未确认
13,79.86068130968357,74.6826820227714,002031,巨轮智能,bottom_area,2024-12-20,5.85,2024-12-20,5.82,0.5154639175257621,3.2646048109965546,31.529411764705877,False,-0.5102,14.6164,3,3,3,100.0,11.44053631575337,15.789473684210522,7.484536082474238,0.5154639175257621,历史3/3次成功; 当前距低点0.52%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
14,79.53023527337484,78.58803539399183,000813,德展健康,confirmed_rebound,2024-12-20,3.67,2024-12-19,3.55,3.380281690140848,11.549295774647891,30.118110236220474,False,-0.542,5.946,4,4,4,100.0,21.26385831996215,39.9103139013453,4.619718309859152,3.380281690140848,历史4/4次成功; 当前距低点3.38%; 最新日涨幅-0.54%; 状态confirmed_rebound; 底部未确认
15,79.13619809979953,77.61608229713369,002148,北纬科技,bottom_area,2024-12-20,7.23,2024-12-19,7.02,2.991452991453004,7.407407407407414,27.47933884297521,False,-1.4986,20.501,3,3,3,100.0,17.72362966476626,19.756097560975626,5.008547008546996,2.991452991453004,历史3/3次成功; 当前距低点2.99%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
16,78.03171706530416,72.59175127623365,600280,中央商场,bottom_area,2024-12-20,4.11,2024-12-20,4.1,0.24390243902440673,4.390243902439039,27.43362831858408,False,-1.9093,7.0625,2,2,2,100.0,13.536821705426364,15.406976744186055,7.756097560975593,0.24390243902440673,历史2/2次成功; 当前距低点0.24%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
17,77.50518040419674,74.04576238554412,000558,天府文旅,bottom_area,2024-12-20,3.75,2024-12-20,3.69,1.6260162601626031,7.859078590785909,29.580152671755727,False,-6.9479,19.0071,4,5,4,80.0,18.672470208144375,30.23255813953488,6.373983739837397,1.6260162601626031,历史4/5次成功; 当前距低点1.63%; 最新日涨幅-6.95%; 状态bottom_area; 底部未确认
