rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.53860306057814,85.81127531848212,002761,浙江建投,bottom_area,2024-06-19,8.35,2024-06-06,8.25,1.2121212121212077,4.848484848484853,28.26086956521739,False,-0.949,1.6448,6,6,6,100.0,23.305976785583134,43.73730534867976,6.7878787878787925,1.2121212121212077,历史6/6次成功; 当前距低点1.21%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
2,85.55413515812288,79.53525127765191,300639,凯普生物,bottom_area,2024-06-19,4.81,2024-06-19,4.8,0.2083333333333289,2.0833333333333446,29.618768328445753,False,-0.8247,0.9858,4,4,4,100.0,17.09812514866608,33.27433628318583,7.791666666666671,0.2083333333333289,历史4/4次成功; 当前距低点0.21%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
3,84.85398425605753,82.76713975151434,603155,新亚强,bottom_area,2024-06-19,11.01,2024-06-18,10.72,2.7052238805970066,3.6380597014925256,30.97231165486155,False,0.0,0.5662,3,3,3,100.0,19.435753759545772,25.624375624375624,5.294776119402994,2.7052238805970066,历史3/3次成功; 当前距低点2.71%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,84.13232786885251,80.44000000000004,002687,乔治白,bottom_area,2024-06-19,4.27,2024-06-06,4.2,1.666666666666652,5.714285714285719,28.2051282051282,False,-0.6977,0.8239,1,1,1,100.0,64.00000000000001,64.00000000000001,6.333333333333348,1.666666666666652,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
5,83.72796160357177,79.7856136356906,600162,香江控股,bottom_area,2024-06-19,1.36,2024-06-18,1.34,1.492537313432837,2.9850746268656576,30.208333333333325,False,-0.7299,0.3518,2,2,2,100.0,27.68063822751323,28.90624999999999,6.5074626865671625,1.492537313432837,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
6,82.03571345029242,76.26435672514621,002790,瑞尔特,bottom_area,2024-06-19,9.62,2024-06-19,9.6,0.2083333333333289,1.8749999999999971,30.785868781542895,False,-1.232,0.9195,1,1,1,100.0,49.512670565302145,49.512670565302145,7.791666666666671,0.2083333333333289,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
7,81.33631666030722,79.40784053307539,000813,德展健康,confirmed_rebound,2024-06-19,2.24,2024-06-06,2.18,2.7522935779816535,8.715596330275226,29.677419354838708,True,-1.3216,0.4367,3,3,3,100.0,25.446612316524458,39.9103139013453,5.2477064220183465,2.7522935779816535,历史3/3次成功; 当前距低点2.75%; 最新日涨幅-1.32%; 状态confirmed_rebound; 底部已确认
8,80.89747681259783,78.28642859048838,605086,龙高股份,confirmed_rebound,2024-06-19,17.39,2024-06-14,17.0,2.294117647058827,8.23529411764705,31.257581884350994,True,-1.6403,1.3302,3,3,3,100.0,13.801165730013443,17.79249448123621,5.705882352941173,2.294117647058827,历史3/3次成功; 当前距低点2.29%; 最新日涨幅-1.64%; 状态confirmed_rebound; 底部已确认
9,80.00431972747957,81.08545918325632,600322,津投城开,bottom_area,2024-06-19,1.56,2024-06-06,1.49,4.697986577181212,7.382550335570476,28.01932367149758,False,0.6452,1.1495,4,4,4,100.0,18.15520741521231,35.828877005347586,3.3020134228187876,4.697986577181212,历史4/4次成功; 当前距低点4.70%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
10,79.96365411513283,76.31926147419456,688357,建龙微纳,confirmed_rebound,2024-06-19,25.8,2024-06-06,25.4,1.574803149606308,8.464566929133866,32.012847965738764,True,-1.5643,0.3957,4,5,4,80.0,21.074261587618047,31.65083135391925,6.425196850393693,1.574803149606308,历史4/5次成功; 当前距低点1.57%; 最新日涨幅-1.56%; 状态confirmed_rebound; 底部已确认
11,79.91759598352854,74.60510298610976,605198,安德利,bottom_area,2024-06-19,28.39,2024-06-17,28.27,0.42447824548992213,3.21896002829855,29.99009410599307,False,-1.4578,0.3994,1,1,1,100.0,43.241469816272954,43.241469816272954,7.575521754510079,0.42447824548992213,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
