rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.73230814390467,81.0151060820368,002388,新亚制程,bottom_area,2022-12-23,7.17,2022-12-23,7.07,1.4144271570014093,6.364922206506354,32.666666666666664,False,-2.1828,3.3302,1,1,1,100.0,50.505050505050505,50.505050505050505,18.58557284299859,1.4144271570014093,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
2,90.95149704128447,77.38337977949803,603289,泰瑞机器,bottom_area,2022-12-23,8.92,2022-12-23,8.82,1.1337868480725584,1.9274376417233552,29.888712241653415,False,-0.2237,1.4544,1,1,1,100.0,27.034482758620705,27.034482758620705,18.866213151927443,1.1337868480725584,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
3,90.21017442988935,77.01125677344183,300667,必创科技,bottom_area,2022-12-23,14.61,2022-12-23,14.42,1.3176144244105377,3.6754507628293993,29.863813229571978,False,-1.0833,1.5288,1,1,1,100.0,27.287191726332534,27.287191726332534,18.682385575589464,1.3176144244105377,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
4,88.00390885335581,74.90634637194809,603130,云中马,bottom_area,2022-12-23,27.12,2022-12-23,26.81,1.1562849682954206,11.376352107422607,30.508035251425607,False,-8.2854,19.6375,1,1,1,100.0,24.207936019686265,24.207936019686265,18.84371503170458,1.1562849682954206,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-8.29%; 状态bottom_area; 底部未确认
5,87.10300976123388,75.50097220270618,603212,赛伍技术,bottom_area,2022-12-23,27.54,2022-12-23,26.96,2.151335311572694,4.562314540059349,27.09572742022714,False,-1.7832,4.5107,1,1,1,100.0,29.387186629526475,29.387186629526475,17.848664688427306,2.151335311572694,历史1/1次成功; 当前距低点2.15%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
6,86.0486331795586,75.4337099264372,002395,双象股份,bottom_area,2022-12-23,10.02,2022-12-20,9.75,2.7692307692307647,5.230769230769228,28.62371888726208,False,-0.6938,0.7031,1,1,1,100.0,36.59976387249114,36.59976387249114,17.230769230769237,2.7692307692307647,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
7,85.92708780972218,72.7448090118455,300758,七彩化学,bottom_area,2022-12-23,11.71,2022-12-23,11.61,0.8613264427218038,3.9621016365202486,27.437500000000004,False,-2.4979,2.3308,1,1,1,100.0,38.59480269489894,38.59480269489894,19.138673557278196,0.8613264427218038,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
8,83.26286077652956,70.43310022558813,002795,永和智控,bottom_area,2022-12-23,8.63,2022-12-23,8.56,0.8177570093457976,2.3364485981308327,30.40650406504065,False,-1.2586,1.7918,1,1,1,100.0,25.632183908045985,25.632183908045985,19.182242990654203,0.8177570093457976,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
9,82.01846513945918,69.11241662459506,001332,锡装股份,bottom_area,2022-12-23,56.41,2022-12-23,56.07,0.6063848760477908,4.351703228107719,32.874416377349455,False,-3.5891,4.4279,1,1,1,100.0,26.155774956903304,26.155774956903304,19.39361512395221,0.6063848760477908,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-3.59%; 状态bottom_area; 底部未确认
10,81.50951780083552,69.16471531232725,000919,金陵药业,bottom_area,2022-12-23,8.18,2022-12-23,8.1,0.9876543209876552,3.4567901234568046,27.354260089686104,False,-0.6075,2.4965,1,1,1,100.0,20.8955223880597,20.8955223880597,19.012345679012345,0.9876543209876552,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
11,73.81873574842115,62.5627185488345,300707,威唐工业,bottom_area,2022-12-23,14.24,2022-12-23,14.11,0.9213323883770431,3.189227498228215,29.308617234468944,False,-0.9047,1.7292,2,3,2,66.66666666666666,23.47682649283599,24.351297405189634,19.078667611622958,0.9213323883770431,历史2/3次成功; 当前距低点0.92%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
